Application;Alembic Importer;Rendering Engine;Volume Rendering for clouds;Interactive Rendering;Isolating light contribution;Light Lister;IES Light;Physical Sun & Sky;Sun Positioning by location and times;Light Portal;Shadow Catcher;IBL and Environment texture;IBL and Environment texture;IBL and Environment texture;Light Paint;Light Layers
Application;Alembic Importer;Rendering Engine;Volume Rendering for clouds;Interactive Rendering;Isolating light contribution;Light Lister;IES Light;Physical Sun & Sky;Sun Positioning by location and times;Light Portal;Shadow Catcher;Lat Long;sIBL;Light Extraction[16];Light Paint;Light Layers
Maya;Maya Hardware 2.0;Yes;?;Yes;No[17];Light Editor;?;?;?;?;?;Yes;?;?;No;No
Maya;Maya Software;Yes;?;?;Light Linking;Light Editor;No;?;?;?;?;Env Sphere;?;?;No;No
Maya;Arnold;Yes;Yes;Yes;Light Linking;Light Editor;Ai Photometric Light;Yes;?;Yes;Yes;Yes;?;?;No;No
3ds Max;Quicksilver;Yes;?;Yes;No[18];Light Lister;?;?;?;?;?;?;?;?;No;No
3ds Max;Scanline;Yes;?;?;Light Exclude/Include;Light Lister;?;?;?;?;Yes;?;sIBL-GUI software;?;No;No
3ds Max;ART;Yes;?;?;?;Light Lister;Yes;?;?;?;?;?;?;?;No;No
3ds Max;Arnold;Yes;Yes;Yes;No[19];No;Ai Photometric Light;Yes;Sun Positioner[20];Yes;Yes;Yes;?;?;No;No
Blender;Viewport;2.78 and later;?;Yes;Light Groups;Property Chart Addon / Gaffer addon;No;No;?;No;No;Yes;?;?;No;No
Blender;Blender Internal;2.78 and later;?;Yes;Light Groups;Property Chart Addon / Gaffer addon;No;No;?;No;""Shadows Only"" option;Yes;?;?;No;No
Blender;Cycles;2.78 and later;Yes;Yes;D1985;Gaffer addon;(2.8 and later)[21];Yes;Sun Position addon;from 2.75;from 2.79;Yes;sIBL_GUI for Blender addon/ Add Environment nodes addon;?;No;No
MODO;MODO Renderer;Yes;Yes;Yes;Light Linking[22];?;Photometric Light;Directional Light[23];Directional Light[23];Portal;Shadow Catcher;Yes;mm_sIBLToModoEnvironment script;?;No;No
LightWave;LightWave Renderer;11.6 and later;Yes;Yes;?;?;Photometric Light;?;?;?;?;Yes;?;?;No;No
Houdini;Mantra (PT);Yes;Yes;Yes;Light categories;?;Yes;?;?;?;Shadow Matte;Yes;?;?;?;?
Cinema 4D;CineRender;Yes;?;Yes;Exclude/Include;?;Yes;?;?;?;from R18;Yes;?;?;?;?
