Architecture;Family;Code Name;Model Group;Speed (MHz);Socket;Process (nm);Cores;FSB/HT(MHz);Cache (KiB);Cache (KiB);Cache (KiB);Memory Controller;Features;Features;Features
Architecture;Family;Code Name;Model Group;Speed (MHz);Socket;Process (nm);Cores;FSB/HT(MHz);L1;L2;L3;Memory Controller;SIMD;Speed/Power;Other
Am386;Am386;Sx/SxL/SxLV[1];;25-40[1];100 PQFP[1];;1;;;;;;;;
Am486[2];Am486;25-120;168 pin PGA 208 SQFP;;;500, 350;1;;8;;;;;;
Am486[2];Enhanced Am486;;;66-120;168 pin PGA 208 SQFP [3];500, 350;1;;8, 8/16;;;;;;
Am5x86;Am5x86;X5-133;;133;Socket 3 Socket 2 Socket 1 168 pin;350;1;33;16;;;;;;
K5;AMD K5;SSA/5, 5k86;;75–133;Socket 5 Socket 7;500, 350;1;50, 60, 66;8+16;0;;;;;
K6;AMD K6;Model 6, Littlefoot;;166-300;Socket 7;350, 250;1;50, 60, 66;32+32;0;;;MMX;;
K6;AMD K6-2;Chomper, Chomper Extended, mobile;;166-550;Super Socket 7;250, 180;1;66, 95, 97, 100;32+32;0, 128;;;MMX, 3DNow!;;
K6;K6-3;Sharptooth;;400-550;Super Socket 7;250, 180;1;66, 95, 96.2, 100;32+32;256;512, 1024;;MMX, 3DNow!;;
K7;Athlon;Argon;;500-700;Slot A;250;1;100;64+64;512;;;MMX, 3DNow!;;
K7;Athlon;Pluto/Orion;;550-1000;Slot A;180;1;100;64+64;512;;;MMX, 3DNow!;;
K7;Athlon;Thunderbird;;1000-1400;Slot A Socket A;180;1;100;64+64;256;;;MMX, 3DNow!;;
K7;Athlon XP/MP;Palomino;1500+ - 2100+;1333-1733;Socket A;180;1;133;64+64;256;;;MMX, 3DNow!+, SSE;;
K7;Athlon XP/MP;Thoroughbred;1600+ - 2800+;1400-2250;Socket A;130;1;133, 166, 200;64+64;256;;;MMX, 3DNow!+, SSE;;
