;Austria;Belgium;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia & Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland & Liechtenstein;Turkey;Ukraine;United Kingdom
Road closed to all vehicles in both directions; /wiki/File:Vorschriftszeichen_1.svg; /wiki/File:Belgian_road_sign_C3.svg; /wiki/File:B01cr.svg; /wiki/File:Denmark_road_sign_C21.svg; /wiki/File:EE_traffic_sign-311a.png; /wiki/File:Finland_road_sign_311.svg; /wiki/File:France_road_sign_B0.svg; /wiki/File:Zeichen_250_-_Verbot_f%C3%BCr_Fahrzeuge_aller_Art,_StVO_1992.svg; /wiki/File:Road-sign-p8.svg; /wiki/File:Hungary_road_sign_C-002.svg; /wiki/File:Iceland_road_sign_B01.11.svg; /wiki/File:Ireland_road_sign_RUS_021.svg; /wiki/File:Italian_traffic_signs_-_divieto_di_transito.svg; /wiki/File:Luxembourg_road_sign_diagram_C_2.gif; /wiki/File:Nederlands_verkeersbord_C1_mb.svg; /wiki/File:Norwegian-road-sign-306.0.svg; /wiki/File:Znak_B-1.svg; /wiki/File:Portugal_road_sign_C2.svg; /wiki/File:RomanianTrafficSign_C02-NoVehicles_2011.svg; /wiki/File:3.2_Russian_road_sign.svg; /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_B1.svg; /wiki/File:Slovenia_road_sign_II-3.svg; /wiki/File:Spain_traffic_signal_r100.svg; /wiki/File:Sweden_road_sign_C2.svg; /wiki/File:CH-Vorschriftssignal-Allgemeines_Fahrverbot.svg; /wiki/File:Turkey_road_sign_TT-5.svg; /wiki/File:Ukraine_road_sign_3.1.gif;[note 9] /wiki/File:UK_traffic_sign_617.svg
No entry for vehicular traffic; /wiki/File:Vorschriftszeichen_2.svg; /wiki/File:Belgian_road_sign_C1.svg; /wiki/File:B02cr.jpg; /wiki/File:Denmark_road_sign_C19.svg; /wiki/File:EE_traffic_sign-331.png; /wiki/File:Finland_road_sign_331.svg; /wiki/File:France_road_sign_B1.svg; /wiki/File:Zeichen_267_-_Verbot_der_Einfahrt,_StVO_1970.svg; /wiki/File:Road-sign-no-entry.svg; /wiki/File:Hungary_road_sign_C-001.svg; /wiki/File:Iceland_road_sign_B01.21.svg;(no exceptions:) (exceptions apply:) /wiki/File:Ireland_road_sign_RUS_050.svg; /wiki/File:Italian_traffic_signs_-_senso_vietato.svg; /wiki/File:Luxembourg_road_sign_diagram_C_1_a.gif; /wiki/File:Nederlands_verkeersbord_C2_mb.svg; /wiki/File:Norwegian-road-sign-302.0.svg; /wiki/File:Znak_B-2.svg; /wiki/File:Portugal_road_sign_C1.svg; /wiki/File:RomanianTrafficSign_C01-NoEntry_2011.svg; /wiki/File:3.1_Russian_road_sign.svg; /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_B2.svg; /wiki/File:Slovenia_road_sign_II-4.svg; /wiki/File:Spain_traffic_signal_r101.svg; /wiki/File:Sweden_road_sign_C1.svg; /wiki/File:CH-Vorschriftssignal-Einfahrt_verboten.svg; /wiki/File:Turkey_road_sign_TT-4.svg; /wiki/File:Ukraine_road_sign_3.21.gif;[note 10] /wiki/File:UK_traffic_sign_616.svg
No motor vehicles; /wiki/File:Vorschriftszeichen_6c.svg;NOT USED; /wiki/File:B11cr.jpg; /wiki/File:Denmark_road_sign_C22.1.svg; /wiki/File:EE_traffic_sign-315.png; /wiki/File:Finland_road_sign_312.svg; /wiki/File:France_road_sign_B7b.svg; /wiki/File:Zeichen_260_-_Verbot_f%C3%BCr_Kraftr%C3%A4der_und_Mofas_und_sonstige_mehrspurige_Kraftfahrzeuge,_StVO_1992.svg; /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_R-19.svg; /wiki/File:Hungary_road_sign_C-019.svg; /wiki/File:Iceland_road_sign_B03.11.svg;;NOT USED; /wiki/File:Luxembourg_road_sign_diagram_C_4_a.gif; /wiki/File:Nederlands_verkeersbord_C12.svg; /wiki/File:Norwegian-road-sign-306.1.svg; /wiki/File:Znak_B-3-4.svg; /wiki/File:Portugal_road_sign_C4a.svg; /wiki/File:Romania_road_sign_C14.svg; /wiki/File:3.3_Russian_road_sign.svg; /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_B3.svg; /wiki/File:Slovenia_road_sign_II-18.svg; /wiki/File:Spain_traffic_signal_r102.svg; /wiki/File:Sweden_road_sign_C3.svg; /wiki/File:CH-Vorschriftssignal-Verbot_f%C3%BCr_Motorwagen,_Motorr%C3%A4der_und_Motor-_fahrr%C3%A4der.svg; /wiki/File:Turkish_road_sign_42.jpg; /wiki/File:Ukraine_road_sign_3.2.gif; /wiki/File:UK_traffic_sign_619.svg
No motor vehicles except motorcycles; /wiki/File:Vorschriftszeichen_6a.svg; /wiki/File:Belgian_road_sign_C5.svg; /wiki/File:B03acr.jpg;NOT USED; /wiki/File:EE_traffic_sign-312.png;NOT USED;NOT USED; /wiki/File:Zeichen_251_-_Verbot_f%C3%BCr_Kraftwagen_und_sonstige_mehrspurige_Kraftfahrzeuge,_StVO_1992.svg; /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_R-9.svg; /wiki/File:Hungary_road_sign_C-003.svg; /wiki/File:Iceland_road_sign_B03.21.svg;NOT USED; /wiki/File:Italian_traffic_signs_-_divieto_di_transito_a_tutti_gli_autoveicoli.svg; /wiki/File:Luxembourg_road_sign_diagram_C_3_a.gif; /wiki/File:Nederlands_verkeersbord_C6.svg;NOT USED; /wiki/File:Znak_B-3.svg; /wiki/File:Portugal_road_sign_C3a.svg; /wiki/File:RomanianTrafficSign_C03-NoMotorVehicles_2011.svg;NOT USED; /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_B5.svg; /wiki/File:Slovenia_road_sign_II-5.svg; /wiki/File:Spain_traffic_signal_r103.svg; /wiki/File:Sweden_road_sign_C4.svg; /wiki/File:CH-Vorschriftssymbol-Verbot_f%C3%BCr_Motorwagen.svg; /wiki/File:Turkish_road_sign_43.jpg;NOT USED; /wiki/File:UK_traffic_sign_619.1.svg
No motorcycles; /wiki/File:Vorschriftszeichen_6b.svg; /wiki/File:Belgian_road_sign_C7.svg; /wiki/File:B07cr.jpg; /wiki/File:Denmark_road_sign_C22.2.svg; /wiki/File:EE_traffic_sign-314a.png; /wiki/File:Finland_road_sign_316.svg; /wiki/File:France_road_sign_B9h.svg; /wiki/File:Zeichen_255_-_Verbot_f%C3%BCr_Kraftr%C3%A4der,_auch_mit_Beiwagen,_Kleinkraftr%C3%A4der_und_Mofas,_StVO_1992.svg; /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_R-10.svg; /wiki/File:Hungary_road_sign_C-004.svg; /wiki/File:Iceland_road_sign_B03.51.svg;NOT USED; /wiki/File:Italian_traffic_signs_-_divieto_di_transito_motocicli.svg; /wiki/File:Luxembourg_road_sign_diagram_C_3_b.gif; /wiki/File:Nederlands_verkeersbord_C11.svg; /wiki/File:Norwegian-road-sign-306.4.svg; /wiki/File:Znak_B-4.svg; /wiki/File:Portugal_road_sign_C3e.svg; /wiki/File:RomanianTrafficSign_C04-NoMotorcycles_2011.svg; /wiki/File:3.5_Russian_road_sign.svg; /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_B8.svg; /wiki/File:Slovenia_road_sign_II-12.svg; /wiki/File:Spain_traffic_signal_r104.svg; /wiki/File:Sweden_road_sign_C5.svg; /wiki/File:CH-Vorschriftssignal-Verbot_f%C3%BCr_Motorr%C3%A4der.svg; /wiki/File:Turkish_road_sign_44.jpg; /wiki/File:Ukraine_road_sign_3.6.gif; /wiki/File:UK_traffic_sign_619.2.svg
No bicycles; /wiki/File:Vorschriftszeichen_8c.svg; /wiki/File:Belgian_road_sign_C11.svg; /wiki/File:B08cr.jpg; /wiki/File:Denmark_road_sign_C25.1.svg; /wiki/File:EE_traffic_sign-321.png; /wiki/File:Finland_road_sign_322.svg; /wiki/File:France_road_sign_B9b.svg; /wiki/File:Zeichen_254_-_Verbot_f%C3%BCr_Radfahrer,_StVO_1992.svg; /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_R-11.svg; /wiki/File:Hungary_road_sign_C-005.svg; /wiki/File:Iceland_road_sign_B05.11.svg; /wiki/File:Ireland_road_sign_RUS_055.svg; /wiki/File:Italian_traffic_signs_-_divieto_di_transito_alle_biciclette.svg; /wiki/File:Luxembourg_road_sign_diagram_C_3_c.gif; /wiki/File:Nederlands_verkeersbord_C14.svg; /wiki/File:Norwegian-road-sign-306.6.svg; /wiki/File:Znak_B-9.svg; /wiki/File:Portugal_road_sign_C3g.svg; /wiki/File:RomanianTrafficSign_C05-NoBicycles_2011.svg; /wiki/File:3.9_Russian_road_sign.svg; /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_B11.svg; /wiki/File:Slovenia_road_sign_II-14.svg; /wiki/File:Spain_traffic_signal_r114.svg; /wiki/File:Sweden_road_sign_C10.svg;[note 11] /wiki/File:CH-Vorschriftssignal-Verbot_f%C3%BCr_Fahrr%C3%A4der_und_Motorfahrr%C3%A4der.svg; /wiki/File:Turkish_road_sign_45.jpg; /wiki/File:Ukraine_road_sign_3.8.gif;[note 12] /wiki/File:UK_traffic_sign_951.svg
No pedestrians; /wiki/File:F%C3%BC%C3%9Fg%C3%A4nger-Verbot.png; /wiki/File:Belgian_road_sign_C19.svg; /wiki/File:B30cr.jpg; /wiki/File:Denmark_road_sign_C26.2.svg; /wiki/File:EE_traffic_sign-324.png; /wiki/File:Finland_road_sign_323.svg; /wiki/File:France_road_sign_B9a.svg; /wiki/File:Zeichen_259_-_Verbot_f%C3%BCr_Fu%C3%9Fg%C3%A4nger,_StVO_1992.svg; /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_R-15.svg; /wiki/File:Hungary_road_sign_C-013.svg; /wiki/File:Iceland_road_sign_B05.31.svg; /wiki/File:Ireland_road_sign_RUS_038.svg; /wiki/File:Italian_traffic_signs_-_transito_vietato_ai_pedoni.svg; /wiki/File:Luxembourg_road_sign_diagram_C_3_g.gif; /wiki/File:Nederlands_verkeersbord_C16.svg; /wiki/File:Norwegian-road-sign-306.7.svg; /wiki/File:Znak_B-41.svg; /wiki/File:Portugal_road_sign_C3l.svg; /wiki/File:RomanianTrafficSign_C10-NoPedestrians_2011.svg; /wiki/File:3.10_Russian_road_sign.svg; /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_B13.svg; /wiki/File:Slovenia_road_sign_II-17.svg; /wiki/File:Spain_traffic_signal_r116.svg; /wiki/File:Sweden_road_sign_C15.svg; /wiki/File:CH-Vorschriftssignal-Verbot_f%C3%BCr_Fussg%C3%A4nger.svg; /wiki/File:Turkish_road_sign_46.jpg; /wiki/File:Ukraine_road_sign_3.9.gif; /wiki/File:UK_traffic_sign_625.1.svg
No buses; /wiki/File:Vorschriftszeichen_7f.svg; /wiki/File:Belgian_road_sign_C22.svg; /wiki/File:B05cr.jpg; /wiki/File:Denmark_road_sign_C23.2.svg; /wiki/File:EE_traffic_sign-313b.png; /wiki/File:Finland_road_sign_319.svg; /wiki/File:France_road_sign_B9f.svg; /wiki/File:Zeichen_257-54_-_Verbot_f%C3%BCr_Kraftomnibusse,_StVO_2017.svg;; /wiki/File:Hungary_road_sign_C-042.svg; /wiki/File:Iceland_road_sign_B03.32.svg;; /wiki/File:Italian_traffic_signs_-_divieto_di_transito_agli_autobus.svg;; /wiki/File:Nederlands_verkeersbord_C7a.svg;; /wiki/File:Znak_B-3a.svg; /wiki/File:Portugal_road_sign_C3s.svg; /wiki/File:RomanianTrafficSign_C09-NoBuses_2011.svg;NOT USED; /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_B7.svg; /wiki/File:Slovenia_road_sign_II-6.svg;;; /wiki/File:CH-Vorschriftssignal-Verbot_f%C3%BCr_Gesellschaftswagen.svg; /wiki/File:Turkey_road_sign_TT-10b.svg;; /wiki/File:UK_traffic_sign_952.svg
No heavy goods vehicles; /wiki/File:Vorschriftszeichen_7a.svg; /wiki/File:Belgian_road_sign_C23.svg; /wiki/File:B04cr.jpg; /wiki/File:Denmark_road_sign_C23.1.svg; /wiki/File:EE_traffic_sign-313a.png; /wiki/File:Finland_road_sign_313.svg; /wiki/File:France_road_sign_B8.svg; /wiki/File:Zeichen_253_-_Verbot_f%C3%BCr_Kraftfahrzeuge_mit_einem_zul%C3%A4ssigen_Gesamtgewicht,_StVO_1992.svg; /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_R-13.svg; /wiki/File:Hungary_road_sign_C-007.svg; /wiki/File:Iceland_road_sign_B03.31.svg; /wiki/File:Regulatory_road_sign_no_entry_for_weight.svg; /wiki/File:Italian_traffic_signs_-_divieto_di_transito_ai_veicoli_da_trasporto.svg; /wiki/File:Luxembourg_road_sign_diagram_C_3_e.gif; /wiki/File:Nederlands_verkeersbord_C7.svg; /wiki/File:Norwegian-road-sign-306.5.svg; /wiki/File:Znak_B-5.svg;or /wiki/File:Portugal_road_sign_C3b.svg; /wiki/File:RomanianTrafficSign_C07-NoTrucks_2011.svg; /wiki/File:3.4_Russian_road_sign.svg; /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_B6.svg; /wiki/File:Slovenia_road_sign_II-7.svg; /wiki/File:Spain_traffic_signal_r106.svg; /wiki/File:Sweden_road_sign_C7.svg;[note 13] /wiki/File:CH-Vorschriftssignal-Verbot_f%C3%BCr_Lastwagen.svg; /wiki/File:Turkish_road_sign_47.jpg; /wiki/File:Ukraine_road_sign_3.3.gif;[note 14] /wiki/File:UK_traffic_sign_622.1A.svg
No tractors;;NOT USED; /wiki/File:B06cr.jpg; /wiki/File:Denmark_road_sign_C24.1.svg; /wiki/File:EE_traffic_sign-316.png; /wiki/File:Finland_road_sign_315.svg; /wiki/File:France_road_sign_B9d.svg; /wiki/File:Zeichen_257-58_-_Verbot_f%C3%BCr_Kraftfahrzeuge_und_Z%C3%BCge,_die_nicht_schneller_als_25_km-h_fahren_k%C3%B6nnen_oder_d%C3%BCrfen,_StVO_2017.svg; /wiki/File:Road-sign-p18.svg; /wiki/File:Hungary_road_sign_C-016.svg; /wiki/File:Iceland_road_sign_B03.41.svg;NOT USED; /wiki/File:Italian_traffic_signs_-_divieto_di_transito_alle_macchine_agricole.svg; /wiki/File:Luxembourg_road_sign_diagram_C_3_k.gif; /wiki/File:Nederlands_verkeersbord_C8.svg; /wiki/File:Norwegian-road-sign-306.3.svg; /wiki/File:Znak_B-6.svg; /wiki/File:Portugal_road_sign_C3h.svg; /wiki/File:Romania_road_sign_C13.svg; /wiki/File:3.6_Russian_road_sign.svg; /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_B9.svg; /wiki/File:Slovenia_road_sign_II-11.svg; /wiki/File:Spain_traffic_signal_r111.svg; /wiki/File:Sweden_road_sign_C8.svg;DISUSED; /wiki/File:Turkish_road_sign_48.jpg; /wiki/File:Ukraine_road_sign_3.5.gif;NOT USED
