|Austria|Belgium|Czech Republic|Denmark|Estonia|Finland|France|Germany|Greece|Hungary|Iceland|Ireland|Italy|Luxembourg|Netherlands|Norway|Poland|Portugal|Romania|Russia & Belarus|Slovakia|Slovenia|Spain|Sweden|Switzerland & Liechtenstein|Turkey|Ukraine|United Kingdom
Give Way ahead| /wiki/File:Vorschriftszeichen_23.svg| /wiki/File:Belgian_road_sign_B3.svg| /wiki/File:Czech_Republic_road_sign_P_4.svg| /wiki/File:Danish_priority_road_sign_give_way_ahead.svg| /wiki/File:EE_traffic_sign-221a.png| /wiki/File:Finland_road_sign_231.svg| /wiki/File:France_road_sign_AB3b.svg| /wiki/File:Zeichen_205_-_Vorfahrt_gew%C3%A4hren!_StVO_1970.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_R-1.svg| /wiki/File:Hungary_road_sign_B-001.svg| /wiki/File:Iceland_road_sign_A06.11.svg| /wiki/File:Ireland_road_sign_W_041.svg| /wiki/File:Italian_traffic_signs_-_distanza.svg| /wiki/File:Luxembourg_road_sign_diagram_B_1.gif| /wiki/File:Nederlands_verkeersbord_B6_mb.svg| /wiki/File:Norwegian-road-sign-202.0.svg| /wiki/File:Znak_A-7.svg| /wiki/File:Portugal_road_sign_B1.svg| /wiki/File:RomanianTrafficSign_B1-GiveWay_2011.svg| /wiki/File:2.4_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_P1.svg| /wiki/File:Slovenia_road_sign_II-1.svg| /wiki/File:Spain_traffic_signal_-_give_way_ahead.svg| /wiki/File:Sweden_road_sign_B1.svg| /wiki/File:CH-Vortrittssignal-Kein_Vortritt.svg| /wiki/File:Turkey_road_sign_TT-1.svg| /wiki/File:Ukraine_road_sign_2.1.gif| /wiki/File:UK_traffic_sign_501.svg
Stop ahead| /wiki/File:Vorschriftszeichen_23.svg| /wiki/File:Belgian_road_sign_B7.svg| /wiki/File:Czech_Republic_road_sign_P_4.svg| /wiki/File:Danish_road_signs_B11_and_UB11,1.svg| /wiki/File:EE_traffic_sign-221b.png| /wiki/File:Finland_road_sign_231.svg| /wiki/File:France_road_sign_AB5.svg| /wiki/File:Zeichen_205_-_Vorfahrt_gew%C3%A4hren!_StVO_1970.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_R-2.svg| /wiki/File:Hungary_road_sign_B-001.svg| /wiki/File:Iceland_road_sign_A06.11.svg| /wiki/File:Ireland_road_sign_W_040.svg| /wiki/File:Italian_traffic_signs_-_preavviso.svg| /wiki/File:Luxembourg_road_sign_diagram_B_1.gif| /wiki/File:Nederlands_verkeersbord_B6_mb.svg| /wiki/File:Norwegian-road-sign-202.0.svg|| /wiki/File:Portugal_road_sign_B1.svg| /wiki/File:RomanianTrafficSign_B1-GiveWay_2011.svg| /wiki/File:2.4_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_P1.svg| /wiki/File:Slovenia_road_sign_II-1.svg| /wiki/File:Spain_traffic_signal_-_stop_ahead.svg| /wiki/File:Sweden_road_sign_B1.svg| /wiki/File:CH-Vortrittssignal-Stop.svg| /wiki/File:Turkey_road_sign_TT-1.svg| /wiki/File:Ukraine_road_sign_2.1.gif| /wiki/File:UK_traffic_sign_501.svg
Traffic signals ahead| /wiki/File:Gefahrenzeichen_15.svg| /wiki/File:Belgian_road_sign_A33.svg| /wiki/File:Czech_Republic_road_sign_A_10.svg| /wiki/File:Denmark_road_sign_A19.svg| /wiki/File:EE_traffic_sign-137.png| /wiki/File:Finland_road_sign_165.svg| /wiki/File:France_road_sign_A17.svg| /wiki/File:Zeichen_131_-_Lichtzeichenanlage,_StVO_1970.svg| /wiki/File:Road-sign-traffic-signals.svg| /wiki/File:Hungary_road_sign_A-026.svg| /wiki/File:Iceland_road_sign_A23.11.svg| /wiki/File:Ireland_road_sign_W_042.svg|or /wiki/File:Italian_traffic_signs_-_semaforo_verticale.svg| /wiki/File:Luxembourg_road_sign_diagram_A_16_a.gif| /wiki/File:Nederlands_verkeersbord_J32.svg| /wiki/File:Norwegian-road-sign-132.0.svg| /wiki/File:Znak_A-29.svg| /wiki/File:Portugal_road_sign_A22.svg| /wiki/File:Romania_road_sign_A28.svg| /wiki/File:1.8_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A12.svg| /wiki/File:Slovenia_road_sign_I-20.svg| /wiki/File:Spain_traffic_signal_p3.svg| /wiki/File:Sweden_road_sign_A22.svg| /wiki/File:CH-Gefahrensignal-Lichtsignale.svg| /wiki/File:Turkey_road_sign_T-16.svg| /wiki/File:Ukraine_road_sign_1.24.gif| /wiki/File:UK_traffic_sign_543.svg
Roundabout ahead| /wiki/File:Gefahrenzeichen_3a.svg|NOT USED| /wiki/File:Czech_Republic_road_sign_A_4.svg| /wiki/File:Denmark_road_sign_A16.svg| /wiki/File:EE_traffic_sign-136.png| /wiki/File:Finland_road_sign_166.svg| /wiki/File:France_road_sign_AB25.svg|NOT USED| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-30.svg| /wiki/File:Hungary_road_sign_A-056.svg| /wiki/File:Iceland_road_sign_A10.11.svg|or /wiki/File:W043_-_Roundabout_Ahead_-_Warning_Sign_Ireland.png| /wiki/File:Italian_traffic_signs_-_circolazione_rotatoria.svg| /wiki/File:Luxembourg_road_sign_diagram_A_24.gif| /wiki/File:Nederlands_verkeersbord_J9.svg| /wiki/File:Norwegian-road-sign-126.0.svg| /wiki/File:Znak_A-8.svg| /wiki/File:Portugal_road_sign_B7.svg| /wiki/File:Romania_road_sign_A40.svg| /wiki/File:1.7_Russian_road_sign.svg| /wiki/File:103_Kri%C5%BEovatka_s_kruhov%C3%BDm_objazdom.jpg| /wiki/File:Slovenia_road_sign_I-30.svg| /wiki/File:Spain_traffic_signal_p4.svg| /wiki/File:Sweden_road_sign_A30.svg|REPLACED by sign no. 4.54 [note 1]| /wiki/File:Turkish_road_sign_8.jpg| /wiki/File:Ukraine_road_sign_1.19.gif| /wiki/File:UK_traffic_sign_510.svg
Two-way traffic ahead| /wiki/File:Gefahrenzeichen_14.svg| /wiki/File:Belgian_road_sign_A39.svg| /wiki/File:Czech_Republic_road_sign_A_9.svg| /wiki/File:Denmark_road_sign_A18.svg|or /wiki/File:EE_traffic_sign-164.png| /wiki/File:Finland_road_sign_122.svg| /wiki/File:France_road_sign_A18.svg| /wiki/File:Zeichen_125_-_Gegenverkehr,_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-24.svg| /wiki/File:Hungary_road_sign_A-037.svg| /wiki/File:Iceland_road_sign_A25.11.svg|or /wiki/File:W080_Two-Way_Traffic_-_Warning_Sign_Ireland.png| /wiki/File:Italian_traffic_signs_-_doppio_senso.svg| /wiki/File:Luxembourg_road_sign_diagram_A_19.gif| /wiki/File:Nederlands_verkeersbord_J29.svg| /wiki/File:Norwegian-road-sign-148.0.svg| /wiki/File:Znak_A-20.svg| /wiki/File:Portugal_road_sign_A25.svg| /wiki/File:Romania_road_sign_A31.svg| /wiki/File:1.21_Russian_road_sign.svg| /wiki/File:115_Obojsmern%C3%A1_prem%C3%A1vka.jpg| /wiki/File:Slovenia_road_sign_I-23.svg| /wiki/File:Spain_traffic_signal_p25.svg| /wiki/File:Sweden_road_sign_A25.svg| /wiki/File:CH-Gefahrensignal-Gegenverkehr.svg| /wiki/File:Turkish_road_sign_9.jpg| /wiki/File:Ukraine_road_sign_1.26.gif|or /wiki/File:UK_traffic_sign_521.svg
Traffic queues likely ahead|| /wiki/File:Belgisch_verkeersbord_A51_met_onderbord.jpg| /wiki/File:Czech_Republic_road_sign_A_23.svg| /wiki/File:Denmark_road_sign_A20.svg| /wiki/File:EE_traffic_sign-184.png| /wiki/File:Finland_road_sign_133.svg| /wiki/File:France_road_sign_AK30.svg| /wiki/File:Zeichen_124_-_Stau,_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-39.svg| /wiki/File:Hungary_road_sign_A-057.svg|NOT USED| /wiki/File:Diamond_road_sign_queues.svg| /wiki/File:Italian_traffic_signs_-_coda.svg| /wiki/File:Luxembourg_road_sign_diagram_A_20_a.gif| /wiki/File:Nederlands_verkeersbord_J33.svg| /wiki/File:Norwegian-road-sign-149.0.svg| /wiki/File:Znak_A-33.svg| /wiki/File:Portugal_road_sign_A30.svg| /wiki/File:Romania_road_sign_A13.svg| /wiki/File:1.32_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A23.svg| /wiki/File:Slovenia_road_sign_I-33.svg| /wiki/File:Spain_traffic_signal_p31.svg| /wiki/File:Sweden_road_sign_A34.svg| /wiki/File:CH-Gefahrensignal-Stau.svg| /wiki/File:Turkish_road_sign_12.jpg| /wiki/File:Ukraine_road_sign_1.38.gif| /wiki/File:UK_traffic_sign_584.svg
Level crossing without barriers ahead| /wiki/File:Gefahrenzeichen_6b.svg| /wiki/File:Belgian_road_sign_A43.svg| /wiki/File:Czech_Republic_road_sign_A_30.svg| /wiki/File:Denmark_road_sign_A72.svg| /wiki/File:EE_traffic_sign-112.png| /wiki/File:Finland_road_sign_171.svg| /wiki/File:France_road_sign_A8.svg| /wiki/File:Zeichen_151_-_Unbeschrankter_Bahn%C3%BCbergang,_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-32.svg| /wiki/File:Hungary_road_sign_A-039.svg|NOT USED| /wiki/File:Ireland_road_sign_127.svg| /wiki/File:Italian_traffic_signs_-_passaggio_a_livello_senza_barriere.svg| /wiki/File:Luxembourg_road_sign_diagram_A_26.gif| /wiki/File:Nederlands_verkeersbord_J11.svg| /wiki/File:Norwegian-road-sign-135.0.svg| /wiki/File:Znak_A-10.svg| /wiki/File:Portugal_road_sign_A27.svg| /wiki/File:Romania_road_sign_A42.svg| /wiki/File:1.2_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A26.svg| /wiki/File:Slovenia_road_sign_I-37.svg| /wiki/File:Carretera_Paso_a_nivel_01.svg| /wiki/File:Sweden_road_sign_A36.svg| /wiki/File:CH-Gefahrensignal-Bahnuebergang_ohne_Schranken.svg| /wiki/File:Turkey_road_sign_T-26.svg| /wiki/File:Ukraine_road_sign_1.28.gif| /wiki/File:UK_traffic_sign_771.svg
Level crossing with barriers ahead| /wiki/File:Gefahrenzeichen_6a.svg| /wiki/File:Belgian_road_sign_A41.svg| /wiki/File:Czech_Republic_road_sign_A_29.svg| /wiki/File:Denmark_road_sign_A73.svg| /wiki/File:EE_traffic_sign-111.png| /wiki/File:Finland_road_sign_172.svg| /wiki/File:France_road_sign_A7.svg|[note 2] /wiki/File:Zeichen_150_-_Bahn%C3%BCbergang_mit_Schranken_oder_Halbschranken,_StVO_1970.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-31.svg| /wiki/File:Hungary_road_sign_A-038.svg|NOT USED|or /wiki/File:W121_Level_Crossing_With_No_Flashing_Red_Signals_-_Warning_Sign_Ireland.png| /wiki/File:Italian_traffic_signs_-_passaggio_a_livello_con_barriere.svg| /wiki/File:Luxembourg_road_sign_diagram_A_25.gif| /wiki/File:Nederlands_verkeersbord_J10.svg| /wiki/File:Norwegian-road-sign-134.0.svg| /wiki/File:Znak_A-9.svg| /wiki/File:Portugal_road_sign_A26.svg| /wiki/File:Romania_road_sign_A41.svg| /wiki/File:1.1_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A25.svg| /wiki/File:Slovenia_road_sign_I-36.svg| /wiki/File:Carretera_Paso_a_nivel_02.svg| /wiki/File:Sweden_road_sign_A35.svg| /wiki/File:CH-Gefahrensignal-Schranken.svg| /wiki/File:Turkey_road_sign_T-25.svg| /wiki/File:Ukraine_road_sign_1.27.gif| /wiki/File:UK_traffic_sign_770.svg
Level crossing| /wiki/File:Gefahrenzeichen_6d_liegend.svg| /wiki/File:Belgian_road_sign_A45.svg| /wiki/File:Czech_Republic_road_sign_A_32a.svg| /wiki/File:Denmark_road_sign_A74.1.svg| /wiki/File:EE_traffic_sign-121.png| /wiki/File:Finland_road_sign_176.svg| /wiki/File:France_road_sign_G1.svg| /wiki/File:Zeichen_201_%E2%80%93_Andreaskreuz_%E2%80%93_Dem_Schienenverkehr_Vorrang_gew%C3%A4hren!_StVO_1970.svg| /wiki/File:Road-sign-0036.svg| /wiki/File:Hungary_road_sign_A-043.svg|NOT USED|NOT USED| /wiki/File:Italian_traffic_signs_-_croce_di_S.Andrea.svg|| /wiki/File:Nederlands_verkeersbord_J12.svg| /wiki/File:Norwegian-road-sign-138.1.svg| /wiki/File:Znak_G-3.svg| /wiki/File:Portugal_road_sign_A32a.svg| /wiki/File:Romania_road_sign_A49.svg| /wiki/File:1.3.1_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A30a.svg| /wiki/File:Slovenia_road_sign_I-38.svg| /wiki/File:Spain_traffic_signal_p11.svg| /wiki/File:Sweden_road_sign_A39-1.svg| /wiki/File:CH-Vortrittssignal-Einfaches_Andreaskreuz.svg| /wiki/File:Turkey_road_sign_T-27a.svg| /wiki/File:Ukraine_road_sign_1.29.gif|(no gates) /wiki/File:UK_traffic_sign_774.svg
Level crossing (multiple tracks)| /wiki/File:Gefahrenzeichen_6d_doppelt_liegend.svg| /wiki/File:Belgian_road_sign_A47.svg| /wiki/File:A32b_CZ.svg| /wiki/File:Denmark_road_sign_A74.2.svg| /wiki/File:EE_traffic_sign-122.png| /wiki/File:Finland_road_sign_177.svg||NOT USED| /wiki/File:Road-sign-0037.svg| /wiki/File:Hungary_road_sign_A-044.svg|NOT USED|NOT USED| /wiki/File:Italian_traffic_signs_-_Doppia_croce_di_Sant%27Andrea.svg|| /wiki/File:Nederlands_verkeersbord_J13.svg| /wiki/File:Norwegian-road-sign-138.2.svg| /wiki/File:Znak_G-4.svg| /wiki/File:Portugal_road_sign_A32b.svg| /wiki/File:Romania_road_sign_A50.svg| /wiki/File:1.3.2_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A30b.svg| /wiki/File:Slovenia_road_sign_I-38.1.svg| /wiki/File:Spain_traffic_signal_p11a.svg| /wiki/File:Sweden_road_sign_A39-3.svg|DEPRE- CATED /wiki/File:CH-Vortrittssignal-Doppeltes_Andreaskreuz.svg| /wiki/File:Turkey_road_sign_T-27b.svg| /wiki/File:Ukraine_road_sign_1.30.gif|NOT USED
