Country;Country;Motorways;Motorways;Express-/ Speedways;Express-/ Speedways;Express-/ Speedways;Motor- & Express-/ Speedways directions;Motor- & Express-/ Speedways directions;Primary roads;Primary roads;Primary roads;Primary roads;Secondary roads;Secondary roads;Secondary roads;Warning signs;Warning signs;Warning signs;Road works / Detours[n 1];Road works / Detours[n 1];
Name;Code;white on green /wiki/File:Vienna_Convention_road_sign_E5a-V2.svg;white on blue /wiki/File:Vienna_Convention_road_sign_E5a-V1.svg;n/a;white on green /wiki/File:Vienna_Convention_road_sign_E6a-V2.svg;white on blue /wiki/File:Vienna_Convention_road_sign_E6a-V1.svg;white on green /wiki/File:CH-Hinweissignal-Wegweiser_zu_Autobahnen_oder_Autostrassen.svg;white on blue /wiki/File:Hinweiszeichen_14b_rechts.svg;white on green /wiki/File:Information_road_sign_direction_national_road.svg;white on blue /wiki/File:CH-Hinweissignal-Wegweiser_f%C3%BCr_Hauptstrassen.svg;black on yellow /wiki/File:Zeichen_419_-_Wegweisung_auf_sonstigen_Stra%C3%9Fen_mit_geringerer_Verkehrsbedeutung_(rechtsweisend),_(750x200),_StVO_1970.svg;black/red on white /wiki/File:D21b.svg;n/a;black on white /wiki/File:CH-Hinweissignal-Wegweiser_f%C3%BCr_Nebenstrassen.svg;white on blue /wiki/File:Italian_traffic_signs_-_direzione_blu.svg;Triangle on white /wiki/File:Vienna_Convention_road_sign_Aa-32-V1.svg;Triangle on yellow /wiki/File:Vienna_Convention_road_sign_Aa-32-V3.svg;Diamond on yellow /wiki/File:Vienna_Convention_road_sign_Ab-32-V1.svg;on orange /wiki/File:IS11bcr.jpg;on yellow /wiki/File:Italian_traffic_signs_-_direzione_giallo.svg;
Austria;A;;w/b;;;w/b;;w/b;°w/g[n 2][n 3];;;bl/w;×;;;bl/w;;;;bl/y;
Switzerland;CH;w/g;;;w/g;;w/g;;;w/b;;;;bl/w;;bl/w;;;bl/o;;
Liechtenstein;LI;w/g;;;w/g;;w/g;;;w/b;;;;bl/w;;bl/w;;;bl/o;;
Lithuania;LT;w/g;;;;w/b;w/g;;;w/b;;;;bl/w;;bl/w;;;;bl/y;
Czech Republic;CZ;w/g;;;;w/b;w/g[n 4];w/b[n 5];;w/b;;;;bl/w;;bl/w;;;bl/o;;
Germany;D;;w/b;;;w/b;;w/b;;;bl/y;;×;;;bl/w;;;;bl/y;
Greece;GR;y+w/g;;;;y+w/b;°y+w/g[n 6];°y+w/b[n 7];;y+w/b;;;;bl/w;;;bl/y;;;;
France;F;;w/b;;;w/b;;w/b;°w/g[n 2];;;bl/w;×;;;bl/w;°bl/y[n 1];;bl/o;;
Poland;PL;;w/b;;w/b;;;w/b;w/g;;;;;b/w;;;bl/o;;bl/o;;
Ireland;IE;;w/b;×;;;;w/b;w/g;;;;;bl/w;;;;bl/y;bl/o;;
Italy;I;w/g;;;;w/b[n 8];°w/g[n 6];°w/b[n 7];;w/b;;;;bl/w;;bl/w;°bl/y[n 1];;;bl/y;
Netherlands;NL;;w/b;;;w/b;;w/b;;w/b;;;;;w/b;bl/w;;;;bl/y;
Norway;N;;w/b;;;w/b;;w/b;;;bl/y;;×;;;bl/w;°bl/gg[n 1];;bl/o;;
Portugal;PT;;w/b;;;w/b;;w/b;;;;bl/w;;bl/w;;bl/w;;;;bl/y;
