bbPress;Flat;Threaded;User selectable themes;Unread message tracking;WYSIWYG Editor;Export, portability;Email / NNTP interface;Languages;SSO
Yes[27];Beehive Forum;Discourse;Discuz!;FluxBB;No[28];Plugin[29][30];Yes[31];FUDforum;Invision Power Board
Yes[27];Yes[27];Partial[27];Full[27];Yes[27] (using TinyMCE);Partial[32];MyBB[48];Phorum;phpBB[55];PunBB[61]
Yes;No[33];Yes[34];Full;Real-time side-by-side preview;Full[35];Partial[36];Yes[37][38];OAuth2[39], Custom[40];Simple Machines Forum
Thredded;UBB.threads;Yes[41];Vanilla Forums;vBulletin[72];XenForo;;;;
Yes[27];No[27];Partial[27];Session[27];No[27];;;Yes[42];;
Yes[27];Yes[27];Yes[27];Full[27];Yes[27];Partial[43];Yes[44];Yes[45];;
Yes[27];;Yes[27];Full[27];Yes[27];;No[46];;No[47];
Yes[27];Yes[27];Yes[27];Full[27];Yes[27];No[49];No[50][51];Yes[52];;
Yes[27];Yes[27];Yes[27];Full[27];Yes[27];Plugin[53];;No[54];;
Yes[27];No[27];Yes[27];Full[27];No[27];No[56];No[57][58];Yes[59];Yes (LDAP, OAuth)[60];
Yes[27];;Yes[27];Session[27];;;;No[62][63];;
Yes[27];No[27];Yes[27];Full[27];Yes[27];Partial [64];No[65];Yes[66];;
Yes[25];No[25];Yes[25];Full[25];No[25];No[25];Read-only[25];Yes[25];Custom[25];
Yes[27];Yes[27];Yes[27];Full[27];No[27];;;No[67];;
Yes[27];;Yes[27];Yes[27];Plugin[27];Plugin [68][69];;No[70];Yes[71];
Yes[27];Yes[27];Yes[27];Full[27];Yes[27];Plugin[73][74];;No[75];;
Yes[27];;Yes[27];Full[27];Yes[27];Yes[76];;Yes[77];Yes[78];
