OLAP Server;Semi-additive measures;Many-to-Many;Multi-Cube Model;Perspectives;KPI;Multilingual;Named Sets;Multi-attribute Hierarchies;Actions
Apache Kylin;No;No;Yes;No;Yes;Yes;No;Yes;Yes
Druid;Yes;Yes;Yes;?;No;Yes;?;Yes;Yes
Essbase;Yes;?;?;?;Yes;Yes;Yes;Yes;?
IBM Cognos BI;Yes;Yes;?;?;?;?;Yes;Yes;?
IBM Cognos TM1;Yes;Yes;Yes;?;?;?;?;?;?
icCube;Yes[31];Yes[32];Yes;Yes;?;Yes;Yes;?;?
Infor BI OLAP Server;Yes;?;Yes;?;Yes;?;?;?;?
Jedox OLAP Server;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?
Kyligence;Yes;No;No;No;Yes;Yes;Kyvos BI on Big Data;Yes;Microsoft Analysis Services
Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;MicroStrategy Intelligence Server
Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Mondrian OLAP server
Yes;?;?;?;?;?;?;?;?;Oracle Database OLAP Option
Yes[33];?;?;?;?;?;?;?;?;SAP NetWeaver BW
Yes;?;?;?;?;?;?;?;?;SAS OLAP Server
Yes;?;?;?;?;?;?;?;?;
Yes;?;?;?;?;?;?;?;?;
