Calculator;TI-BASIC;Native code;Lua
TI-73, TI-73 Explorer /wiki/File:Ti_73_Graphing_Calculator.jpg;Yes;Yes;No
TI-80 /wiki/File:TI-80.png;Yes;No;No
TI-81 /wiki/File:TI-81.png;Yes;Only using exploits;No
TI-82 /wiki/File:TI-82.png;Yes;Only using exploits;No
TI-83 /wiki/File:TI-83.png;Yes;Yes;No
TI-83 Plus /wiki/File:Ti83plus.jpg;Yes;Yes;No
TI-83 Plus Silver Edition /wiki/File:Ti83-plus-silver.png;Yes;Yes;No
TI-84 Plus /wiki/File:TI-84_Plus_plain.jpg;Yes;Yes;No
TI-84 Plus Silver Edition /wiki/File:TI-84_Plus_Silver_Edition.JPG;Yes;Yes;No
TI-84 Plus C Silver Edition /wiki/File:The_proposed_Ti-84%2B_C_Edition_SE.jpg;Yes;Yes;No
TI-84 Plus CE /wiki/File:TI-84_Plus_CE_(red).jpg;Yes;Yes;No
TI-85 /wiki/File:TI85_graphing_calculator.jpg;Yes;Only using exploits;No
TI-86 /wiki/File:TI-86.jpg;Yes;Yes;No
TI-89 /wiki/File:TI-89.png;Yes;Yes;No
TI-89 Titanium /wiki/File:TI-89Titanium.png;Yes;Yes;No
TI-92, TI-92 II /wiki/File:TI-92.png;Yes;Only using exploits;No
TI-92 Plus /wiki/File:Ti-92plus.jpg;Yes;Yes;No
Voyage 200 /wiki/File:Voyage200.jpg;Yes;Yes;No
TI-Nspire, TI-Nspire CAS /wiki/File:TI-Nspire_CAS_Touchpad.JPG;Yes;Only using exploits;Yes
TI-Nspire CX, TI-Nspire CX CAS /wiki/File:TI-nspire_CX_CAS.jpg;Yes;Only using exploits;Yes
