;included chess engine(s);Can open/save PGN;Can import UCI[9] engines;Levels;3D or Animated pieces;Variants;Multiplayer
Aquarium;Crafty, Delfi, Rybka, Spike;Yes;Yes;multivariation[10], uci_elo[11];No;Chess960;No
Battle Chess;n/a;No;No;;Yes;No;
Battle Chess: Game of Kings;n/a;No;No;;Yes;No;
Battle vs. Chess;Fritz;No;No;;Yes;;
Chessaria: The Tactical Adventure;n/a;No;No;;Yes;Yes;Yes
Chess Assistant;Dragon, Rybka;Yes;Yes;multivariation, uci_elo[12];No;Chess960;No
Chessbase;Fritz;Yes;Yes;uci_elo[13] for analysis but no timed play;No;Chess960;No
Chess Crusade;n/a;No;No;;;;
Chessmaster;The King;Yes;No;Personalities with Elo ratings;Yes;No;no longer supported
Chess Titans;n/a;No;No;Yes;No;No;
ChessV;;;;;;;
Combat Chess;Rebel;Yes;No;;Yes;;
Fritz;Rybka, earlier Pandix or Fritz;Yes;Yes;Friend Mode[14], Handicap and Fun[15], uci_elo[16];Yes;Chess960;
Fritz and Chesster;Fritz;;;;;;Hiarcs Chess Explorer
Hiarcs;Yes;Yes;uci_elo[17];No;No;No;Chessbase Junior
Junior;Yes;Yes;Friend Mode, Handicap and Fun, uci_elo[18];Yes;Chess960;Yes;glChess
;;;;;;GNU Chess;Lego Chess
GNU chess;Yes;No;;No;Knightmate, Capablanca and Gothic Chess, Shatranj, Courier Chess, Cylinder chess, Berolina Chess under fairymax;No;Playchess
n/a;No;No;;Yes;;No;Power Chess
none;Yes;No;Other players have Elo rating;No;Chess960;Yes;Pure Chess
WChess;No;No;;;;;pyChess
n/a;No;No;;Yes;;;Chessbase Rybka
;;;;;;;Shredder UCI GUI
Rybka;Yes;Yes;Friend Mode, Handicap and Fun, uci_elo[19];Yes;Chess960;Yes;Silver Star Chess
Shredder;Yes;Yes;uci_elo[20];No;Chess960;No;SMIRF
n/a;;No;;;;;Wii Chess
;;;;;Chess960, Bird Chess, Capablanca Chess, Capablanca Random Chess, Carrera Chess, Embassy Chess, Janus Chess;;Winboard/xBoard
Loop Express;No;No;;;;;
Crafty;Yes;via UCI2WB;No;No;Knightmate, Capablanca and Gothic Chess, Shatranj, Courier Chess, Cylinder chess, Berolina Chess under fairymax;Yes;
