Aquarium;Developer;First release;Latest release;License;Platform
Victor Zakharov, Vladimir Makhnychev;2008;2018;Commercial (Convekta);Microsoft Windows;Battle Chess
Interplay Silicon & Synapse (C64)[1];1988;1994;Commercial;Microsoft Windows, Apple Inc., Amiga, 3DO, Acorn Archimedes, Atari, Commodore 64, MS-DOS, FM Towns, NES, PC-98, Sharp X68000;Battle Chess: Game of Kings
Interplay;2014-04;n/a;Commercial;Steam (software);Battle vs. Chess
Targem Games Zuxxez Entertainment;2011;n/a;Commercial;Microsoft Windows, Mac OS X, Nintendo DS, PlayStation 3, PlayStation Portable, Xbox 360, Wii;Chessaria: The Tactical Adventure
Pixel Wizards[2][3];2018;n/a;Commercial;Steam (software), Microsoft Windows, Mac OS X;Chess Assistant
Victor Zakharov;1988;2018;Commercial (Convekta);Microsoft Windows;Chessbase
Mathias Wüllenweber, Mathias Feist;1987;2018;Commercial (Chessbase);Microsoft Windows, Android, Steam;Chess Crusade
Slam Games [4];2008;2010;Commercial;Microsoft Windows, iOS, Wii, Nintendo DS, PlayStation 2,;Chessmaster
David Kittinger, Kathe and Dan Spracklen, Johan de Koning;1986;2007;Commercial (Ubisoft);MS Windows, MS-DOS, PlayStation, Xbox 360, (XBLA), PSP, PS2;Chess Titans
Oberon Games;2007;n/a;Included in Microsoft Windows Vista and 7;Windows Vista, Windows 7;ChessV
Gregory Strong;2009;n/a;GPL;Microsoft Windows;Combat Chess
Ed Schroder, Mind's Eye Productions [5];1997;Fritz;Commercial (Gog.com);Microsoft Windows;Fritz and Chesster
Frans Morsch, Mathias Feist, Gyula Horvath, Vasik Rajlich;1991;2018;Commercial (Chessbase);Microsoft Windows, Steam, PlayStation 3, Wii, Nintendo DS;glChess
Chessbase;2005;2010;Commercial (Chessbase);Microsoft Windows, Mac, Nintendo DS;GNU Chess
Robert Ancell, GNOME Team;2000;HIARCS;Free;Unix-like;Junior
Stuart Cracraft, John Stanback, Chua Kong-Sian, Fabien Letouzey;1984;2013;Free;Microsoft Windows, Unix-like;Kasparov Chessmate
Mark Uniacke;1980;2012;Commercial (Chessbase, Hiarcs.com);Microsoft Windows, iOS, Mac OS X, Windows Mobile, Freescale DragonBall, ARM-based Palm OS;Lego Chess
Amir Ban, Shay Bushinsky;2003;Playchess;Commercial (Chessbase, Hiarcs.com);Microsoft Windows;Power Chess
Per-ola Valfridsson;2003;Pure Chess;Commercial (EA Mobile);Microsoft Windows, Playstation;pyChess
Krisalis Software [6];1998;n/a;Commercial;Microsoft Windows;Rybka
Chessbase;2003;2018;Commercial (Chessbase);Microsoft Windows, web;Shredder
David Kittinger, Sierra Entertainment [7];1996;1998;Commercial (Vivendi);Microsoft Windows;Silver Star Chess
VooFoo Studios;2012;n/a;Commercial (Ripstone);Microsoft Windows, Android, iOS, PlayStation 3, PlayStation Vita;SMIRF
PyChess Project;2006;Wii Chess;GPL;Unix-like;Winboard/xBoard
Vasik Rajlich;2010;;Commercial (Chessbase, rybkachess.com);Microsoft Windows;
Stefan Meyer-Kahlen;1993;2010;Commercial (Chessbase Shredderchess.com);Microsoft Windows, Mac OS X, Linux, iPhone, iPad, Android;
AgeTec [8];2008;n/a;Commercial;Wiiware;
Reinhard Scharnagl;;2009;Commercial;Microsoft Windows;
Fritz Reul;2008;n/a;Commercial;Nintendo Wii;
Tim Mann, Harm Geert Muller;;2013;Free GPL;Unix-like, X11, Microsoft Windows;
