Function;Size (bits)[cf 1];Size (bits)[cf 1];Size (bits)[cf 1];Size (bits)[cf 1];Size (bits)[cf 1];Size (bits)[cf 1];Words × Passes = Rounds[cf 2];Operations[cf 3];Endian[cf 4];Specification
Function;Word;Digest;Chaining values[cf 5];Computation values[cf 6];Block;Length [cf 7];Words × Passes = Rounds[cf 2];Operations[cf 3];Endian[cf 4];Specification
GOST R 34.11-94;32;×8 = 256;×8 = 256;×8 = 256;×8 = 256;32;4;A B L S;Little;RFC 5831
HAVAL-3-128;32;×4 = 128;×8 = 256;×8 = 256;×32 = 1,024;64;32 × 3 = 96;A B S;Little;HAVAL
HAVAL-3-160;32;×5 = 160;×8 = 256;;×32 = 1,024;64;32 × 3 = 96;A B S;Little;HAVAL
HAVAL-3-192;32;×6 = 192;×8 = 256;;×32 = 1,024;64;32 × 3 = 96;A B S;Little;HAVAL
HAVAL-3-224;32;×7 = 224;×8 = 256;;×32 = 1,024;64;32 × 3 = 96;A B S;Little;HAVAL
HAVAL-3-256;32;×8 = 256;×8 = 256;;×32 = 1,024;64;32 × 3 = 96;A B S;Little;HAVAL
HAVAL-4-128;32;×4 = 128;×8 = 256;32 × 4 = 128;×32 = 1,024;64;;A B S;Little;HAVAL
HAVAL-4-160;32;×5 = 160;×8 = 256;32 × 4 = 128;×32 = 1,024;64;;A B S;Little;HAVAL
HAVAL-4-192;32;×6 = 192;×8 = 256;32 × 4 = 128;×32 = 1,024;64;;A B S;Little;HAVAL
HAVAL-4-224;32;×7 = 224;×8 = 256;32 × 4 = 128;×32 = 1,024;64;;A B S;Little;HAVAL
HAVAL-4-256;32;×8 = 256;×8 = 256;32 × 4 = 128;×32 = 1,024;64;;A B S;Little;HAVAL
HAVAL-5-128;32;×4 = 128;×8 = 256;32 × 5 = 160;×32 = 1,024;64;;A B S;Little;HAVAL
HAVAL-5-160;32;×5 = 160;×8 = 256;32 × 5 = 160;×32 = 1,024;64;;A B S;Little;HAVAL
HAVAL-5-192;32;×6 = 192;×8 = 256;32 × 5 = 160;×32 = 1,024;64;;A B S;Little;HAVAL
HAVAL-5-224;32;×7 = 224;×8 = 256;32 × 5 = 160;×32 = 1,024;64;;A B S;Little;HAVAL
HAVAL-5-256;32;×8 = 256;×8 = 256;32 × 5 = 160;×32 = 1,024;64;;A B S;Little;HAVAL
MD2;8;×16 = 128;×32 = 256;×48 = 384;×16 = 128;None;48 × 18 = 864;B;N/A;RFC 1319
MD4;32;×4 = 128;×4 = 128;×4 = 128;×16 = 512;64;16 × 3 = 48;A B S;Little;RFC 1320
MD5;32;×4 = 128;16 × 4 = 64;RFC 1321;×16 = 512;64;;A B S;Little;
RIPEMD;32;×4 = 128;×4 = 128;×8 = 256;×16 = 512;64;16 × 3 = 48;A B S;Little;
RIPEMD-128;32;×4 = 128;16 × 4 = 64;×8 = 256;×16 = 512;64;RIPEMD-160[4];A B S;Little;
RIPEMD-256;32;×8 = 256;×8 = 256;×8 = 256;×16 = 512;64;RIPEMD-160[4];A B S;Little;
RIPEMD-160;32;×5 = 160;×5 = 160;×10 = 320;×16 = 512;64;RIPEMD-160[4];A B S;Little;16 × 5 = 80
RIPEMD-320;32;×10 = 320;×10 = 320;×10 = 320;×16 = 512;64;RIPEMD-160[4];A B S;Little;16 × 5 = 80
SHA-0;32;×5 = 160;×5 = 160;×5 = 160;×16 = 512;64;16 × 5 = 80;A B S;Big;
SHA-1;32;×5 = 160;FIPS 180-3;;×16 = 512;64;16 × 5 = 80;A B S;Big;
SHA-256;32;×8 = 256;FIPS 180-3;×8 = 256;×8 = 256;64;16 × 4 = 64;A B S;Big;
SHA-224;32;×7 = 224;FIPS 180-3;×8 = 256;×16 = 512;64;16 × 4 = 64;A B S;Big;
SHA-512;64;×8 = 512;FIPS 180-3;×8 = 512;×8 = 512;×16 = 1024;128;A B S;Big;16 × 5 = 80
SHA-384;64;×6 = 384;FIPS 180-3;×8 = 512;;×16 = 1024;128;A B S;Big;16 × 5 = 80
Tiger-192;64;×3 = 192;×3 = 192;×3 = 192;×8 = 512;64;8 × 3 = 24;A B L S;Not Specified;Tiger
Tiger-160;64;×2.5=160;×3 = 192;;×8 = 512;64;8 × 3 = 24;A B L S;Not Specified;Tiger
Tiger-128;64;×2 = 128;×3 = 192;;×8 = 512;64;8 × 3 = 24;A B L S;Not Specified;Tiger
