Product;Creator;Latest stable release date;Latest stable release;Latest testing release;License;Runs on Windows;Runs on Mac OS X;Runs on Linux;Oracle;MySQL;PostgreSQL;MS SQL Server;ODBC;JDBC;SQLite;Other;Programming language
Adminer;Jakub Vrána;2018-06-28;4.6.3[1];none distributed;Apache License or GPL;Yes;Yes;Yes;Yes;Yes;Yes;Yes;DaDaBIK;Database Deployment Manager;Yes;DatabaseSpy;PHP
Eugenio Tacchini;2012-04-03;4.4;?;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Database Workbench;PHP;DataGrip
The Unauthorized Frog project;2012-05-29;v0.1i;?;LGPL;Yes;No;Yes;DBeaver;Yes;DBEdit;Epictetus;ER/Builder Data Modeler;HeidiSQL;Maatkit;Microsoft SQL Server Management Studio;Qt/C++;ModelRight
Altova;2013-06-12;v2013r2sp1;?;Proprietary;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;MySQL Workbench;IBM DB2, Sybase, MS Access;C++;Navicat
Upscene Productions;2017-06-29;5.3.2;?;Proprietary;Yes;requires Wine;requires Wine;Yes;Yes;Navicat Data Modeler;Yes;Yes;Oracle Enterprise Manager;Oracle SQL Developer;InterBase, Firebird, SQL Anywhere, NexusDB and MariaDB;Delphi;Orbada
JetBrains;2017-09-06;2017.2.2;2017.3 RC, build 173.3727.95;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Sybase, DB2, H2, Hypersonic SQL, Amazon Redshift, Apache Derby;Java;pgAdmin III
Serge Rider;2018-10-21;5.2.3;?;Apache License;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;MySQL, PostgreSQL, Oracle, EXASOL, IBM DB2, SQL Server, Apache Derby, Firebird all with JDBC driver;Java;phpLiteAdmin
Jef Van Den Ouweland;2011-03-18;2.4;?;GPL;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;IBM DB2, HSQLDB, Apache Derby, H2;Java;phpMyAdmin
Antilogic Software;?;?;1.0 (2009-06-17);Proprietary;Yes;Yes;Yes;Yes;SQL Database Studio;Yes;Yes;SQLyog;SQuirreL SQL;Toad;Sybase, InterBase/Firebird, H2, HSQLDB;Java;Toad Data Modeler
SoftBuilder;2018-10-15;1.0;?;Freeware;Yes;No;No;Yes;Yes;Yes;Yes;TOra;;;InterBase, Firebird and MariaDB;;
Ansgar Becker;2017-12-19;9.5;?;GPL;Yes;requires Wine;requires Wine;;Yes;Yes;Yes;;;;;Embarcadero Delphi;
Baron Schwartz;2010-06-01;5247;discontinued since 2011;GPL;Yes;Yes;Yes;;Yes;;;;;;;Perl;
Microsoft;2018-05-9[2];17.7;?;Proprietary;Yes;No;No;;;;Yes;;;;including SSAS management, and MDX, DMX, and XMLA languages;.Net;
ModelRight;?;3.6;3.7;Proprietary;Yes;No;No;Yes;Yes;;Yes;Yes;;;SQL Server, Oracle, MySQL, PostgreSQL, DB2, DB2/zOS, MS Access;C++;
Oracle Corporation;2017-02-07;6.3.9;?;Community Ed: GPL Standard Ed: Commercial Proprietary;Yes;Yes;Yes;;Yes;;;;;;;C++/C# Objective-C Python (programming language);
