Name;Frequency;Credit bureau;Full SSN required?;Scoring model
AnnualCreditReport.com;Annual full official report (one from each agency) [3];Equifax, Experian, TransUnion[3];Yes[3];No score provided
CreditCards.com by Bankrate;Monthly full report[4];TransUnion[4];Last 4 digits only;VantageScore 3.0[4]
Credit.com;Monthly summary[5];Experian[5];Yes[5];VantageScore 3.0[6], Experian's National Equivalency Score[5]
Credit Journey by Chase;Weekly summary[7];TransUnion[7];Yes[7];VantageScore 3.0[7]
Credit Karma;Weekly full reports[8];TransUnion, Equifax[8];Last 4 digits only[8];VantageScore 3.0[6]
Credit Scorecard by Discover;Monthly summary[9];Experian;Yes[9];FICO 8[9]
Credit Sesame;Monthly summary[10];TransUnion[10];Last 4 digits only[10];VantageScore 3.0[10]
CreditWise by Capital One;Weekly full report[11];TransUnion[11];Yes[11];VantageScore 3.0[11]
CreditWorks Basic by Experian;Monthly full report[12];Experian;Last 4 digits only[12];FICO 8[12]
LendingTree;Monthly summary[13];TransUnion[13];Last 4 digits only[13];VantageScore 3.0[6]
Mint by Intuit;Monthly summary[14];TransUnion[14];Yes[14];VantageScore 3.0[15]
MoneyLion;Monthly summary[16];TransUnion[13];Yes[13];VantageScore 3.0[6]
myBankrate;Monthly full report[17];TransUnion[17];Last 4 digits only;VantageScore 3.0[17]
MyCredit Guide by American Express;Weekly full report[18];TransUnion[18];Last 4 digits only;VantageScore 3.0[18]
NerdWallet;Weekly full report[19];TransUnion[19];Last 4 digits only[19];VantageScore 3.0[19]
SavvyMoney;Monthly summary[20];TransUnion[20];Yes[20];VantageScore 3.0[20]
QLCredit;Biweekly full report[21];TransUnion[21];Yes[21];VantageScore 3.0[6]
Quizzle by Bankrate;Quarterly full report[22];TransUnion[22];Last 4 digits only[22];VantageScore 3.0[6]
WalletHub;Daily full report[23];TransUnion[23];Last 4 digits only[23];VantageScore 3.0[6]
