GP2X|Display|Resolution|Colors|Controller|Game media|Operating System
3.5"" Backlit TFT LCD|320 x 240|260,000 colors (F100) ; 16.77 million colors (F200)|Eight-Directional Digital Stick|Secure Digital Memory Cards|GPD Win|GPD Win 2
5.5"" backlit H-IPS touchscreen|1280×720|Pandora|2x analog sticks, D-pad, 4 face buttons, 4 shoulder buttons, 67-button QWERTY keyboard, touchscreen|Various, incl. but not limited to: Digital download, video game ROM .ISO image, MicroSD card|Windows 10|Game Boy Micro
6"" backlit H-IPS touchscreen (w/wireless Miracast and Intel WiDi support)|1280x720 (w/4K video support, 4096x2304 max)|Gizmondo|2x analog sticks, D-pad, 4 face buttons, 6 shoulder buttons, 80-button QWERTY keyboard, touchscreen|Various, incl. but not limited to: Digital download, video game ROM .ISO image, MicroSD card|Windows 10|PlayStation Portable
4.3"" Backlit LCD touchscreen|800 x 480|16,700,000 colours|Two analogue nubs, 4-Way D-pad, 2 shoulder buttons, 46 key qwerty keyboard, touchscreen|SD, SDHC and SDXC|GCW Zero|Nintendo DS
2 in. LCD|240 x 160|32,768 colors|D-pad|Proprietary solid-state cartridge|N-Gage QD|Timetop Gameking 1 & 2
2.8 in. LCD|240 x 320|65,536 colors|Four-directional digital pad|SD card or downloadable|Windows CE|GP32
4.3 in. LCD|480 x 272|16,700,000 colours|Four-directional digital pad, analog thumbstick|UMD or memory stick|Dingoo A320|Tapwave Zodiac
3.5"" Backlit TFT LCD|320 x 240|260,000 colors|8-directional digital pad, analog joystick, L/R shoulder buttons, ABXY action buttons, start & select buttons, power slider|micro SDHC and micro SDXC|N-Gage|Game Boy Advance SP
Two 3 in. LCDs|256 x 192 (X2)|260,000 colors|D-pad, stylus-driven touchscreen|Proprietary matrix memory cards|Game Boy Advance|Swan Crystal
2.1 in. LCD|176 x 208|4,096 colors|Four-directional digital pad|MMC or downloadable|WonderSwan Color|WonderSwan
2.1 in. Reflective LCD (Backlit in Gameking 2).|48 x 32|4 shades of gray|Four-directional digital pad|Proprietary solid-state cartridge|Game Boy Color|Neo Geo Pocket Color
3.5 in. TFT|320 x 240|65,536 colors|Four-directional digital stick|Rewritable SmartMedia|Neo Geo Pocket|game.com
2.8 in. LCD|240 x 320|65,536 colors|Four-directional digital pad, shoulder buttons, action buttons, start & select buttons|Built-in, miniSD card or downloadable|µC/uOS-II Linux|Game Boy Light
3.8 in. LCD|480 x 320|65,536 colors|8-directional analog thumbstick, stylus-driven touchscreen|SD card or downloadable|Game Boy Pocket|Sega Nomad
2.1 in. LCD|176 x 208|4,096 colors|Four-directional digital pad|MMC N-Gage Arena|Symbian OS 6.1 (Series 60)|Mega Duck/Cougar Boy
2.9 in. LCD|240 x 160|32,768 colors|D-Pad|Proprietary solid-state cartridge|Watara Supervision|Atari Lynx II
2.9 in. LCD|240 x 160|32,768 colors|D-Pad|Proprietary solid-state cartridge|Game Gear|TurboExpress
2.8 in. TFT LCD|224x144|4,096 colors, 241 simultaneous|Four-directional digital pad|Proprietary solid-state cartridge|Game Boy|Atari Lynx
2.8 in. FSTN reflective LCD|224x144|4,096 colors, 241 simultaneous|Four-directional digital pad|Proprietary solid-state cartridge|Game Pocket Computer|Microvision
2.49 in. FSTN Reflection LCD|224 X 144|Mi2 console|Four-directional digital pad|Proprietary solid-state cartridge|Xperia PLAY|
TFT LCD|160 x 144|32,768 colors; 10, 32 or 56 simultaneous|Four-directional digital pad|Proprietary solid-state cartridge||
TFT LCD|160 x 152|4,096 colors, 146 simultaneous|8-directional digital thumbstick|Proprietary solid-state cartridge||
TFT LCD|160 x 152|16 palettes per plane?|8-directional digital thumbstick|Proprietary solid-state cartridge||
3.9 in. LCD|200 x 160|4|Four-directional digital pad, touchscreen|Proprietary solid-state cartridge||
Backlit Reflective LCD|160 x 144|4|D-Pad|Proprietary solid-state cartridge||
Reflective LCD|160 x 144|4|D-Pad|Proprietary solid-state cartridge||
3 in. LCD|320 x 224|512 available, 64 simultaneous|Four-directional digital pad|Proprietary solid-state cartridge (compatible with Sega Genesis)||
2,7"" (48 (h) x 51 (w) mm) STN dot matriix|160×144|4 monochrome green shades|Four-directional digital pad|Proprietary solid-state cartridge||
61 mm x 61 mm (2.37"" x 2.37"") LCD SuperVision FAQ|160 x 160 pixel display|4 monochrome green shades|Four-directional digital pad|Proprietary solid-state cartridge||
3.5"" LCD|160 x 102|4096 (12-bit), 16 per scanline|Four-directional digital pad|Proprietary solid-state cartridge||
3.2 in. LCD|160 x 144|4,096 available, 32 simultaneous|Four-directional digital pad|Proprietary solid-state cartridge||
TFT LCD|256x256|512|Four-directional digital pad|Proprietary solid-state cartridge (compatible with TurboGrafx-16)||
Reflective LCD|160 x 144|4|D-Pad|Proprietary solid-state cartridge||
3.5"" LCD (diagonal); 3.25"" x 1.88""[24]|160 x 102|4096 (12-bit), 16 per scanline|Four-directional digital pad|Proprietary solid-state cartridge||
LCD|75 x 64|1|Four-directional control pad|Proprietary solid-state cartridge||
LCD|16 x 16|4|12 button keypad, one paddle|Proprietary solid-state cartridge||
3.5 in. LCD|240 x 320|""full color""|Four-directional digital pad, shoulder buttons, action buttons, menu buttons, touch-screen, camera and motion sense|built in, SD card or downloadable||
4""|854×480|16M colors|Touchscreen Accelerometer Touchpad 20× buttons|Google Play|Android 2.3.7 (Unofficial 5.1)|
