Language;Language;Pairaphrase;Xerox Easy Translator;Omniscien Technologies Language Studio;IBM Watson;Apertium;OpenLogos;Google Translate;Slate Rocks;Moses for Mere Mortals;Babel Fish;Bing Translator;GramTrans;SYSTRAN;IdiomaX;SAIC Omnifluent;lingenio translate
To English;Arabic to English;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No
To English;Catalan to English;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No
To English;Chinese (Simplified) to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No
To English;Chinese (Traditional) to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No
To English;Czech to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To English;Danish to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No
To English;Dutch to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No
To English;Esperanto to English;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No
To English;Estonian to English;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To English;Finnish to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To English;French to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
To English;Galician to English;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No
To English;German to English;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes
To English;Greek to English;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No
To English;Haitian Creole to English;Yes;Yes;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No
To English;Hebrew to English;Yes;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;Yes;No
