Camera model;Camera line;Manufacturer;Introduced;Weight;MOS/Sync;Lens mount
7LTR (Super 16);Aaton LTR;Aaton;1974;54LTR;Sync;Aaton universal
Aaton LTR;Aaton;1982;Arriflex 16HSR2 (Super 16);Sync;Aaton universal;Arriflex 16SR2 (Super 16)
Arriflex 16SR;Arri;1982;11.02 lb (5.00 kg), with empty magazine;Sync;Arri bayonet (Arri PL for some later models);Panaflex 16 (""The Elaine"")
Arriflex 16SR;Arri;1982;11.02 lb (5.00 kg), with empty magazine;Sync;Arri bayonet (Arri PL for some later models);XTR
Panaflex 16;Panavision;June 27, 1984[1];16.6 lb (7.5 kg), with eyepiece;Sync;PV mount;Arriflex 16HSR3
Aaton XTR;Aaton;1984;Arriflex 16SR3;Sync;Aaton universal;X0plus
Arriflex 16SR;Arri;1992;14.5 lb (6.6 kg);Sync;Arri PL;XTRplus
Arriflex 16SR;Arri;1992;14.5 lb (6.6 kg);Sync;Arri PL;XTRprod
Aaton XTR;Aaton;1992;A-Minima;Sync;Aaton universal;Arriflex 416
Aaton XTR;Aaton;1992;Arriflex 416 Plus;Sync;Aaton universal;Xtera
Aaton XTR;Aaton;1994;13 lb (5.9 kg), with onboard battery and full magazine;Sync;Arri PL, Aaton universal, or PV mount;
A-Minima;Aaton;2000;5 lb (2.3 kg), with onboard battery and full magazine;Sync;Arri PL and Nikon;
Arriflex 416;Arri;2006;12.1 lb (5.5 kg), with full magazine;Sync;Arri PL;
Arriflex 416;Arri;2006;12.6 lb (5.7 kg), with full magazine;Sync;Arri PL;
Aaton XTR;Aaton;2006;;Sync;Arri PL, Aaton universal, or PV mount;
