Product;Manufacturer;Web browser;Wireless synching;Ad hoc;On-demand;Web radio/TV
Archos 5, 7;Archos;Opera;Archos 604 WiFi, 704 WiFi;Archos 605 WiFi, 705 WiFi;Archos PMA400;Cowon Q5W
Archos;Opera 8.5;file browsing;No;No;Ibiza Rhapsody;iPod Touch
Archos;Opera 9;file browsing;No;Content Portals;Yes;Samsung Galaxy Player
Archos;Opera;via FTP;Yes;No;Sansa Connect;Sony PSP
Cowon;IE Mobile;Sony Walkman X Series;ZEN X-Fi;Zune 4, 8;Yes (using Flash-based Internet Radio sites);Zune 30
Haier;Minimo;Yes;No;Rhapsody;radio only;Zune 80, 120
Apple Inc.;Webkit;Yes;Yes;iTunes, Spotify;Yes;Zune HD
Samsung;Webkit;;;Android Marketplace;;
SanDisk;No;;;Yahoo! Music;;
Sony;NetFront;Yes;Yes;PlayStation Store;Yes;
Sony;NetFront;No;Yes;;Yes;
Creative;No;media server;No;Creative MediaBox;No;
Microsoft;No;Yes;Yes;Zune Marketplace;;
Microsoft;No;Yes;Yes;Zune Marketplace;;
Microsoft;No;Yes;Yes;Zune Marketplace;;
Microsoft;IE Mobile 6;Yes;Yes;Zune Marketplace;;
