Graphics;Launch;Market;Chipset;Code name;Device id.[3];Core render clock (MHz);Execution units;Shader model (vertex/pixel);API support[12];API support[12];API support[12];Memory bandwidth (GB/s);DVMT (MB);Hardware acceleration;Hardware acceleration;Hardware acceleration
Graphics;Launch;Market;Chipset;Code name;Device id.[3];Core render clock (MHz);Execution units;Shader model (vertex/pixel);Direct3D;OpenGL;OpenCL;Memory bandwidth (GB/s);DVMT (MB);MPEG-2;VC-1;AVC
GMA 3000;2006;Desktop;946GZ;Lakeport;2972;667[13][14];8[13][15];3.0 (SW) / 2.0;9.0c FL9_1;1.5Windows 2.1macOS 2.1Linux ES 2.0Linux;—;10.6;256;MC[7];No;No
GMA 3000;2006;Desktop;Q963;Broadwater;2992;667[13][14];8[13][15];3.0 (SW) / 2.0;9.0c FL9_1;1.5Windows 2.1macOS 2.1Linux ES 2.0Linux;—;10.6;256;MC[7];No;No
GMA 3000;2006;Desktop;Q965;Broadwater;2992;667[13][14];8[13][15];3.0 (SW) / 2.0;9.0c FL9_1;1.5Windows 2.1macOS 2.1Linux ES 2.0Linux;—;12.8;256;MC[7];No;No
GMA X3000;2006;Desktop;G965;Broadwater;29A2;667[13][14];8[13][15];3.0;9.0c FL9_1;1.5Windows 2.1macOS 2.1Linux ES 2.0Linux;—;12.8;384;Full[7];MC + (LF ? WMV9 only);No
GMA X3500;2007;Desktop;G35;Bearlake;2982;667[13][14];8[13][15];4.0;10.0 FL10_0;1.5Windows 2.1macOS 2.1Linux ES 2.0Linux;—;12.8;384;Full[7];MC + LF;No
GMA X3100;2007;Mobile;GL960;Crestline;2A02 2A12;400[16];8[13][15];4.0;10.0 FL10_0;1.5Windows 2.1macOS 2.1Linux ES 2.0Linux;—;8.5;384;Full[7];MC + (LF ? WMV9 only);No
GMA X3100;2007;Mobile;GLE960;Crestline;2A02 2A12;400[16];8[13][15];4.0;10.0 FL10_0;1.5Windows 2.1macOS 2.1Linux ES 2.0Linux;—;8.5;384;Full[7];MC + (LF ? WMV9 only);No
GMA X3100;2007;Mobile;GM965;Crestline;2A02 2A12;500[16];8[13][15];4.0;10.0 FL10_0;1.5Windows 2.1macOS 2.1Linux ES 2.0Linux;—;10.7;384;Full[7];MC + (LF ? WMV9 only);No
GMA X3100;2007;Mobile;GME965;Crestline;2A02 2A12;500[16];8[13][15];4.0;10.0 FL10_0;1.5Windows 2.1macOS 2.1Linux ES 2.0Linux;—;10.7;384;Full[7];MC + (LF ? WMV9 only);No
GMA 4500;2008;Desktop;B43;Eaglelake;2E42 2E92;533;10;4.0;10.0 FL10_0;2.1 ES 2.0Linux;—;12.8 (DDR2) 17 (DDR3)[17];1720;Full[7];MC + LF;MC + LF
GMA 4500;2008;Desktop;Q43;Eaglelake;2E12;533;10;4.0;10.0 FL10_0;2.1 ES 2.0Linux;—;12.8 (DDR2) 17 (DDR3)[17];1720;Full[7];MC + LF;MC + LF
GMA 4500;2008;Desktop;Q45;Eaglelake;2E12;533;10;4.0;10.0 FL10_0;2.1 ES 2.0Linux;—;12.8 (DDR2) 17 (DDR3)[17];1720;Full[7];MC + LF;MC + LF
GMA X4500;2008;Desktop;G41;Eaglelake;2E32;800;10;4.0;10.0 FL10_0;2.1 ES 2.0Linux;—;12.8 (DDR2) 17 (DDR3)[17];1720;Full[7];MC + LF;MC + LF
GMA X4500;2008;Desktop;G43;Eaglelake;2E22;800;10;4.0;10.0 FL10_0;2.1 ES 2.0Linux;—;12.8 (DDR2) 17 (DDR3)[17];1720;Full[7];MC + LF;MC + LF
GMA X4500HD;2008;Desktop;G45;Eaglelake;2E22;800;10;4.0;10.0 FL10_0;2.1 ES 2.0Linux;—;12.8 (DDR2) 17 (DDR3)[17];1720;Full[7];Full;Full
GMA 4500MHD;2008;Mobile;GL40;Cantiga;2A42;400[18];10;4.0;10.0 FL10_0;2.1 ES 2.0Linux;—;12.8 (DDR2) 17 (DDR3)[17];1720;Full[7];Full;Full
GMA 4500MHD;2008;Mobile;GS40;Cantiga;2A42;400[18];10;4.0;10.0 FL10_0;2.1 ES 2.0Linux;—;12.8 (DDR2) 17 (DDR3)[17];1720;Full[7];Full;Full
GMA 4500MHD;2008;Mobile;GM45;Cantiga;2A42;533[18];10;4.0;10.0 FL10_0;2.1 ES 2.0Linux;—;12.8 (DDR2) 17 (DDR3)[17];1720;Full[7];Full;Full
GMA 4500MHD;2008;Mobile;GS45;Cantiga;2A42;533[18];10;4.0;10.0 FL10_0;2.1 ES 2.0Linux;—;12.8 (DDR2) 17 (DDR3)[17];1720;Full[7];Full;Full
GMA 4500MHD;2008;Mobile;GM47;Cantiga;2A42;640;10;4.0;10.0 FL10_0;2.1 ES 2.0Linux;—;12.8 (DDR2) 17 (DDR3)[17];1720;Full[7];Full;Full
