Graphics;Launch;Market;Processor;Code name;Device id.;Core clock (MHz);Execution units;API support[12];API support[12];API support[12];Memory bandwidth (GB/s);DVMT (MB);CVT HD
Graphics;Launch;Market;Processor;Code name;Device id.;Core clock (MHz);Execution units;Direct3D;OpenGL;OpenCL;Memory bandwidth (GB/s);DVMT (MB);CVT HD
HD Graphics;2010;Desktop;Celeron G1101 Pentium G69xx;Ironlake (Clarkdale);0042;533;12;10.1 FL10_0;2.1 ES 2.0Linux;No;17;1720;No
HD Graphics;2010;Desktop;Core i3-5x0 Core i5-6x0 Core i5-655K;Ironlake (Clarkdale);0042;733;12;10.1 FL10_0;2.1 ES 2.0Linux;No;21.3;1720;Yes
HD Graphics;2010;Desktop;Core i5-661;Ironlake (Clarkdale);0042;900;12;10.1 FL10_0;2.1 ES 2.0Linux;No;21.3;1720;Yes
HD Graphics;2010;Mobile;Celeron U3xxx Pentium U5xxx;Ironlake (Arrandale);0046;166–500;12;10.1 FL10_0;2.1 ES 2.0Linux;No;12.8;1720;No
HD Graphics;2010;Mobile;Core i3-3x0UM Core i5-5x0UM Core i7-6x0UE Core i7-6x0UM;Ironlake (Arrandale);0046;166–500;12;10.1 FL10_0;2.1 ES 2.0Linux;No;12.8;1720;Yes
HD Graphics;2010;Mobile;Core i7-620LE Core i7-6x0LM;Ironlake (Arrandale);0046;266–566;12;10.1 FL10_0;2.1 ES 2.0Linux;No;17.1;1720;Yes
HD Graphics;2010;Mobile;Celeron P4xxx Pentium P6xxx;Ironlake (Arrandale);0046;500–667;12;10.1 FL10_0;2.1 ES 2.0Linux;No;17.1;1720;No
HD Graphics;2010;Mobile;Core i3-330E Core i3-3x0M;Ironlake (Arrandale);0046;500–667;12;10.1 FL10_0;2.1 ES 2.0Linux;No;17.1;1720;Yes
HD Graphics;2010;Mobile;Core i5-4x0M Core i5-520E Core i5-5x0M Core i7-610E Core i7-6x0M;Ironlake (Arrandale);0046;500–766;12;10.1 FL10_0;2.1 ES 2.0Linux;No;17.1;1720;Yes
