Model;Features;Features;Features;Features;Features;Features;Features;Features;Features
Model;Scalable Link Interface (SLI);PureVideo 2 with VP2, BSP Engine, and AES128 Engine;PureVideo 3 with VP3, BSP Engine, and AES128 Engine;GeForce 9300 GE (G98);GeForce 9300 GS (G98);GeForce 9400 GT;GeForce 9500 GT;GeForce 9600 GSO;GeForce 9600 GT
Yes;No;Yes;GeForce 9800 GT;GeForce 9800 GTX;GeForce 9800 GTX+;GeForce 9800 GX2;;;
Yes;No;Yes;;;;;;;
Yes;Yes;No;;;;;;;
Yes;Yes;No;;;;;;;
Yes;Yes;No;;;;;;;
Yes;Yes;No;;;;;;;
Yes;Yes;No;;;;;;;
Yes 3-way;Yes;No;;;;;;;
Yes 3-way;Yes;No;;;;;;;
Yes;Yes;No;;;;;;;
