Model;Features;Features;Features;Features;Features;Features
Model;OpenEXR HDR;Scalable Link Interface (SLI);TurboCache;PureVideo WMV9 Decoding;GeForce 6100;GeForce 6150 SE
No;No;No;Limited;GeForce 6150;GeForce 6150 LE;GeForce 6200
No;No;Driver-Side Only;Limited;GeForce 6500;GeForce 6600 LE;GeForce 6600
No;No;No;Yes;GeForce 6600 DDR2;GeForce 6600 GT;GeForce 6800 LE
No;No;Driver-Side Only;Yes;GeForce 6800 XT;GeForce 6800;GeForce 6800 GTO
No;No;Yes (PCIe only);Yes;GeForce 6800 GS;GeForce 6800 GT;GeForce 6800 Ultra
No;Yes;Yes;Yes;;;
Yes;Yes (No SLI Connector);No;Yes;;;
Yes;Yes (SLI Connector or PCIe Interface);No;Yes;;;
Yes;Yes (SLI Connector or PCIe Interface);No;Yes;;;
Yes;Yes;No;Yes;;;
Yes;No;No;No;;;
Yes;Yes (PCIe only);No;Yes (NV42 only);;;
Yes;Yes (PCIe only);No;Yes (NV41, NV42 only);;;
Yes;Yes;No;No;;;
Yes;Yes (PCIe only);No;Yes (NV42 only);;;
Yes;Yes (PCIe only);No;No;;;
Yes;Yes (PCIe only);No;No;;;
