Model;Launch;Code name (s);Fab (nm);Transistors (billion);Die size (mm2);Core config;Bus interface;Clock speeds;Clock speeds;Clock speeds;Clock speeds;Fillrate;Fillrate;Memory;Memory;Memory;Memory;Latest supported API version;Latest supported API version;Latest supported API version;Latest supported API version;Latest supported API version;Processing power (GFLOPS)4;Processing power (GFLOPS)4;Processing power (GFLOPS)4;TDP (Watts);SLI support5;Release price (USD);Release price (USD);Model
Model;Launch;Code name (s);Fab (nm);Transistors (billion);Die size (mm2);CUDA cores[a] (SM/SMP/ Streaming Multiprocessor);Bus interface;Base core clock (MHz);Boost core clock (MHz);Max Boost 3.0 (MHz) [51];Memory (MT/s);Pixel Base Core (Base Boost) (Max Boost 3.0) (GP/s)2;Texture Base Core (Base Boost) (Max Boost 3.0) (GT/s)3;Size (GiB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;OpenCL;Vulkan;CUDA;Single precision Base Core (Base Boost) (Max Boost 3.0);Double precision Base Core (Base Boost) (Max Boost 3.0);Half precision Base Core (Base Boost) (Max Boost 3.0)7;TDP (Watts);SLI support5;MSRP;Founders Edition;Model
GeForce GT 1030 [68][69];GeForce GT 1030 [68][69];March 12, 2018;GP108-310-A1;Samsung 14LPP;1.8;74;384:24:16 (3);PCIe 3.0 x4 [70][71];1152;1379;?;2100 (1050 MHz x 2);18.4 (22.0) (?);27.6 (33.0) (?);2;16.8;DDR4;64;12 (12_1);4.6;2.2;1.1.94 [20];6.1;884.7 (1059.0) (?);27.6 (33.0) (?);13.8 (16.5) (?);20;No;$79;N/A
GeForce GT 1030 [68][69];GeForce GT 1030 [68][69];May 17, 2017;GP108-300-A1;Samsung 14LPP;1.8;74;384:24:16 (3);PCIe 3.0 x4 [70][71];1227;1468;1600;6008 (1502 MHz x 4);19.6 (23.4) (25.6);29.4 (35.2) (38.4);2;48.0;GDDR5;64;12 (12_1);4.6;2.2;1.1.94 [20];6.1;942.3 (1127.4) (1228.8);29.4 (35.2) (38.4);14.7 (17.6) (19.2);30;No;$70;N/A
GeForce GTX[72] 1050;GeForce GTX[72] 1050;October 25, 2016;GP107-300-A1;Samsung 14LPP;3.3;132;640:40:32 (5);PCIe 3.0 x16;1354;1455;1800;7008 (1752 MHz x 4);43.3 (46.6) (57.6);54.1 (58.8) (72);2;112.1;GDDR5;128;12 (12_1);4.6;2.2;1.1.94 [20];6.1;1733.1 (1862.4) (2304.0);54.1 (58.2) (72.0);27.0 (29.1) (36.0);75;No;$109;N/A
GeForce GTX[72] 1050;GeForce GTX[72] 1050;May 21, 2018;GP107-301-A1;Samsung 14LPP;3.3;132;768:48:24 (6);PCIe 3.0 x16;1392;1518;1900;7008 (1752 MHz x 4);33.4 (36.4) (45.6);66.8 (72.9) (91.2);3;84.1;GDDR5;96;12 (12_1);4.6;2.2;1.1.94 [20];6.1;2138.1 (2331.6) (2918.4);66.8 (72.9) (91.2);33.4 (36.4) (45.6);75;No;?;N/A
GeForce GTX 1050 Ti[citation needed];GeForce GTX 1050 Ti[citation needed];October 25, 2016;GP107-400-A1;Samsung 14LPP;3.3;132;768:48:32 (6);PCIe 3.0 x16;1290;1392;1900;7008 (1752 MHz x 4);41.2 (44.5) (60.8);61.9 (66.8) (91.2);4;112.1;GDDR5;128;12 (12_1);4.6;2.2;1.1.94 [20];6.1;1981.4 (2138.1) (2918.4);61.9 (66.8) (91.2);30.9 (33.4) (45.6);75;No;$139;N/A
GeForce GTX[73] 1060[74] [75][76][77];GeForce GTX[73] 1060[74] [78][79][80];December 25, 2016;GP104-140-A1;TSMC 16FF;7.2;314;1152:72:48 (9);PCIe 3.0 x16;1506;1708;2000;8008 (2002 MHz x 4);72.2 (81.9) (96.0);108.4 (122.9) (144.0);3;192.1;GDDR5;192;12 (12_1);4.6;2.2;1.1.94 [20];6.1;3469.8 (3935.2) (4608.0);108.4 (122.9) (144.0);54.2 (61.4) (72.0);120;No;$199;N/A
GeForce GTX[73] 1060[74] [75][76][77];GeForce GTX[73] 1060[74] [78][79][80];August 18, 2016;GP106-300-A1;TSMC 16FF;4.4;200;1152:72:48 (9);PCIe 3.0 x16;1506;1708;2000;8008 (2002 MHz x 4);72.2 (81.9) (96.0);108.4 (122.9) (144.0);3;192.1;GDDR5;192;12 (12_1);4.6;2.2;1.1.94 [20];6.1;3469.8 (3935.2) (4608.0);108.4 (122.9) (144.0);54.2 (61.4) (72.0);120;No;$199;N/A
GeForce GTX[73] 1060[74] [75][76][77];GeForce GTX[73] 1060[74] [78][79][80];December 26, 2017;GP106-350-K3-A1;TSMC 16FF;4.4;200;1280:80:40 (10);PCIe 3.0 x16;1506;1709;2000;8008 (2002 MHz x 4);60.2 (68.3) (80.0);120.4 (136.7) (160.0);5;160.2;GDDR5;160;12 (12_1);4.6;2.2;1.1.94 [20];6.1;3855.3 (4375.0) (5120.0);120.4 (136.7) (160.0);60.2 (68.3) (80.0);120;No;OEM;N/A
