Model;Launch;Code name;Process;Transistors (billion);Die size (mm2);Core config1 (SM/SMP/ Streaming Multiprocessor);Bus interface;Clock speeds;Clock speeds;Clock speeds;Clock speeds;Fillrate;Fillrate;Memory;Memory;Memory;Memory;Processing power (GFLOPS)4;Processing power (GFLOPS)4;TDP (Watts);SLI support7;Release price (USD)
Model;Launch;Code name;Process;Transistors (billion);Die size (mm2);Core config1 (SM/SMP/ Streaming Multiprocessor);Bus interface;Base core clock (MHz);Boost core clock (MHz);Max Boost 2.0 (MHz) [51];Memory (MT/s);Pixel Base Core (Base Boost) (Max Boost 2.0) (GP/s)2;Texture Base Core (Base Boost) (Max Boost 2.0) (GT/s)3;Size (GiB);Bandwidth (GB/s);Bus type;Bus width (bit);Single precision Base Core (Base Boost) (Max Boost 2.0);Double precision Base Core (Base Boost) (Max Boost 2.0);TDP (Watts);SLI support7;MSRP
GeForce GT 945A[52][53];February 2016[54];GM108-?;TSMC 28HP;?;?;512:24:8 (4);PCIe 3.0 ×8;1072;1176;?;1800 (900 MHz x 2);8.5 (9.4) (?);25.7 (28.2) (?);2 [55];14.4;DDR3;64;1097.7 (1204.2) (?);34.3 (37.6) (?);33;No;OEM
GeForce GTX 950[56];August 20, 2015;GM206-250;TSMC 28HP;2.94;227;768:48:32 (6);PCIe 3.0 ×16;1024;1188;1290+;6612 (1653 MHz x 4);32.7 (38.0) (41.2)+;49.1 (57.0) (61.9)+;2 [57];105.7;GDDR5;128;1572.8 (1824.7) (1981.4)+;49.1 (57.0) (61.9)+;90;4-way SLI;$159
GeForce GTX 960[58];January 22, 2015;GM206-300;TSMC 28HP;2.94;227;1024:64:32 (8);PCIe 3.0 ×16;1127;1178;1228;7012 (1753 MHz x 4);36.0 (37.6) (39.2);72.1 (75.3) (78.5);2 [59];112.1;GDDR5;128;2308.0 (2412.5) (2514.9);72.1 (75.3) (78.5);120;4-way SLI;$199
GeForce GTX 960[58];November 26, 2015;GM204-?;TSMC 28HP;5.2;398;1280:80:48 (10);PCIe 3.0 ×16;924;?;?;5012 (1253 MHz x 4);44.3 (?) (?);73.9 (?) (?);3;168.2;GDDR5;192;2365.4 (?) (?);73.9 (?) (?);?;4-way SLI;OEM
GeForce GTX 970[60];September 18, 2014;GM204-200;TSMC 28HP;5.2;398;1664:104:56 (13);PCIe 3.0 ×16;1050;1178;1250;7012 (1753 MHz x 4);58.8 (65.9) (70.0);109.2 (122.5) (130.0);3.5 + 0.56;196.3+28.0;GDDR5;224+326;3494.4 (3920.3) (4160.0);109.2 (122.5) (130.0);145;4-way SLI;$329
GeForce GTX 980[61];September 18, 2014;GM204-400;TSMC 28HP;5.2;398;2048:128:64 (16);PCIe 3.0 ×16;1126;1216;1253;7012 (1753 MHz x 4);72.0 (77.8) (80.1);144.1 (155.6) (160.3);4;224.3;GDDR5;256;4612.0 (4980.7) (5132.2);144.1 (155.6) (160.3);165;4-way SLI;$549
GeForce GTX 980 Ti[62];June 1, 2015;GM200-310;TSMC 28HP;8;601;2816:176:96 (22);PCIe 3.0 ×16;1000;1075;1202;7012 (1753 MHz x 4);96.0 (103.2) (115.3);176.0 (189.2) (211.5);6;336.5;GDDR5;384;5632.0 (6054.4) (6769.6);176.0 (189.2) (211.5);250;4-way SLI;$649
GeForce GTX TITAN X[63];March 17, 2015;GM200-400;TSMC 28HP;8;601;3072:192:96 (24);PCIe 3.0 ×16;1000;1075[63];1177;7012 (1753 MHz x 4);96.0 (103.2) (112.9);192.0 (206.4) (228.9);12;336.5;GDDR5;384;6144.0 (6604.8) (7231.4);192.0 (206.4) (225.9);250;4-way SLI;$999
