Model;Features;Features;Features;Features;Features;Features;Features;Features
Model;Scalable Link Interface (SLI);PureVideo 2 with VP2 Engine: (BSP and 240 AES);PureVideo 4 with VP4 Engine;GeForce 210;GeForce GT 220;GeForce GT 240;GeForce GTS 250;GeForce GTX 260
No;No;Yes;Yes;Yes;GeForce GTX 260 Core 216;GeForce GTX 260 Core 216 (55 nm);GeForce GTX 275;GeForce GTX 280
No;No;Yes;GeForce GTX 285;GeForce GTX 295;;;;
No;No;Yes;;;;;;
Yes 3-Way (4-way for EVGA 285 Classified);Yes;No;;;;;;
Yes 3-Way (4-way for EVGA 285 Classified);Yes;No;;;;;;
Yes 3-Way (4-way for EVGA 285 Classified);Yes;No;;;;;;
Yes 3-Way (4-way for EVGA 285 Classified);Yes;No;;;;;;
Yes 3-Way (4-way for EVGA 285 Classified);Yes;No;;;;;;
Yes 3-Way (4-way for EVGA 285 Classified);Yes;No;;;;;;
Yes 3-Way (4-way for EVGA 285 Classified);Yes;No;;;;;;
Yes;Yes;No;;;;;;
