Employeurs;Nombre d’employés (approximation);Domaine
Usine PSA de Rennes, Chartres-de-Bretagne;4 639 salariés;Industrie Automobile
Hôpital Pontchaillou, CHU de Rennes, Rennes;3 800 salariés;Santé
Ville de Rennes, Rennes;2 500 employés;Secteur public
SNCF, Rennes;2 000 salariés;Transports ferroviaires
Standard Cooper (ex-C.F. Gomma), Rennes;1 300 salariés;Industrie automobile
Centre Alma, Rennes;1 250 salariés;Grande distribution
CHS Guillaume-Régnier, Rennes;1 200 salariés;Santé, psychiatrie
Ouest-France, Chantepie;1 200 salariés;Presse et édition
Hôpital Sud, CHU de Rennes, Rennes;1 000 salariés;Santé
Académie de Rennes-Rectorat, Rennes;1 000 employés;Éducation
Université Rennes 2, Rennes;1 000 salariés;Éducation
Société des Transports Gautier, Noyal-sur-Vilaine;800 salariés;Transport
La Poste, Rennes, Le Rheu et Saint-Jacques-de-la-Lande;700 salariés;
Orange Business Services/Equant;600 salariés;Services aux entreprises
Orange Labs, Rennes;600 salariés;Télécommunications
Technicolor R&D, Rennes;550 salariés;Télécommunications
Crédit agricole d’Ille-et-Vilaine;500 salariés;Banque
Leclerc Cleunay, Rennes;480 salariés;Grande distribution
Sopra Group Rennes, Saint-Grégoire;360 salariés;SSII
Oberthur Fiduciaire, Chantepie;300 salariés;
Faurecia (rachat de Visteon, en 2010), Noyal-Châtillon-sur-Seiche;300 salariés;Industrie automobile
Banque populaire de l'Ouest, Montgermont;300 salariés;Banque
