 Overall rank ; Rank by U.S. state and territory ; Country/U.S. state and territory ; GDP per capita (USD)
1;—;Lichtenstein;169,492
2;—;Monaco;165,871
3;1;Washington, D.C.;160,472
4;—;Luxembourg;100,161
5;—;Bermuda;94,400
6;—;Switzerland;78,813
7;—;Macau;73,187
8;—;Norway;70,813
10;2;Massachusetts;65,545
11;3;New York;64,579
12;4;Connecticut;64,511
13;5;Alaska;63,971
14;6;Delaware;63,664
15;7;North Dakota;62,837
16;—;Cayman Islands;62,132
17;—;Ireland;60,514
18;—;Qatar;59,331
19;8;Wyoming;58,821
20;9;California;58,619
-;—;United States of America;57,467
21;10;New Jersey;57,084
22;11;Washington;56,831
23;12;Maryland;55,404
24;13;Illinois;54,091
25;14;Texas;53,795
26;—;Denmark;53,149
27;15;Minnesota;53,704
28;16;Nebraska;53,114
29;17;Colorado;52,795
30;—;Singapore;52,239
31;18;New Hampshire;51,794
32;19;Virginia;51,736
33;—;Australia;51,352
34;20;Hawaii;51,277
35;21;Pennsylvania;50,997
36;—;Iceland;50,936
37;—;Sweden;50,687
38;22;Oregon;50,582
39;23;Iowa;50,315
40;—;San Marino;49,240
41;24;South Dakota;48,076
42;25;Rhode Island;47,639
43;26;Ohio;47,567
44;27;Wisconsin;47,266
45;28;Kansas;46,982
46;29;Indiana;45,317
47;30;Georgia;44,723
48;31;Utah;44,636
49;32;Oklahoma;44,623
50;—;Netherlands;44,332
51;33;North Carolina;44,325
52;—;United Kingdom;44,162
53;—;Austria;44,118
54;34;Vermont;43,946
55;35;Louisiana;43,917
56;36;Nevada;43,820
57;37;Michigan;43,372
58;38;Missouri;43,317
59;39;Tennessee;43,267
60;—;Canada;43,206
61;—;Hong Kong;42,431
62;—;Finland;42,148
63;—;Germany;41,686
64;40;New Mexico;41,348
65;—;United Arab Emirates;40,439
66;—;Belgium;40,278
67;—;Andorra;39,896
68;41;Florida;39,543
69;42;Montana;39,356
70;43;Kentucky;38,985
71;44;Maine;38,921
72;45;Arizona;38,590
73;—;New Zealand;38,294
74;46;Alabama;37,261
75;—;Israel;37,129
-;—;Oceania;37,107
76;47;South Carolina;37,063
77;—;Greenland;36,977
78;48;Arkansas;36,368
79;49;United States Virgin Islands;36,350
80;50;West Virginia;36,315
81;—;France;36,304
82;51;Idaho;35,466
83;52;Mississippi;34,784
84;—;Japan;34,629
85;—;New Caledonia;33,966
86;—;Brunei;30,553
87;53;Guam;30,500
88;—;Italy;30,462
89;—;Virgin Islands, British;30,144
90;—;Kuwait;29,304
91;54;Puerto Rico;27,939
92;—;South Korea;27,397
93;—;Aruba;26,005
94;—;Spain;25,865
-;—;Europe;25,590
-;—;Americas;25,229
95;—;Turks and Caicos Islands;25,122
96;—;Malta;23,281
97;—;Bahamas, The;22,817
98;—;Bahrain;22,600
99;—;Cyprus;21,942
100;—;Anguilla;21,880
101;—;Saudi Arabia;20,711
102;—;Slovenia;20,690
103;—;Curaçao;20,050
104;—;Portugal;19,239
105;—;Trinidad and Tobago;19,063
106;—;Nauru;18,469
107;—;French Polynesia;18,161
108;—;Greece;17,788
109;—;Czech Republic;17,562
110;—;Estonia;17,122
111;—;Equatorial Guinea;16,344
112;—;Slovakia;16,082
113;—;Saint Kitts and Nevis;15,772
114;—;Uruguay;15,574
115;—;Oman;15,551
116;—;Barbados;15,429
117;—;Antigua and Barbuda;14,764
118;—;Argentina;14,565
119;—;Lithuania;14,384
120;—;Seychelles;14,133
121;—;Cook Islands;14,119
122;—;Latvia;13,704
123;—;Chile;13,416
124;55;Northern Mariana Islands;13,300
125;—;Panama;13,268
126;56;American Samoa;13,000
127;—;Poland;12,355
128;—;Hungary;12,351
129;—;Palau;12,122
130;—;Montserrat;11,553
131;—;Croatia;11,479
132;—;Venezuela;11,069
133;—;Costa Rica;11,015
-;—;World;10,700
134;—;Kazakhstan;10,312
135;—;Malaysia;9,768
136;—;Maldives;9,446
137;—;Russian Federation;9,243
138;—;Turkey;9,126
139;—;Romania;9,121
140;—;Mauritius;9,041
141;—;Suriname;8,985
142;—;Mexico;8,981
143;—;Grenada;8,934
-;—;South America;8,836
144;—;Lebanon;8,571
145;—;Brazil;8,528
146;—;China;8,109
-;—;Caribbean;8,005
147;—;Gabon;7,961
-;—;Central America;7,932
148;—;Saint Lucia;7,839
149;—;Cuba;7,657
150;—;Dominica;7,051
151;—;Turkmenistan;6,997
152;—;Bulgaria;6,847
153;—;Saint Vincent and the Grenadines;6,739
154;—;Montenegro;6,424
155;—;Dominican Republic;6,374
156;—;Botswana;6,361
157;—;Ecuador;6,205
158;—;Peru;6,069
159;—;Colombia;6,056
160;—;Thailand;5,815
161;—;South Africa;5,773
162;—;Belarus;5,751
163;—;Libya;5,488
164;—;Azerbaijan;5,439
165;—;Serbia;5,239
166;—;Jamaica;5,106
167;—;Iran;5,038
168;—;Jordan;4,940
169;—;Fiji;4,922
170;—;Macedonia, Republic of;4,836
171;—;Belize;4,789
172;—;Angola;4,714
173;—;Namibia;4,674
174;—;Iraq;4,509
175;—;Guyana;4,279
176;—;Bosnia and Herzegovina;4,265
177;—;El Salvador;4,219
178;—;Paraguay;4,174
179;—;Algeria;4,154
180;—;Samoa;4,006
181;—;Albania;3,984
182;—;Sri Lanka;3,974
183;—;Mongolia;3,973
184;—;Guatemala;3,903
-;—;Southeast Asia;3,853
185;—;Tonga;3,784
186;—;Kosovo;3,665
187;—;Tunisia;3,661
188;—;Georgia;3,491
189;—;Armenia;3,489
190;—;Marshall Islands;3,453
191;—;Egypt;3,452
192;—;Tuvalu;3,362
193;—;Indonesia;3,346
194;—;Swaziland;3,212
195;—;Cape Verde;3,080
196;—;Bolivia;3,077
197;—;Micronesia, Federated States of;3,015
198;—;Morocco;2,919
199;—;Philippines;2,904
200;—;Papua New Guinea;2,798
201;—;Vanuatu;2,783
202;—;Palestine, State of;2,716
203;—;Nigeria;2,714
204;—;Bhutan;2,677
205;—;Honduras;2,522
206;—;East Timor;2,425
207;—;Uzbekistan;2,308
208;—;Nicaragua;2,087
209;—;Vietnam;2,068
210;—;Ukraine;2,022
211;—;Sudan;1,977
212;—;Djibouti;1,956
-;—;Africa;1,914
213;—;Laos;1,850
214;—;Solomon Islands;1,842
215;—;Congo, Republic of the;1,838
216;—;São Tomé and Príncipe;1,753
217;—;India;1,614
218;—;Moldova;1,591
219;—;Syria;1,535
220;—;Kiribati;1,443
221;—;Côte d'Ivoire;1,413
222;—;Pakistan;1,410
223;—;Kenya;1,377
224;—;Comoros;1,369
225;—;Ghana;1,356
226;—;Zambia;1,311
227;—;Mauritania;1,235
228;—;Cameroon;1,217
229;—;Bangladesh;1,208
