Application;AlembicImporter;RenderingEngine;VolumeRenderingfor clouds;InteractiveRendering;Isolatinglight contribution;LightLister;IESLight;Physical Sun & Sky;Sun Positioning by location and times;Light Portal;Shadow Catcher;IBL and Environment texture;IBL and Environment texture;IBL and Environment texture;Light Paint;Light Layers
Application;AlembicImporter;RenderingEngine;VolumeRenderingfor clouds;InteractiveRendering;Isolatinglight contribution;LightLister;IESLight;Physical Sun & Sky;Sun Positioning by location and times;Light Portal;Shadow Catcher;Lat Long;sIBL;Light Extraction;Light Paint;Light Layers
Maya;rowspan=3 Yes;Maya Hardware 2.0;?;Yes;No;rowspan=3 Light Editor;?;?;?;?;?;yes;?;?;No;No
Maya Software;?;?;Light Linking;No;?;?;?;?;Env Sphere;?;?;No;No;Arnold;yes;yes
Light Linking;Ai Photometric Light;yes;?;yes;yes;yes;?;?;No;No;3ds Max;rowspan=4 Yes;Quicksilver;?;Yes;No
rowspan=3 Light Lister;?;?;?;?;?;?;?;?;No;No;Scanline;?;?;Light Exclude/Include;?;?
3ds Max;?;?;Yes;?;sIBL-GUI software;?;No;No;Autodesk Raytracer;?;?;?;Yes;?;?;?
3ds Max;?;?;?;?;No;No;Arnold;yes;yes;No;No;Ai Photometric Light;yes;Sun Positioner;yes;yes
3ds Max;yes;?;?;No;No;Blender;rowspan=3 2.78 and later;Viewport;?;Yes;Light Groups;rowspan=2 Property Chart Addon / Gaffer addon;No;No;?;No
No;yes;?;?;No;No;Blender Internal;?;Yes;Light Groups;No;No;?;No;""Shadows Only"" option;yes;?
Blender;?;No;No;Cycles;Yes;Yes;[https://developer.blender.org/D1985 D1985];Gaffer addon;(2.8 and later);Yes;Sun Position addon;from 2.75;from 2.79;yes;sIBL_GUI for Blender addon/<br>Add Environment nodes addon;?
Blender;No;No;MODO;Yes;MODO Renderer;Yes;Yes;Light Linking;?;Photometric Light;colspan=2 Directional Light;Portal;Shadow Catcher;yes;mm_sIBLToModoEnvironment script;?
No;No;LightWave;11.6 and later;LightWave Renderer;Yes;Yes;?;?;Photometric Light;?;?;?;?;yes;?;?
No;No;Houdini;yes;Mantra (Path Tracing);Yes;Yes;Light categories;?;yes;?;?;?;Shadow Matte;yes;?;?
?;?;Cinema 4D;yes;CineRender;?;Yes;Exclude/Include;?;Yes;?;?;?;from R18;yes;?;?
?;?;;;;;;;;;;;;;;;
