ADC client;FOSS;Software license;Active;Last Update
AirDC++;yes;[[GNU GPL]];yes;2018
AirDC++ Web Client;yes;GNU GPL, [[MIT License|MIT]];yes;2018
ApexDC++;yes;GNU GPL;yes;2017
DC++;yes;GNU GPL;yes;2017
jucy;yes;[[BSD licenses|BSD]];yes;2014
LinuxDC++;yes;GNU GPL;no;2011
EiskaltDC++;yes;GNU GPL;yes;2015
FlylinkDC++;yes;GNU GPL;yes;2017
RSX++;yes;GNU GPL;no;2011
TkDC++;yes;GNU GPL;no;2010
StrongDC++;yes;GNU GPL;no;2010
RevConnect;yes;GNU GPL;no;2007
ncdc;yes;[[MIT License|MIT]];yes;2016
ADC client;FOSS;Software license;Active;
