 Model ; Code name ; Released ; CPU support ; Fab (nm) ; HT (MHz) ; Hardware Virtualization (AMD-V™) ; IGP ; CrossFire ; SLI ; TDP (W) ; Southbridge ; Features / Notes
AMD 870 chipset;RX880;2010;PhenomII,Athlon64,Sempron;65;2600 (HT3.0);dunno;No;Hybrid, x16 + x4;No;;SB850;Single PCIe 2.0 x16
AMD 880G chipset;RS880P;Q4 2010;PhenomII,AthlonII,Sempron;55;2600 (HT3.0);dunno;Radeon HD 4250;Hybrid;No;;SB710,SB750,SB810,SB850,SB920,SB950;DirectX 10.1, UVD2,HDMI/HDCP, DisplayPort/DPCP,OR single PCIe 2.0 x16AM3+ socket support
AMD 880M chipset;RS880M;Q2 2010;MobileTurionII,MobileAthlonII,MobileSempron;55;2600 (HT3.0);rowspan=""3"" dunno;Radeon HD 4200;rowspan=""3""  [[AMD 700 chipset series#PowerXpress|PowerXpress]]<br />[[Advanced eXpress I/O Module|AXIOM]]/[[Mobile PCI Express Module|MXM<br />module(s)]];No;;SB820;DirectX 10.1, UVD2,HDMI/HDCP, DisplayPort, DVI, VGA,sideport memory,OR single PCI-E 2.0 x16Mobile Chipset, Tigris platform
AMD 880M chipset;RS880M;Q2 2010;AthlonIINeo,TurionIINeo;55;2600 (HT3.0);Radeon HD 4225;No;;DirectX 10.1, UVD2,HDMI/HDCP, DisplayPort, DVI, VGA,OR Single PCI-E 2.0 x16Mobile Chipset, Nile platform;AMD 880M chipset;SB820;
MobilePhenomII,MobileTurionII,MobileAthlonII,MobileSempronV-Series;RS880M;Q2 2010;Radeon HD 4250<br />Radeon HD 4270;55;2600 (HT3.0);No;;DirectX 10.1, UVD2,HDMI/HDCP, DisplayPort, DVI, VGA,OR single PCI-E 2.0 x16Mobile Chipset, Danube platform;AMD 890GX chipset;RS880D;SB820;
Q2 2010;PhenomII,AthlonII,Sempron;55;2600 (HT3.0);dunno;Radeon HD 4290;Hybrid,<br />x8 + x8;No;22W;SB710,SB750,SB810,SB850;DirectX 10.1, UVD2,HDMI/HDCP, DisplayPort/DPCP,Side-port memory,OR two PCIe 2.0 x16;AMD 890FX chipset;RD890
Q2 2010;Bulldozer,PhenomII,AthlonII,Sempron;65;2600 (HT3.0);Yes;No;x16 + x16<br />or x8 quad;No;18W;SB710,SB750,SB810,SB850;Four PCIe 2.0 x16;;
;;;;;;;;;AMD 970 chipset;RX980;Q2 2011;Bulldozer, PiledriverPhenomII, AthlonII, Sempron, FX
65;2400 (HT3.0);rowspan=""3"" Yes;rowspan=""3"" No;x16 + x4;No;13.6W;SB710,SB750,SB810,SB850,SB920,SB950;Single PCIe 2.0 x16, IOMMUAM3+ socket support;AMD 990X chipset;RD980;2600 (HT3.0);x8 + x8
x8 + x8;14W;Q2 2011;Bulldozer, PiledriverPhenomII, AthlonII, Sempron, FX;65;Two PCIe 2.0 x16, IOMMUAM3+ socket support;AMD 990FX chipset;RD990;x16 + x16<br />or x8 quad;x16 + x16<br />or x16 + x8 + x8<br />or x8 quad;19.6W;SB710,SB750,SB810,SB850,SB920,SB950;
Four PCIe 2.0 x16, IOMMUAM3+ socket support;Model;Q2 2011;Bulldozer, PiledriverPhenomII, AthlonII, Sempron, FX;65;2600 (HT3.0);Code name;Released;CPU support;Fab (nm);HT (MHz);SB710,SB750,SB810,SB850,SB920,SB950;
Hardware Virtualization (AMD-V™);IGP;CrossFire;SLI;TDP (W);Southbridge;Features / Notes;;;;;;
