 Site; Specialization; Is a tracker; Directory; Public; RSS; One-click download; Sortable; Comments; Multi-tracker index; Ignores DMCA; Tor friendly; Alexa Traffic Rank
The Pirate Bay;None;no;yes;yes;yes;yes;yes;yes;no;yes;yes;106
Rarbg;None;yes;yes;yes;yes;no;no;yes;yes;no;no;266
YTS.AM;Movies;no;yes;yes;yes;yes;yes;yes;no;yes;no;308
1337x;None;no;yes;yes;no;no;no;yes;yes;no;no;320
Rutracker;None;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;327
Limetorrents;None;yes;yes;yes;yes;yes;yes;yes;yes;no;no;1,266
Torrents.me;Search;no;yes;yes;no;no;yes;yes;no;no;no;2,264
Zooqle;Search;no;yes;yes;yes;yes;yes;yes;yes;no;no;2,330
Torrent downloads;None;no;yes;yes;no;no;no;yes;no;no;no;2,421
IPTorrents;None;yes;yes;no;yes;yes;yes;yes;no;yes;no;2,460
Demonoid;None;yes;yes;yes;no;yes;yes;yes;?;?;yes;3,970
YourBittorrent;None;yes;yes;yes;yes;yes;yes;yes;yes;no;no;4,131
Torlock;No;no;yes;yes;yes;yes;yes;yes;yes;no;?;4,945
torrentleech.org;No;yes;yes;no;yes;yes;yes;yes;no;yes;no;7,803
Empornium;Pornography;yes;yes;no;yes;yes;yes;yes;no;yes;no;9,755
isoHunt;None;yes;yes;yes;yes;no;yes;yes;no;no;no;17,317
HDBits;Movies;yes;yes;no;yes;yes;yes;yes;no;yes;no;25,941
Worldwidetorrents.me;None;yes;yes;no;yes;yes;yes;yes;no;yes;no;26,688
ETTV;None;yes;yes;no;yes;yes;yes;yes;no;yes;no;31,902
RevolutionTT;None;yes;yes;no;yes;yes;yes;yes;no;yes;no;32,860
apollo.rip;Music;yes;yes;no;yes;yes;yes;yes;no;yes;no;46,738
ETtorrent;None;no;yes;yes;no;yes;yes;yes;no;no;no;56,150
Waffles;Music;yes;yes;no;yes;yes;yes;yes;no;yes;no;74,558
AnimeSuki;Anime & otaku subculture;no;yes;yes;yes;yes;no;no;no;?;?;93,843
etree;Live concerts;yes;yes;yes;yes;yes;yes;yes;no;?;?;97,818
MovieMagnet;Movies;no;yes;yes;no;yes;yes;yes;no;no;?;349,627
NyaaV2;CJK contents, especially otaku subculture like anime;yes;yes;yes;yes;yes;yes;yes;no;yes;no;560
Site;Specialization;Is a tracker;Directory;Public;RSS;One-click download;Sortable;Comments;Multi-tracker index;Ignores DMCA;Tor friendly;Alexa Traffic Rank
