Server;BSD;Solaris;Linux;Mac OS X;Windows
AnswerX;yes;yes;yes;no;no
BIND;yes;yes;yes;yes;yesntbind
Microsoft DNS;no;no;no;no;includedmsdns_included_functionality
djbdns;yes;yes;yes;yes;no
Dnsmasq;yes;yes;yes;yes;no
Simple DNS Plus;no;no;no;no;yes
NSD;yes;yes;yes;yes;no
Knot DNS;yes;no;yes;yes;no
PowerDNS;yes;yes;yes;beta;no
MaraDNS;yes;yes;yes;yes;partial
pdnsd;yes;partial;yes;yes;no
Nominum ANS;yes;yes;yes;no;no
Nominum Vantio;yes;yes;yes;no;no
Posadis;yes;yes;yes;yes;yes
Unbound;yes;yes;yes;yes;yes
Cisco Network Registrar;no;yes;yes;no;yes
dnrd;yes;no;yes;no;no
gdnsd;yes;yes;yes;yes;no
YADIFA;yes;yes;yes;yes;no
yaku-ns;yes;yes;yes;yes;no
DNS Blast;yes;no;no;no;no
Secure64 DNS Authority;no;no;yes;no;no
Secure64 DNS Cache;no;no;yes;no;no
Technitium DNS Server;no;no;yes;yes;yes
