Client;Creator;First public release date;Latest stable version;Software license;Copy files over 2GB
AbsoluteTelnet;Celestial Software;1996;9.49 02;Proprietary;yes
Beyond Compare;Scooter Software;1996;4.2.8 29;Proprietary;yes
Commander One;Eltima Software;2015;1.1 29;Proprietary;yes
CrossFTP Pro;CrossFTP Software;2006;1.98.7 19;Proprietary;yes
CuteFTP;Alex Kunadze/Globalscape;1994;9.3.0 (Windows) 11 / 3.1.3 (Mac) 2;Proprietary;yes
Directory Opus;GPSoftware;1990;11.10   19;Proprietary;yes
FlashFXP;OpenSight Software, LLC;1999;5.4.0.3970 01;Proprietary;yes
FTP Client;Vicomsoft;1997;5.0.1;Proprietary;Yes
SmartFTP;SmartSoft Ltd;1998;6.0.2155.0 23;Proprietary;yes
Total Commander;Christian Ghisler;1993;9.21a  21;Proprietary;Yes
WebDrive;South River Technologies, Inc.;1998;2017  16;Proprietary;Yes
WS_FTP;Ipswitch, Inc.;1996;12.5;Proprietary;Yes
Yummy FTP;Yummy Software;2004;1.9.0 10;Proprietary, Setapp;dunno
 ;sFTP Client Ltd;2013;3.1.6 18;Proprietary;yes
 ;Micro Formatica;2018;0.5.0 31;Proprietary;yes
