Parser;License;Implementation language(s);Latest date*;HTML parsing;HTML5-compliant parsing;Clean HTML**;Update HTML***
 ;BSD-2-Clause;OCaml;2016-12-10;Yes;Yes;dunno;dunno
 ;Python S. F. L.;Python;2016-06-27;Yes;dunno;No;No
 ;Microsoft Public License;C#;2016-07-14;Yes;dunno;No;dunno
 ;Python S. F. L.;Python;2016-08-02;Yes;partial;Yes;Yes
 ;Apache License 2.0;C;2015-05-01;Yes;Yes;dunno;dunno
 ;Apache License 2.0;Rust;2016-02-23;Yes;Yes;dunno;dunno
 ;MIT License;Python (and PHP, six years ago);2016-07-15;Yes;Yes;Yes;No
 ;Perl license;Perl;2013-03-28;Yes;No;dunno;dunno
 ;GPL3;Perl;2017-03-10;Yes;Yes;dunno;dunno
 ;GNU Lesser GPL;PHP;2009-03-25;No;No;Yes;Yes
HTML Tidy;W3C license;ANSI C;2017-03-01;Yes;Yes;Yes;Yes
HtmlUnit;Apache License 2.0;Java;2016-05-27;Yes;dunno;No;No
 ;BSD License;Java;2015-08-24;No;No;Yes;dunno
 ;MIT License;C;2016-02-16;Yes;Yes;dunno;dunno
 ;Jaunt Beta License;Java;2013-08-01;Yes;dunno;Yes;No
 ;Eclipse Public License;Java;2015-10-24;Yes;dunno;dunno;dunno
 ;MIT license;JavaScript;2018-08-19;Yes;Yes;dunno;dunno
 ;MIT license;Java;2018-04-15;Yes;Yes;Yes;Yes
 ; ;Java;2012-10-09;No;dunno;Yes;dunno
libxml2;MIT License;C;2012-09-11;Yes;No;dunno;dunno
 ;Apache License 2.0;Java;2014-06-02;Yes;dunno;dunno;dunno
 ;Apache License 2.0;Java;2011-07-07;No;dunno;dunno;dunno
 ;MIT License;Java;2012-06-05;Yes;Yes;dunno;dunno
 ;MIT License;PHP;2014-08-28;Yes;dunno;No;No
The PHP -class;PHP License;PHP;2014-10-04;Yes;dunno;No;No
 ;MIT License;Ruby;2016-10-03;Yes;dunno;No;No
 ;AGPL;C++;2015-08-27;Yes;dunno;No;Yes
 ;Apache License 2.0;Swift 3;2016-11-10;Yes;dunno;No;No
 ;LGPL;C;2018-09-06;Yes;Yes;No;No
 ;Proprietary;C#;2018-06-06;Yes;Yes;dunno;dunno
 ;Apache License 2.0;C;-;Yes;Yes;No;No
Parser;License;Implementation language(s);Latest date*;HTML Parsing;HTML5-compliant Parsing;Clean HTML**;Update HTML***
