OS;Version;Claimed IPv6-ready;Installed by default;DHCPv6;ND RDNSS;Notes
AIX;4.3;yes;yes;yes;no;
AlliedWare Plus;5.4.4;yes;yes;yes;no;
Android;5.0 (Lollipop);Yes;yes;no;yes;Supports ND-RDNSS in Android 5.0 and above. Does not support DHCPv6. Suffers from intermittent loss of its unicast address on some phones.
ChromeOS;67.0.3396.99;yes;yes;no;no;Does not support DHCPv6 or RDNSS.
Cisco IOS;15.3;yes;yes;yes;yes;Support for RDNSS option as of 15.4(1)T, 15.3(2)S.
Cisco Meraki;MX + MR + MX series;no;no;no;no;Devices can only carry / pass through IPv6 on bridge, but not route
Debian;3.0 (woody);yes;yes;yes;yes;RDNSS support with ""rdnssd"" and ""resolvconf"" or ""openresolve"" packages.
Fedora;13;yes;yes;yes;yes;
FreeBSD;9.0;yes;yes;Addon;yes;
HP-UX;11i;yes;yes;yes;yes;
IBM i;7.1;yes;yes;yes;no;
iOS;4.1;yes;yes;yes;yes;iOS supports stateless DHCPv6 since version 4 and stateful DHCPv6 since 4.3.1.
Juniper JUNOS;14.1;yes;yes;yes;yes;RDNSS support introduced in JUNOS 14.1
macOS;Mac OS X 10.7 (Lion);yes;yes;yes;yes;Versions 10.7 through 10.10 often prefer IPv4 even when working IPv6 connectivity is available. Versions 10.11 and up will prioritize IPV6 Traffic in spec with Happy Eyeballs.
MeeGo;1.2;no;yes;no;yes;
NetBSD;7.0;yes;yes;yes;yes;
OpenBSD;5.2;yes;yes;Addon;yes;RDNSS is only supported for rtadvd so far.
openSUSE;42.1 (Leap);yes;yes;yes;yes;openSUSE Leap 42.1 is a hybrid distribution using source code from .
OpenVMS;8.3;yes;yes;no;no;
Red Hat Enterprise Linux;6;yes;yes;yes;yes;
Solaris;10;yes;yes;yes;no;Not enabled by default.
Solaris;11;yes;yes;yes;yes;
SUSE Linux Enterprise Server;11;yes;yes;yes;yes;
Symbian;7.0;yes;yes;no;no;yes
Ubuntu;All supported versions;yes;yes;yes;yes;RDNSS support available so long as NetworkManager uses IPv6 ""Automatic"" setting, otherwise ""rdnssd"" package required.
webOS;2.1.0;no;no;no;no;
Windows NT[includesWindows 10 Mobile];5.1 (XP);yes;no;Addon;no;Windows XP users can use Dibbler, an open source DHCPv6 implementation.--update: Windows XP fully supports IPv6- but NOT IPv6 DNS queries (nslookup)
Windows NT[includesWindows 10 Mobile];6.X (Vista), 7, 8, 8.1, 10 RTM-Anniversary Update;yes;yes;yes;no;dnssd-win32 provides an open source implementation of ND RDNSS
Windows NT[includesWindows 10 Mobile];10 Creators Update;yes;yes;yes;yes;Windows 10 Creators Update introduces support for RFC 8106 (6106) RDNSS.
Windows Mobile;6.5;yes;yes;Lite;no;If the OEM explicitly unsets the SYSGEN_TCPIP6 pre-processor symbol, the built image will not have any IPv6 capabilities.
Windows Phone;7.5;no;no;no;no;Windows Phone 8 might have some support.
Windows Phone;8(.1);yes;yes;yes;no;Private lab research. No privacy extensions (RFC4941).
z/OS;V1R4.0;yes;yes;no;;
z/VM;V5R1.0;yes;yes;no;no;
z/VSE;V4R2;Addon;no;;;Via a third party TCP/IP stack, IP6/VSE from Barnard Software, Inc.
