Client;Primary developers;Distribution model;Software license;User interface;Programming language
Adium;Thijs Alkemade;Free software;[[GNU General Public License|GPL]];GUI;Objective-C and C
AmbassadorAmbassador;Isengrim;Free software;[[Mozilla Public License|MPL]];GUIstandaloneandbrowser;JavaScript, XUL
BersircBersirc;Jamie Frater, Nicholas Copeland;Free software;[[GNU Lesser General Public License|LGPL]];GUI;C (Delphi originally)
BitchXBitchX;Colten Edwards;Free software;[[BSD licenses|BSD]];TUI, GUI;C
ChatZillaChatZilla;Mozilla Foundation;Free software;[[Mozilla Public License|MPL]], [[GNU General Public License|GPL]], LGPL<br />[[tri-license]];GUIwebbrowser;JavaScript, XUL
ColloquyColloquy;Timothy Hatcher, Kiji Roshi;Desktop: free software,mobile: commercial;[[BSD licenses|BSD]]: mobile,<br />[[GNU General Public License|GPL]]: desktop;GUI;Objective-C
ERCERC;;Free software;[[GNU General Public License|GPL]];TUI, GUI;Emacs Lisp
F-IRC;Folkert van Heusden;Free software;[[GNU General Public License|GPL]];TUI;C++
GrumpyChat;Petr Bena;Free software;[[GNU Lesser General Public License|LGPL]];GUI;C++
HexChat;Berke Viktor;Free software;[[GNU General Public License|GPL]];TUI, GUI;C
IceChat;Paul Vanderzee;Free software;[[GNU General Public License|GPL]];GUI;C# (Visual Basic until 2004)
Igloo Ircle;Jordan Koch;Free mobile application;[[BSD licenses|BSD]];GUI;Swift
Instantbird;Florian Quèze;Free software;[[GNU General Public License|GPL]];GUI;C/C++, JavaScript, CSS, XUL
ircIIircII;Michael Sandrof;Free software;[[BSD licenses|BSD]];TUI;C
IrcleIrcle;Onno Tijdgat;Commercial 30-day trial;proprietary;GUI;C
IrssiIrssi;Timo Sirainen;Free software;[[GNU General Public License|GPL]];TUI;C
KiwiIRCKiwiIRC;Darren Whitlen;Free software;[[Affero General Public License|AGPL]];Web;Javascript frontend, Node.js backend
KVIrcKVIrc;Szymon Stefanek;Free software;[[GNU General Public License|GPL]];GUI;C++
KonversationKonversation;KDE;Free software;[[GNU General Public License|GPL]];GUI;C++
LeafChatLeafChat;Samuel Marshall;Free software;[[GNU General Public License|GPL]];GUI;Java
LimeChatLimeChat;Satoshi Nakagawa;Free software;[[GNU General Public License|GPL]];GUI;RubyCocoa (2007–2010)Objective-C(2010–)
LinkinusLinkinus;Conceited Software;Commercial, 15-day trial;proprietary;GUI;Objective-C
MibbitMibbit;Jimmy Moore;Textual Adbar;proprietary;Web;JavaScript frontend,Java backend
mIRCmIRC;Khaled Mardam-Bey;Shareware 30-day trial;proprietary;GUI;C/C++ (Borland C++ originally)
Nettalk;Nicolas Kruse;Freeware;[[Apache license|Apache]] 2.0;GUI;Visual Basic
Opera (until version 12.xx) Operaopera;;Freeware;proprietary;GUIbrowsercomp;C++
Pidgin;;Free software;[[GNU General Public License|GPL]];GUI;C
PIRCHPIRCH;;Shareware;proprietary;GUI;Delphi
PJIRCPJIRC;Philippe Detournay;Free software;[[GNU General Public License|GPL]];GUI;Java
QuasselQuassel;Manuel Nickschas, Marcus Eggenberger, Alexander von Renteln;Free software;[[GNU General Public License|GPL]];TUIncomp, GUIcldaemon;C++
qwebircqwebirc;Chris Porter;Free software;[[GNU General Public License|GPL]];Web;JavaScript front end,Python backend
rcircrcirc;Ryan Yeske;Free software;[[GNU General Public License|GPL]];TUI;Emacs Lisp
SmuxiSmuxi;Mirco Bauer;Free software;[[GNU General Public License|GPL]];GUI, TUI, servercldaemon;C#
SnakSnak;Kent Sorensen;Commercial;proprietary;GUI;dunno
Visual IRCVisual IRC;;Free software;[[GNU General Public License|GPL]];GUI;dunno
WeeChatWeeChat;Sebastien Helleu;Free software;[[GNU General Public License|GPL]];TUI, GUIdev;C
XChat (evolved into HexChat)XChatobsolete;;Unix/Linux: free software"; Windows: commercial, 30-day trial(HexChat is free of charge);[[GNU General Public License|GPL]]"; or proprietary for Windows;TUI, GUI;C
Client;Primary developers;Distribution model;Software license;User interface;Programming language
