Client;386BSD;BSD/OS (BSD/386, BSDI);FreeBSD, NetBSD, OpenBSD;SunOS;ULTRIX;AIX;A/UX;HP-UX;IRIX;SCO OpenServer;Solaris;UnixWare;Linux;NeXTSTEP;OpenVMS;OSF/1;QNX;Tru64 UNIX
Bersirc;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;yes;dunno;no;dunno;dunno;dunno
BitchX;dunno;yesNote;yes;yes;yes;yes;dunno;yes;yes;dunno;yes;yes;yes;yes;dunno;yes;yes;dunno
ChatZilla;no;no;yes;yes;no;yes;no;yes;yes;yes;yes;yes;yes;no;yes;no;yes;yes
Colloquy;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
degesch;dunno;dunno;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;yes;dunno;dunno;dunno;dunno;dunno
DMDIrc;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
ERC;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
HexChat;dunno;dunno;yes;yes;dunno;yes;dunno;yes;yes;dunno;yes;dunno;yes;dunno;dunno;dunno;dunno;yes
HydraIRC;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
IceChat;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
ircII;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;dunno;yes;yes;dunno;yes;yes;yes
IRCjr;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
Ircle;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
Irssi;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes
KiwiIRC;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
Konversation;dunno;dunno;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno;yes;dunno;yes;dunno;dunno;dunno;dunno;yes
KVIrc;dunno;dunno;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno;yes;dunno;yes;dunno;dunno;dunno;dunno;dunno
LeafChat;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no
LimeChat;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
Linkinus;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
Mibbit;dunno;dunno;yes;yes;yes;yes;dunno;yes;yes;yes;yes;yes;yes;dunno;yes;dunno;dunno;yes
mIRC;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
Nettalk;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
Opera;no;no;yes;no;no;no;no;no;no;no;yes;no;yes;no;no;no;dropped;no
PIRCH;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
PJIRC;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
Quassel;dunno;dunno;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno;yes;dunno;yes;dunno;dunno;dunno;dunno;dunno
qwebirc;dunno;dunno;yes;yes;yes;yes;dunno;yes;yes;yes;yes;yes;yes;dunno;yes;dunno;dunno;yes
rcirc;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
Smuxi;dunno;dunno;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno;yes;dunno;yes;dunno;dunno;dunno;dunno;dunno
Snak;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
Visual IRC;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
WeeChat;dunno;dunno;yesNote;dunno;dunno;dunno;dunno;yes;partialNote;dunno;yes;dunno;yes;dunno;dunno;dunno;yes;dunno
XChat;dunno;dunno;yes;yes;dunno;yes;dunno;yesNote;yes;dunno;yes;dunno;yes;dunno;dunno;dunno;dunno;yes
Client;386BSD;BSD/OS (BSD/386, BSDI);FreeBSD, NetBSD, OpenBSD;SunOS;ULTRIX;AIX;A/UX;HP-UX;IRIX;SCO OpenServer;Solaris;UnixWare;Linux;NeXTSTEP;OpenVMS;OSF/1;QNX;Tru64 UNIX
