IRC daemon;Creator/network;Basis;Programming language;First public release;Latest version (numeric 351);Software license
Asuka;QuakeNet Dev Team;ircu;C;unk;1.2.1 ''(now replaced by snircd)'';[[GNU General Public License|GPL]]
Bahamut;DALnet;DreamForge, IRCD-Hybrid;C;1999;bahamut-2.0.7;[[GNU General Public License|GPL]]
bIRCd;DAMnet;DreamForge;C;1999;bIRCd-2.1.0rc4;[[GNU General Public License|GPL]]
beware ircd;beware;from scratch;Delphi;unk;beware1.6;[[GNU General Public License|GPL]]
Charybdis;atheme.org (nenolod, jilles, dwr, gxti);ircd-ratbox, IRCD-Hybrid, ircu, ShadowIRCd;C;2005;charybdis-3.4.2;[[GNU General Public License|GPL]]/[[BSD license|BSD]]
dancer-ircd;freenode;Hybrid 6;C;1999;? ''(replaced by hyperion)'';[[GNU General Public License|GPL]]
Elemental-IRCd; ;ShadowIRCD;C;2007;6.6.2;[[GNU General Public License|GPL2]]
DreamForge;DALnet;irc2.8.mu3;C;1994 (dal), 1997? (df);? ''(replaced by bahamut)'';[[GNU General Public License|GPL]]
Faerion IRC Server;vhex;DreamForge;C, C++;2003;1.17.7.1;[[GNU General Public License|GPL]]
FoxEye (ircd module);Andriy Grytsenko;from scratch;C;2011(draft), 2016(working);0.11.0;[[GNU General Public License|GPL2]]
hyperion;freenode;dancer-ircd 1.0.35+pre2;C;2005;? ''(replaced by ircd-seven)'';[[GNU General Public License|GPL]]
IgniteIRCd;Lloyd Dilley;ircd-hybrid 6.3.1;C;2004;0.9.41 ''(now unmaintained)'';[[GNU General Public License|GPL]]
InspIRCd;InspIRCd Development Team;from scratch;C++;2002;2.0.25;[[GNU General Public License|GPL]]
ignitionServer;The Ignition Project;Pure-IRCD (VB6 version);Visual Basic;2004;ignitionServer-0.3.6-P1;[[GNU General Public License|GPL]]
IRCd;Jarkko Oikarinen, IRCnet;from scratch;C;1988;2.11.2;[[GNU General Public License|GPL v1]]
ircd-hybrid;ircd-hybrid Development Team, Rizon, OFTC, EFnet;irc2.8;C;1997;8.2.21;[[GNU General Public License|GPL]]
ircd-ratbox;Aaron Sethman, Lee Hardy, EFnet;Hybrid 7-rc1;C;2002;ircd-ratbox-3.0.10;[[GNU General Public License|GPL]]
ircd-seven;freenode;charybdis 3.1.x/trunk;C;—;stable;[[GNU General Public License|GPL]]
ircu;Undernet Coder Committee;irc2.7;C;1991;u2.10.12.14;[[GNU General Public License|GPL]]
ithildin;Chip Norkus;from scratch;C;2006;1.1;[[BSD license|BSD]]
kike;P?emysl Janouch;from scratch;C;2015;0.9;[[ISC license|ISC]]
miniircd;Joel Rosdahl;from scratch;Python;2003;1.1;[[GNU General Public License|GPL]]
Nefarious IRCu;Evilnet Development, AfterNET;ircu2.10.12.14;C;2004;u2.10.12.14+Nefarious(2.0.0);[[GNU General Public License|GPL]]
ngIRCd;Alex Barton;from scratch;C;2001;ngircd-24;[[GNU General Public License|GPL]]
OfficeIRC Server;Office IRC Inc, Paul Heinlein;from scratch;VB.NET;2006;2.2;proprietary
Oragono;Daniel Oaks, Oragono Contributors;Ergonomadic;Go;2016;0.12.0;[[MIT License|MIT]]
PleXusIRCd;Rizon, thaprince, static;Hybrid 7.2.3;C;2005;hybrid-7.2.3+plexus-3.0.1(20090612_0-523);[[GNU General Public License|GPL]]
ProvisionIRCd;Sirius, Y4kuzi;from scratch;mSL;2006;2.2;[[GNU General Public License|GPL]]
pureIRCd;Dennis Fisch aka Diligent;from scratch;C;2002;unk;[[GNU General Public License|GPL]]
RockIRCdRockIRCd;Mike Chambers;from scratch;QuickBASIC;2009;1.0.0-testing;[[GNU General Public License|GPL]]
RubIRCd;Lloyd Dilley;from scratch;Ruby;2013;0.1a-maiden voyage;[[GNU General Public License|GPL]]
ShadowIRCd;Taros, jdhore, jilles, nenolod;Charybdis;C;2003;6.3.3;[[GNU General Public License|GPL]]
snircd;QuakeNet;ircu2.10.12;C;unk;1.3.4a;[[GNU General Public License|GPL]]
solid-ircd;Toshi Morita, Juan Baez,Gabriel Baez;Bahamut;C;2004;solid-ircd 3.4.8;[[GNU General Public License|GPL]]
Synchronet IRCd;Randy E. Sommerfeld;from scratch;JavaScript;2003;SynchronetIRCd-1.3a(1.151);[[GNU General Public License|GPL]]
TR-IRCd;Yusuf Iskenderoglu, Ekim Engin, Dimitris Ginosatiris, Maksut Cagil, Burak Cifter;Hybrid 7 and Bahamut;C;1999;5.6.1;[[GNU General Public License|GPL]]
UltimateIRCd;ShadowRealm Creations;DreamForge 2.8;C;2001;''(now unmaintained)'';[[GNU General Public License|GPL]]
UnrealIRCd;UnrealIRCd Team;EliteIRCd (potvin);C;1999;Unreal4.0.5;[[GNU General Public License|GPL]]
Viagra IRCd;Chris Schiffner;Titan;C;2003;1.3.3 ''(now unmaintained)'';[[GNU General Public License|GPL]]
WeIRCd;Eloxoph IRC Network;from scratch;C;2007;0.8.2 ''(now unmaintained)'';[[GNU General Public License|GPL]]
Pocosi;Chris Williams, Hinrik Örn Sigurðsson;POE::Component::Server::IRC;Perl;2003;0.02 ''(1.53 of POE::Component::Server::IRC)'';[[Artistic License|Artistic]]
