Library Name;;;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Other Features;Interactivity;Interactivity;Rendering Technologies;Rendering Technologies;Rendering Technologies;Databinding
Library Name;License;Free;Line;Timeline;Scatter;Area;Pie;Donut;Bullet;Radar;Funnel;Gantt;Network;Grouped;Stacked;Negative;Discrete;Horizontal;3D;Legends;Mouse Over;onClick;HTML5 Canvas;SVG;VML;AxisXY
 ;proprietary;or commercial;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;If empty
 ;proprietary;Paid for commercial applications.;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes
 ;MIT;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;no;yes;yes;yes;yes;yes;If empty;yes;yes;yes;no;yes;no;If empty
 ;MIT;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;no;yes;yes;yes;yes;yes;If empty;yes;yes;yes;no;yes;no;yes
 ;proprietary;no;yes;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;yes;yes;yes;If empty;yes;yes;yes;yes;no;no;yes
 ;GPLv3, name/email required for source link;yes;yes;no;yes;yes;yes;no;no;no;no;no;yes;yes;yes;no;no;yes;If empty;yes;yes;yes;yes;no;yes;If empty
 ;or MIT;yes;yes;no;yes;yes;yes;yes;no;no;no;no;no;yes;yes;yes;yes;yes;If empty;no;yes;yes;no;yes;no;If empty
 ;MIT;yes;yes;yes;yes;yes;yes;yes;no;yes;no;no;no;yes;yes;yes;yes;yes;If empty;yes;yes;yes;yes;no;no;no
 ;free;yes;yes;no;no;yes;yes;yes;no;yes;no;no;no;no;yes;yes;no;yes;If empty;yes;yes;yes;yes;no;no;If empty
 ;proprietary;Free basic edition;no;no;yes;yes;yes;no;no;no;no;no;no;yes;no;no;yes;If empty;yes;yes;yes;yes;no;no;If empty;If empty
 ;MIT;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;If empty;no;yes;yes;yes;no;no;yes
D3.js, formerly Protovis;[[BSD Licenses|BSD-3]];yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;If empty;yes;yes;yes;yes;yes;no;yes
