Framework;Version compared;Size;License;Source language
AngularJS;1.5.05 Feb 2016;144 kB (minified & compressed);[[MIT License|MIT]];JavaScript
Backbone.js;1.2.1June 2015;7.3 kB (Packed and gzipped);[[MIT License|MIT]];JavaScript
Dojo;1.10.418 Jan 2015;Variable. Base size: 41 kB (minified & gzipped), 155 kB (minified), 598 kB (uncompressed);[[BSD License|BSD]] & [[Academic Free License|AFL]];JavaScript + HTML
Ember.js;1.7.019 Aug 2014;95 kB (minified & gzipped), 340 kB (minified), 1.5 MB (uncompressed);[[MIT License|MIT]];JavaScript
Enyo;2.0.130 Aug 2012;<25 kB (core gzipped);[[Apache 2 License|Apache 2]];JavaScript
Ext JS;4.213 Mar 2013;84–502 kB;GPL & Commercial;JavaScript
Google Web Toolkit;2.7.0November 2014;Variable;[[Apache License|Apache]];Java
jQuery (library);1.9.14 Feb 2013;32 KiB (minified & gzipped), 93 KiB (minified), 252 KiB (uncompressed);[[MIT License|MIT]];JavaScript
jQWidgets;3.9.129 Oct 2015;3102 KB (minified), 7486 KB (uncompressed);Creative Commons Attribution-NonCommercial 3.0 and Commercial;JavaScript, HTML, CSS
Knockout;3.4.017 November 2015;58 KB minified / 280 KB (development mode);[[MIT License|MIT]];JavaScript
MooTools;1.6.014 Jan 2016;Variable"; 7.3–65 KiB ([[YUI Library#Build tools|YUI Compressor]]),  Variable"; 7.3–65 KiB ([[YUI Library#Build tools|YUI Compressor]]), 101 KiB (uncompressed);[[MIT License|MIT]];JavaScript
React (JavaScript library);16.1.1November 28, 2017;6.41KB            92.4KBredux v3.7.2                                     2KBTotal: 100.81KB;[[MIT License|MIT]];JavaScript
SAP OpenUI5;1.44.928 Mar 2017;20.8MB (1.34.7 runtime, minified, zipped)6.8MB(1.34.7 runtime mobile, minified, zipped)52.1MB (1.34.7 SDK, zipped);[[Apache 2 License|Apache 2]];JavaScript
Prototype & script. aculo.us;Prototype: 1.7.322 Sep 2015 script.aculo.us: 1.9.023 Dec 2010;46–278 kB;[[MIT License|MIT]];JavaScript
qooxdoo;5.0.115 Sep 2015;Variable, starting at 6 kB (gzipped);[[LGPL]] & [[Eclipse Public License|EPL]];JavaScript
SmartClient & SmartGWT;SmartClient: 11.1 June 2017 SmartGWT: 6.1 June 2017;100–500 kb (gzipped).;LGPL &;Server: Java Client: Java (Smart GWT) or Javascript (SmartClient) or XML (both)
SproutCore;1.11.2 2 May 2016;250–700 kb (gzipped).;[[MIT License|MIT]];JavaScript
Vue.js;2.1.1017 Jan 2017;26 kB (minified & gzipped)71 kB (minified) 219 kB (uncompressed);[[MIT License|MIT]];JavaScript
Wakanda;914 Nov 2014;Variable;GPL3 (framework), AGPL (server) &;JavaScript + HTML + CSS
Webix;4.1November 2016;188 kB (gzipped);GPL &;JavaScript
ZK;8.0.1 19 Jan 2016;Variable;LGPL & GPL &;XML + Java (JavaScript optional)
