Distribution;Founder;Maintainer;Initial release year;Current stable version;Security updates (years);Release date;System distribution commitment;Forked from;Target audience;Cost;Status
Alpine Linux;Alpine Linux Team;Alpine Linux Team;iso;3.8.0;dunno;iso;X;–;security, lightweight, general;Gratis;site active
ALT Linux;ALT Linux Team;ALT Linux Team, ALT Linux LLC;iso;8.2;dunno;iso;X;Mandrake Linux;general, school;Gratis;site active
Antergos;Alexandre Filgueira;Antergos Project;iso;Rolling;Rolling;Rolling;X;Arch Linux;general;Gratis;site active
antiX;Anticapitalista;Anticapitalista;iso;17;dunno;iso;X;Debian, MEPIS;old computers;Some editions are gratis;site active
ArchBang;Willensky Aristide;Stan McLaren;iso;Rolling;Rolling;dunno;X;Arch Linux;general;Gratis;site active
Arch Linux;Judd Vinet;dev team;iso;Rolling;Rolling;Rolling;X;–;general;Gratis;site active
BLAG;Brixton Linux Action Group;Brixton Linux Action Group;iso;140k;dunno;iso;100% Free: [[GNU Free System Distribution Guidelines|GNU FSDG]];Fedora;desktop;Gratis;site inactive
Bodhi Linux;Bodhi Linux Team;Bodhi Linux Team;iso;4.5.0;dunno;iso;X;Debian, Ubuntu;desktop;Gratis;site active
Canaima;CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community;CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community;iso;5.0;dunno;iso;X;Debian, Ubuntu;Government of Venezuela;Gratis;site active
CentOS;CentOS Project;CentOS Project;iso;7.5-1804;10 years;iso;X;Red Hat Enterprise Linux (RHEL);server, workstation;Gratis;site active
Chakra;Jan Mette and Arch Linux KDEmod developers;The Chakra Project Team;iso;Rolling;Rolling;dunno;X;Arch Linux;desktop;Gratis;site active
Chromium OS;Google;dunno;2009;Rolling;Rolling;Rolling;X;Chrome OS;web applications;Gratis;site active
ClearOS;Peter Baldwin;ClearFoundation;iso;7.3.0;dunno;iso;X;RHEL, CentOS;server, gateway, network;Some editions are gratis;site active
CrunchBang Linux;Philip Newborough;Philip Newborough;iso;11;dunno;iso;X;Debian;desktop;Gratis;site inactive
Damn Small Linux;John Andrews;dev team;iso;4.4.10;dunno;iso;X;Debian, Knoppix;lightweight, portable;Gratis;site active
Debian;Ian Murdock;Debian Project;iso;9.5;~3 years;iso;[[Debian Social Contract]] and [[Debian Free Software Guidelines|DFSG]] (main is 100% free, non-free packages are optional);–;general, server, desktop;Gratis;site active
Debian Edu;;Debian Project;iso;8.0+edu0;~3 years;iso;[[Debian Social Contract]] and [[Debian Free Software Guidelines|DFSG]];–;schools;Gratis;site active
Devuan;The ""Veteran Unix Admins"" (VUA);The ""Veteran Unix Admins"" (VUA);iso;1.0.0;dunno;iso;dunno;Debian;general;Gratis;site active
Dragora GNU/Linux-Libre;Matias A. Fonzo;Matias A. Fonzo;iso;2.2;dunno;iso;100% Free: [[GNU Free System Distribution Guidelines|GNU FSDG]];Independent, inspired from Slackware;general;Gratis;site active
dyne:bolic;Jaromil;Jaromilx;iso;3.0.0;dunno;iso;100% Free: [[GNU Free System Distribution Guidelines|GNU FSDG]];Debian;multimedia;Gratis;site inactive
Elementary OS;Daniel Foré;elementary LLC;iso;5.0;dunno;iso;X;Ubuntu, Debian;general;Gratis;site active
ELinOS;SYSGO;SYSGO;iso;dunno;6.1;iso;X;–;embedded system;partial;site active
Emdebian Grip;Embedded Debian Project;Embedded Debian Project;iso;3.1;End-of-life;iso;X;Debian;embedded system;Gratis;site inactive
Fedora;Fedora Project;Fedora Project;iso;29;1 year;iso;Fedora Licensing Guidelines;–;general;Gratis;site active
Freespire;Lindows.com, Inc.;Linspire, Inc.;iso;2.0.8;dunno;iso;X;Debian;desktop;Gratis;site inactive
Gentoo Linux;Daniel Robbins;Gentoo Foundation, Inc.;iso;Rolling;Rolling;dunno;Gentoo Social Contract;–;general;Gratis;site active
Guix System Distribution;Ludovic Courtès;Ludovic Courtès, Ricardo Wurmus, the Guix community;iso;0.16.0;Rolling;iso;100% Free: [[GNU Free System Distribution Guidelines|GNU FSDG]];–;general;Gratis;site active
gNewSense;Brian Brazil and Paul O'Malley;Sam Geeraerts with sponsorship from the FSF;iso;4.0 (Ucclia);dunno;iso;100% Free: [[GNU Free System Distribution Guidelines|GNU FSDG]];Debian;general, server;Gratis;site active
gnuLinEx;Regional Government of Extremadura;dev team;iso;LinEx 2013;dunno;iso;X;Debian;desktop;Gratis;site inactive
Grml;Michael Prokop;The Grml Team;iso;2017.05;dunno;iso;X;Debian;live, maintenance, security, network, forensic, accessibility;Gratis;site active
Hyperbola GNU/Linux-libre;Hyperbola Founders;Hyperbola Founders;iso;0.2.5;3 years (stable), 5 years (old stable);iso;100% Free: [[GNU Free System Distribution Guidelines|GNU FSDG]] followed in [[Hyperbola GNU/Linux-libre#Social contract|Hyperbola Social Contract]];Arch Linux;general;Gratis;site active
Instant WebKiosk;Marco Buratto;Binary Emotions;iso;16.0;dunno;iso;X;Debian;web kiosks, digital signage, personal web navigation;Gratis;site active
Kali Linux;Max Moser, Mati Aharoni, Martin J. Muench;Offensive Security;iso;2018.1;dunno;iso;X;Debian;auditing, forensic, security, network;Gratis;site active
Knoppix;Klaus Knopper;dev team;iso;8.1;dunno;iso;X;Debian;live;Gratis;site active
Kodibuntu;The XBMC Project;Team Kodi;iso;dunno;dunno;dunno;X;Debian, Ubuntu;multimedia;Gratis;site active
Korora;Chris Smart;Dev Team;iso;26;dunno;iso;X;Fedora;desktop;Gratis;site active
LibreCMC;LibreCMC team;LibreCMC team;iso;1.4.2;dunno;iso;100% Free: [[GNU Free System Distribution Guidelines|GNU FSDG]];Merged from LibreWRT;embedded system;Gratis;site active
Linspire;Linspire, Inc.;Linspire, Inc.;iso;7.0;dunno;iso;X;Ubuntu;dunno;Commercial;site active
Linux Mint;Clement Lefebvre;dev team;iso;18.3;~3 years (LMDE)"; 5 years (main editions);iso;X;Debian, Ubuntu;desktop;Gratis;site active
Linux Lite;Jerry Bezencon;Linux Lite Team;2012;3.8;dunno;2017-02-01;X;Ubuntu;desktop;Gratis;site active
Mageia;Mageia Community;mageia.org;iso;6;1;iso;X;Mandriva Linux;general;Gratis;site active
Mandriva Linux;Mandrakesoft S.A.;Mandriva S.A.;iso;2011;dunno;iso;X;Red Hat Linux;general;Some editions are gratis;site inactive
Manjaro Linux;Roland Singer;dev team;iso;Rolling;Rolling;Rolling;X;Arch Linux;general;Gratis;site active
MEPIS;Warren Woodford;MEPIS LLC;iso;dunno;dunno;dunno;X;Debian;desktop, server;Gratis;site inactive
Musix GNU+Linux;Musix team;Musix team;iso;3.0.1;dunno;iso;100% Free: [[GNU Free System Distribution Guidelines|GNU FSDG]];Debian;multimedia;Gratis;site active
Netrunner;Blue Systems;dev team;iso;18.03;as per Debian Testing or Manjaro (rolling);iso;X;Debian, Manjaro/Arch;desktop;Gratis;site active
NixOS;Eelco Dolstra and Armijn Hemel;NixOS Foundation;iso;17.09;6 months;iso;X;-;general, server, desktop;Gratis;site active
Novell Open Enterprise Server;Novell;Novell, Inc. dev team;iso;dunno;dunno;dunno;X;SUSE Linux Enterprise Server;server;Commercial;site active
OpenELEC;Stephan Raue, OpenELEC Team;OpenELEC Team;iso;8.0.4;dunno;iso;X;–;multimedia;Gratis;site active
openSUSE;SUSE Linux, Novell;openSUSE Project;iso;42.3;3 years;iso;X;–;general, desktop;Gratis;site active
OpenWrt;dunno;OpenWrt team;iso;15.05.1;dunno;iso;X;–;embedded system;Gratis;dunno
Oracle Linux;Oracle Corporation;Oracle Corporation;iso;7.4;dunno;iso;X;Red Hat Enterprise Linux (RHEL);server;Gratis;site active
Parabola GNU/Linux-libre;Parabola Hackers;Parabola Hackers;iso;Rolling;Rolling;iso;100% Free: [[GNU Free System Distribution Guidelines|GNU FSDG]] followed in [[Parabola GNU/Linux-libre#Social contract|Parabola Social Contract]];Arch Linux;general;Gratis;site active
Pardus;Scientific and Technological Research Council of Turkey (TÜB?TAK);TÜB?TAK;iso;5;dunno;iso;X;–;general;Gratis;dunno
Parsix;Alan Baghumian;Parsix Project;iso;8.15;dunno;iso;X;Debian;desktop;Gratis;site inactive
PCLinuxOS;Bill Reynolds;dev team;iso;2017.04;Semi-rolling;iso;X;Mandriva Linux;desktop;Gratis;Active
Pentoo;Michael Zanetta, Rick Farina, Jens Pranaitis;Pentoo;iso;2015.0 RC4.6;dunno;iso;X;Gentoo Linux;auditing, security;Gratis;site active
Porteus;Fanthom;Porteus;iso;3.2.2;dunno;iso;X;Slackware;lightweight, portable;Gratis;site active
Puppy Linux;Barry Kauler;Puppy Foundation;iso;6.3.2;dunno;iso;X;–;lightweight, portable;Gratis;site active
Qubes OS;Joanna Rutkowska;Invisible Things Lab;iso;4.0;dunno;iso;X;Xen and Fedora;security by compartmentalization, desktop;Gratis;site active
Red Hat Enterprise Linux (RHEL);Red Hat;Red Hat;iso;7.6;10 years;2018-10-30;X;Red Hat Linux, Fedora;server, workstation;Commercial;site active
Red Hat Linux;Red Hat;Red Hat;iso;9;dunno;2003-03-31;X;–;server, workstation;Gratis;site inactive
Rocks Cluster Distribution;UCSD Supercomputing Center, Clustercorp;UCSD Supercomputing Center, Clustercorp;iso;7.0;dunno;2015-12-01;X;Red Hat Linux;server, workstation;Gratis;site active
Sabayon Linux;Fabio Erculiani;dev team;iso;17.12;dunno;2017-11-29;X;Gentoo Linux;general;Gratis;site active
Salix OS;Cyrille Pontvieux, George Vlahavas, Pierrick Le Brun, Thorsten Mühlfelder;Salix team;iso;14.2;dunno;iso;X;Slackware;general;Gratis;dunno
Scientific Linux;CERN, Fermilab;dev team;iso;7.4;dunno;2017-10-02;X;Red Hat Linux, Red Hat Enterprise Linux (RHEL);server, workstation;Gratis;site active
Slackware;Patrick Volkerding;dev team;iso;14.2;dunno;2016-06-30;X;Softlanding Linux System (SLS);general;Gratis;site active
Slax;Tomas Matejicek;Tomas Matejicek;iso;9.3.0;dunno;2017-12-24;X;Debian, Slackware (until Slax 9);live;Gratis;site active
SliTaz GNU/Linux;Christophe Lincoln;dev team;iso;Rolling;Rolling;iso;X;–;portable;Gratis;site active
Solus;Ikey Doherty;dev team;iso;Rolling;Rolling;iso;X;–;desktop;Gratis;site active
SolydXK;Arjen Balfoort;dev team;iso;201801;Debian packages as per Debian;iso;X;Debian;desktop;Gratis;site active
Source Mage GNU/Linux;Ryan Abrams, Eric Schabell;dev team;iso;0.62-11;dunno;iso;[[Source Mage#Social contract|Source Mage Social Contract]];Sorcerer;general;Gratis;site active
SteamOS;Valve Corporation;Valve Corporation;iso;2.148;dunno;iso;X;Debian;video games;Gratis;site active
SUSE Linux Enterprise;SUSE;Microfocus;iso;12SP3;dunno;2017-09-07;X;Slackware, Jurix;workstation, server;Commercial;site active
Tails;dunno;Tails Development Team;iso;3.8;–;2018-06-26;X;Debian;security-focused aimed for anonymity and privacy;Gratis;site active
Tiny Core Linux;Robert Shingledecker;Team Tiny Core;iso;8.2.1;dunno;iso;X;Tiny Core Linux;portable;Gratis;site active
Tor-ramdisk;Anthony G. Basile;dev team;iso;20151215;dunno;iso;X;Gentoo Linux Embedded, uClibc;Tor server;Gratis;site active
Trisquel GNU/Linux;Rubén Rodríguez Pérez (quidam);Rubén Rodríguez Pérez (quidam);iso;8.0;5 years;iso;100% Free: [[GNU Free System Distribution Guidelines|GNU FSDG]];Ubuntu LTS;desktop;Gratis;site active
TurnKey GNU/Linux;Alon Swartz, Liraz Siri;TurnKey GNU/Linux Team;iso;14.1;Debian packages as per Debian"; TurnKey packages for life of current major version (plus backports per request);iso;[[Debian Social Contract]] and [[Debian Free Software Guidelines|DFSG]];Debian;server based software appliance library aiming to balance security and ease of use;Gratis;site active
Ubuntu and Derivatives;Canonical Ltd.;Canonical Ltd.;iso;18.10;Standard releases 1 year, LTS releases 5 years. Flavor LTS releases 3 or 5 years.;iso;X;Debian;general, server, desktop;Gratis;site active
Univention Corporate Server;Univention GmbH;Univention GmbH;iso;4.3;up to 6 months for the free Core Edition"; if maintenance is purchased, it's up to 7 years, see:;iso;X;Debian;home, business, and school;Core Edition is gratis;site active
Ututo;Diego Saravia, Daniel Olivera;UTUTO dev team;iso;XS 2012;dunno;iso;100% Free: [[GNU Free System Distribution Guidelines|GNU FSDG]];Ututo XS: Gentoo Linux, Ututo UL: Ubuntu;general;Gratis;site active
VectorLinux;Robert S. Lange;dev team;iso;7.1;dunno;2015-06-27;X;Slackware;desktop;Gratis;dunno
Void Linux;Juan Romero Pardines;Juan RP and contributors;iso;Rolling;Rolling;iso;X;–;general;Gratis;site active
Webconverger;Kai Hendry;Webconverger Limited;iso;35.0;dunno;iso;X;Debian;kiosk software, digital signage;Commercial;site active
Xandros;Xandros Incorporated;Xandros Incorporated;iso;dunno;dunno;iso;X;Corel Linux;dunno;Commercial;site inactive
Zentyal;eBox Technologies;eBox Technologies;iso;5;dunno;iso;X;Debian, Ubuntu;small business server;Some editions are gratis;dunno
Zenwalk;Jean-Philippe Guillemin;dev team;iso;Rolling;dunno;2018-03-09;X;Slackware;general;Gratis;site active
Distribution;Founder;Maintainer;Initial release year;Current stable version;Security updates (years);Release date;System distribution commitment;Forked from;Target audience;Cost;Status
