NMDC Client;FOSS;Software license;Active;Windows;Linux;Mac OS X;Other OS;GUI;CLI;Other UI;Programming language;Based on
MLDonkey;yes;[[GNU GPL]];yes;yes;yes;yes;no;yes;yes;WebUI;OCaml, C, assembly; 
Shareaza;yes;[[GNU GPL]];yes;yes;no;no;no;yes;unknown;unknown;C++; 
NeoModus Direct Connect;no;ProprietaryFreeware;no;yes;yes;no;no;yes;no;no;Visual Basic, C++; 
 ;yes;[[GNU GPL]];no;no;no;yes;no;yes;no;no;C; 
 ;yes;[[GNU GPL]];no;no;yes;no;[[FreeBSD]];yes;no;no;C++; 
 ;yes;[[GNU GPL]];no;;;;;no;no;yes;C++; 
 ;yes;[[GNU GPL]];no;yes;no;no;no;yes;no;no;C#; 
 ;unknown;unknown;no;no;yes;no;no;no;no;yes;C; 
 ;yes;[[GNU GPL]];no;yes;no;no;no;yes;no;no;C++;DC++
 ;yes;[[GNU GPL]];no;yes;no;no;no;yes;no;no;C++;DC++
 ;yes;[[GNU GPL]];no;yes;no;no;no;yes;no;no;C++;DC++
 ;yes;[[GNU GPL]];yes;yes;no;no;no;yes;no;no;C++;DC++
EiskaltDC;yes;[[GNU GPL]];no;no;yes;yes;[[FreeBSD]];yes;no;no;C++;Valknut
 ;yes;[[MIT Licence]];yes;no;yes;yes;[[FreeBSD]];no;yes;no;C;
NMDC Client;FOSS;Software license;Active;Windows;Linux;Mac OS X;Other OS;GUI;CLI;Other UI;Programming language;Based on
