OLAP Server;Company;Website;Latest stable version;Software license;License Pricing
Apache Kylin;Apache Software Foundation;;2.5.1;Apache 2.0;free
Druid;Open source community; ;0.11.0;Apache 2.0;free
Essbase;Oracle;;11.1.2.4;Proprietary; 
IBM Cognos TM1;IBM;;10.2.2 FP7;Proprietary;-
icCube;icCube;;6.8.1;Proprietary;community/
Infor BI OLAP Server;Infor;;10.6.0;Proprietary;-
Jedox OLAP Server;Jedox;;7.0;GPL v2 or EULA, Proprietary; 
Kyligence;Kyligence;;3.2.1;Proprietary;-
Kyvos BI on Big Data;Kyvos Insights;;4.0;Proprietary;-
Microsoft Analysis Services;Microsoft;;2016;Proprietary; 
MicroStrategy Intelligence Server;MicroStrategy;;10.11;Proprietary;-
Mondrian OLAP server;Pentaho;;3.7;EPL;free
Oracle Database OLAP Option;Oracle;;11g R2;Proprietary; 
SAP NetWeaver BW;SAP;;7.30;Proprietary;-
SAS OLAP Server;SAS Institute;;9.4;Proprietary;-
