OLAP Server;XML for Analysis;OLE DB for OLAP;MDX;Stored procedures;Custom functions;SQL;LINQ;Visualization;JSON;REST API
Apache Kylin;No;No;No;No;Yes;Yes;;Superset, Zeppelin, Tableau, Qlik, Redash;Yes;Yes
Druid;No;No;No;No;Yes;Druid SQL;No;Superset, Pivot;Yes;Yes
Essbase;Yes;Yes;Yes;Yes;Yes;No;Yes;SmartView (Excel-AddIn), WebAnalysis, Financial Reports;dunno;dunno
IBM Cognos TM1;Yes;Yes;Yes;Yes;Yes;No;Yes;TM1 Web/TM1 Contributor, IBM Cognos Insight, IBM Performance Modeler, IBM Cognos Cafe for Excel, Cognos BI, TM1 Perspectives for Excel;Yes;Yes
icCube;Yes;Yes;Yes;[[R (programming language)|R]];Yes;In the reporting;Yes;icCube reporting and all [[XML_for_Analysis|XMLA]] compliant visualization tools like Excel, etc;Yes;Yes
Infor BI OLAP Server;Yes;Yes;Yes;OLAP Rules, Push Rules, Application Engine;Yes;Yes;No;Application Studio;dunno;dunno
Jedox OLAP Server;Yes;Yes;Yes;Cube Rules, SVS Triggers;Yes;No;Yes;Microsoft Excel, Qlik, Tableau, Jedox Web, Power BI;No;Yes
Kyligence;No;No;Yes;No;Yes;Yes;;IBM Cgonos, Business Objects, OBIEE, MicroStrategy, Microsoft Excel, Microsoft Power BI, Qlik, Superset,Tableau;Yes;Yes
Kyvos BI on Big Data;Yes;Yes;Yes;No;Yes;Yes;No;Kyvos Insights, Microsoft Excel, Qlik, Tableau, Power BI, MicroStrategy, IBM Cognos, Business Objects;??;Yes
Microsoft Analysis Services;Yes;Yes;Yes;[[.NET framework|.NET]];Yes;Yes;Yes;Microsoft Excel, SharePoint, Microsoft Power BI, and 70+ other visualization tools;dunno;dunno
MicroStrategy Intelligence Server;Yes;No;Yes;Yes;Yes;Yes;Yes;dunno;dunno;dunno
Mondrian OLAP server;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;dunno;dunno
Oracle Database OLAP Option;No;Yes;Yes;[[Java (programming language)|Java]], PL/SQL, [[OLAP DML]];Yes;Yes;No;dunno;dunno;dunno
SAP NetWeaver BW;Yes;Yes;Yes;No;Yes;No;Yes;dunno;dunno;dunno
SAS OLAP Server;Yes;Yes;Yes;No;No;No;Yes;Web Report Studio;dunno;dunno
