OLAP Server;Real Time;Write-back;Partitioning;Usage Based Optimizations;Load Balancing and Clustering
Apache Kylin;No;No;Yes;Yes;Yes
Druid;Yes;dunno;Yes;Yes;Yes
Essbase;Yes;Yes;Yes;Yes;Yes
IBM Cognos BI;Yes;No;Yes;Yes;dunno
IBM Cognos TM1;Yes;Yes;Yes;dunno;dunno
icCube;Yes;Yes;Yes;dunno;dunno
Infor BI OLAP Server;Yes;Yes;Yes;dunno;dunno
Jedox OLAP Server;Yes;Yes;Yes;dunno;dunno
Kyligence;No;No;Yes;Yes;Yes
Kyvos BI on Big Data;No;No;Yes;Yes;Yes
Microsoft Analysis Services;Yes;Yes;Yes;Yes;Yes
MicroStrategy Intelligence Server;dunno;Yes;Yes;dunno;dunno
Mondrian OLAP server;Yes;Planned;Yes;dunno;dunno
Oracle Database OLAP Option;dunno;Yes;Yes;No;dunno
SAP NetWeaver BW;?;Yes;Yes;dunno;dunno
SAS OLAP Server;?;Yes;Yes;dunno;dunno
