OLAP Server;# cubes;# measures;# dimensions;# dimensions in cube;# hierarchies in dimension;# levels in hierarchy;# dimension members
Apache Kylin;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted
Druid;Unrestrictedfn0;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted
Essbase;?;?;?;255;255;?;20,000,000 (ASO), 1,000,000 (BSO)
IBM Cognos TM1;Unrestrictedfn0;Unrestricted;Unrestrictedfn0;256;Unrestrictedfn0;Unrestricted;Unrestricted
icCube;2,147,483,647;2,147,483,647;2,147,483,647;2,147,483,647;2,147,483,647;2,147,483,647;2,147,483,647
Infor BI OLAP Server;?;10,000,000;?;30;?;?;10,000,000
Jedox OLAP Server;(32 bits); ;(32 bits);250; ; ; 
Kyligence;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted
Kyvos BI on Big Data;Unrestricted;Unrestricted;Unrestricted;Unrestricted;1;Unrestricted;Unrestricted
Microsoft Analysis Services;2,147,483,647;2,147,483,647;2,147,483,647;2,147,483,647 (max. number of dimensions in a database);2,147,483,647;2,147,483,647;2,147,483,647 (xOLAP)Unrestricted (In-memory)
MicroStrategy Intelligence Server;Unrestrictedfn0;Unrestrictedfn0;Unrestrictedfn0;?;Unrestrictedfn0;Unrestrictedfn0;Unrestrictedfn0
SAS OLAP Server;Unrestrictedfn0;1024;128;?;128;19;4,294,967,296
