OLAP Server;Authentication;Network encryption;On-the-Flyfn1;Data access;Data access;Data access
OLAP Server;Authentication;Network encryption;On-the-Flyfn1;Cell security;Dimension security;Visual totals
Apache Kylin;LDAP, SAML, Kerboros, Microsoft Active Directory;SSL;Yes;No;No;?
Druid;Druid Database authentication;[[Transport Layer Security|SSL]];Yes;No;Yes;No
Essbase;Essbase authentication, [[LDAP]] authentication, [[Microsoft Active Directory]];[[Transport Layer Security|SSL]];Yes;Yes;Yes;No
IBM Cognos TM1;Builtin, [[LDAP]], [[Microsoft Active Directory]], [[NTLM]], IBM Cognos BI authentication;[[Transport Layer Security|SSL]];Yes;Yes;Yes;Yes
icCube;HTTP Basic/Form Authentication, Windows SSO (NTLM,Kerberos);[[Transport Layer Security|SSL]];Yes;Yes;Yes;Yes
Infor BI OLAP Server;OLAP authentication, Infor Federation Services, [[LDAP]], [[Microsoft Active Directory]];Yes;Yes;Yes;Yes;dunno
Jedox OLAP Server;Jedox authentication, [[LDAP]], [[Microsoft Active Directory]];[[Transport Layer Security|SSL]];Yes;Yes;Yes;dunno
Kyligence;LDAP, SAML, Kerboros, Microsoft Active Directory, Built-in;SSL;;Yes;Yes;?
Kyvos BI on Big Data;Built-in, [[LDAP]], [[Microsoft Active Directory]], Windows SSO (NTLM, Kerberos);[[Transport Layer Security|SSL]];Yes;Yes;Yes;?
Microsoft Analysis Services;[[NTLM]], [[Kerberos (protocol)|Kerberos]];[[Transport Layer Security|SSL]] and [[SSPI]];Yes;Yes;Yes;Yes
MicroStrategy Intelligence Server;Host authentication, database authentication, [[LDAP]], <br />[[Microsoft Active Directory]], [[NTLM]], SiteMinder, Tivoli, SAP, [[Kerberos (protocol)|Kerberos]];[[Transport Layer Security|SSL]], AES;?;Yes;Yes;Yes
Oracle Database OLAP Option;Oracle Database authentication;[[Transport Layer Security|SSL]];?;Yes;Yes;No
SAS OLAP Server;Host authentication,SAS token authentication, [[LDAP]], [[Microsoft Active Directory]];Yes;?;Yes;Yes;Yes
