Name;Windows;MacOSX;Linux;BSD;Android;Prices;License;Latest stable release;Notes
Beyond TV;Yes;No;No;No;No;terminated(See notes);proprietary;4.9.3 Build 6535(mdy)(final version);Not compatible with DVB tuners.While Snapstream is providing minor fixes for Beyond TV, they are no longer actively updating and developing the software as they are focusing on commercial applications. Despite the lack of a new version, their fanbase (in the forums) remains active and the program is still available.See also: List of digital television deployments by country
DVB Dream;Yes;No;No;No;No;$49;proprietary;2.8.1(mdy);Focused on DVB and live TV
DVBViewer;Yes;No;No;No;No;€20;proprietary;5.6.1(mdy); 
Emby (formerly Media Browser);Yes;Yes;Yes;Yes;Yes(Client Only);Mixedemby-pricing;GPL & Proprietaryemby-pricing;3.0.8100(mdy);Compatible with SiliconDust HD Homerun Tuners.
EyeTV;No;Yes;No;No;No;[[Bundled software|Bundled]];proprietary;3.6.1;Bundled for no extra charge with all Elgato USB tuners, but also sold separately for use with other tuners.
Hauppauge WinTV;Yes;No;No;No;No;[[Bundled software|Bundled]];proprietary;WinTV8, CD4.1(current Mar 16);Bundled for no extra charge, only works with Hauppauge TV cards and peripherals.
InterVideo WinDVR;Yes;No;No;No;No;Discontinued;proprietary;(final version);Discontinued. Used to be bundled for no extra charge with various TV tuner devices.
JRiver Media Center;Yes;Yes;Yes;No;Yes;$49.98 (one license covers all owned HTPCs;proprietary;2015-10-21(October 2015);DirectShow video player, madVR, LAV filters, HD audio, images, 10 foot GUI, Remote control, DLNA, Android/iPhone interface, automatic meta-data lookup for Audio, TV and Movies, fully customizable database
Kodi (formerly XBMC);Yes;Yes;Yes;Yes;Yes;[[Free and open-source software]];[[GNU General Public License|GPL]];17.0 ""Krypton""(mdy);Cross-platform free and open-source software media center application, able to watch live or recorded TV, music, photos and has one of the most expansive collection of plugins/addons, enabling the system to do anything from browsing the web or downloading movies, to dimming the lights in the sitting room.
MediaPhoenix/ShowShifter;Yes;No;No;No;No;MediaPhoenix – Unreleased<br>ShowShifter – Discontinued (was £30);proprietary;3.1(final version);Supports some older TechnoTrend/Hauppauge boxes which are not BDA compliant, such as the Dec 2000-t/3000-s and first generation Nova-t USB boxes, which are unsupported by other PVR software.
MediaPortal;Yes;No;No;No;No;[[Free and open-source software]];[[GNU General Public License|GPL]];MP1 1.15.0(2016-06-28)MP2 Spring '16(2016-04-06);built on the .NET 2.0 Framework
MythTV;yes2Limitedmyth-win;Yes;Yes;Yes;No;[[Free and open-source software]];[[GNU General Public License|GPL]];0.29(mdy);Free Open Source software digital video recorder (DVR) project distributed under the terms of the GNU GPL. It has been under heavy development since 2002, and now contains most features one would expect from a good DVR.
NextPVR;yes;no;no;No;No;[[Freeware]];Proprietary;4.0.4(mdy);
SageTV;Yessage-win;Yes;Yes;No;Yes(Client Only);[[Free and open-source software]]"
<small>formerly sold for $79.95 server and $29.95 per client.</small>;[[GNU General Public License|GPL]](Formerly Proprietary);7.1(final retail version)9.0(free version);Java based. SageTV was purchased by Google on mdy and its online store was shut.  On 10 August 2015, it was announced by Narflex that SageTV officially became Open Source.
Tvtime;No;No;Yes;No;No;[[Free and open-source software]];[[GNU General Public License|GPL]];1.0.2(mdy);High quality television application for use with video capture cards on Linux systems. tvtime processes the input from a capture card and displays it on a computer monitor or projector
Video Disk Recorder (VDR);no;no;yes;yes;No;[[Free and open-source software]];[[GNU General Public License|GPL]];2.2.0(mdy);TV Done Right, VDR can use one to eight video cards and support DVB-S, DVB-C and DVB-T. Record and read any DVB flux with a lot of plugins.
Windows Media Center;Yes;No;No;No;No;<small>"
* US $69.99: Pro Pack for Windows 8 and 8.1"
* US $9.99: Media Center Pack add-on for Windows 8 Pro and 8.1 Pro"
</small>;proprietary;6.3.9600.16384(2013) (final version);Included with Windows XP Media Center Edition, Windows Vista Home Premium and Ultimate editions and Windows 7 Home Premium, Professional, and Ultimate editions. Was available for Windows 8 Pro and Windows 8.1 Pro as part of the Media Center Pack add-on, until it was discontinued on October 30, 2015. Available for Windows 8, Windows 8.1 and Windows 10 unofficially through a windows command script installer. Not available for Windows RT.
VBox Home TV Gateway VBox@TV;Yes;yesvbox;yes;No;No;[[Bundled software|Bundled]];proprietary;2.46(mdy);Bundled for no extra charge with VBox Home TV Gateway - Network TV Tuner, Manage and schedule recordings from any web browser, local or over the internet
;;;;;;;;;
