DVR;MPEG-1;MPEG-2;MPEG-4 ASP (MPEG-4 Part 2), i.e. DivX, XviD;H.264/MPEG-4 AVC (MPEG-4 Part 10);HEVC (H.265);VP8;VP9;WMV;AVI;ASF;QuickTime;MP4;RealVideo;MKV
Beyond TV;Yes;Yes;Yes;Yes;unk;unk;unk;Yes;Yes;unk;No;No;No;unk
EyeTV;yes;yes;unk;yes;unk;unk;unk;unk;unk;unk;yes;unk;unk;unk
WinTV;unk;Yes;Yes;Yes;unk;unk;unk;unk;Yes;unk;unk;Yes;unk;unk
GB-PVR;unk;Yes;Yes;Yes;unk;unk;unk;unk;Yes;unk;unk;Yes;unk;unk
Kodi (formerly XBMC);Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
MediaPortal;Yes;Yes;Yes;Yes;unk;unk;unk;Yes;Yes;Yes;No;Yes;No;Yes
MediaPhoenix/ShowShifter;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk
MythTV;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
SageTV;Yes;Yes;Yes;Yes;unk;unk;unk;Yes;Yes;Yes;Yes;Yes;unk;Yes
Arcsoft TotalMedia Theatre;Yes;Yes;Yes;Yes;unk;no;unk;Yes;Yes;Yes;Yes;Yes;Yes;unk
Windows Media Center;Yes;Yes;Yes;Yes;unk;unk;unk;Yes;Yes;Yes;Yes;Yes;No;unk
VBox@TV;yes;yes;Yes;yes;unk;unk;unk;unk;Yes;unk;unk;unk;unk;unk
;;;;;;;;;;;;;;
