DVR;Tuner Sharing;Hard Disk Pooling;Shared Media Database;Home Automation;Media Extenders;Placeshifting/Spaceshifting;Two-way Remote Control;Second Screen
Beyond TV;Yes;Yes;No;No;Yes;Yes;No;unk
EyeTV;unk;unk;Yes;unk;unk;Yes;unk;unk
GB-PVR;Yes;unk;unk;unk;unk;unk;unk;unk
Kodi (formerly XBMC);Yes;Yes;Yes;Yes4;Yes;unk;Yes3;unk
MediaPortal;Yes;Yes;Yes;Yes;Yes;Yes;Yes4;unk
MediaPhoenix/ShowShifter;unk;unk;unk;unk;unk;unk;unk;unk
MythTV;Yes;Yes;Yes;Yes3;Yes;Yes;Yes;unk
SageTV;Yes;Yes;unk;unk;Yes;Yes;unk;unk
Arcsoft TotalMedia Theatre;Yes;Yes;Yes;No;Yes;Yes;No;unk
Windows Media Center;Yes6;Yes7;Yes;Yes2;Yes;Yes5;Yes2;unk
VBox@TV;Yes;unk;Yes;unk;unk;Yes;Yes;unk
;;;;;;;;
