Name;macOS;Windows;Cygwin;BSD;Linux;Solaris;Java;OpenVMS;z/OS;AIX;HP-UX;iOS;Android;Maemo;Windows Phone
AbsoluteTelnet;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;dunno
Bitvise;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no
Cisco CLI Analyzer;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no
ConnectBot;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no
CRAX Commander;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no
Dropbear;yes;no;yes;yes;yes;yes;?;?;?;yes;yes;no;yes;yes;dunno
eSSH Client;yes;yes;?;yes;yes;yes;?;?;?;no;no;no;no;no;dunno
GSW ConnectBot;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no
lsh;yes;no;no;partialfreebsdonly;yes;yes;?;?;?;no;no;no;no;no;dunno
OpenSSH;included;optionalwin32openssh;included;included;includedopensshlinux;yes;?;yes;yes;yes;yes;yesiosjailbreak;yes;yes;dunno
PACManager;no;no;no;partial;yes;no;no;no;no;no;no;no;no;no;no
PuTTY;partial;yes;?;yes;yes;yes;no;?;?;no;no;no;no;no;beta
SecureCRT;yes;yes;no;no;yes;no;no;no;no;no;no;yes;no;no;dunno
SmartFTP;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;dunno
SSH Tectia Client/ConnectSecure;no;yes;no;no;yes;yes;yessft_api;no;yes;yes;yes;no;no;no;dunno
Tera Term;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;dunno
TN3270 Plus;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;dunno
TtyEmulator;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;dunno
WinSCP;no;yes;no;no;no;no;no;no;no;no;no;yesiosjailbreak;no;no;dunno
Xshell;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no
ZOC;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;dunno
Name;OS X;Windows;Cygwin;BSD;Linux;Solaris;Java;OpenVMS;z/OS;AIX;HP-UX;iOS;Android;Maemo;Windows Phone
