 Name; Keyboard mapping; Session tabs; ZMODEM transfers; Find text in buffer; Mouse input supportmouse_input; Unicode support; URL hyperlinking; Public key authentication; Smart card support; Hardware encryption; FIPS 140-2 validation; Scripting; Shared Database; Auto-reconnect
AbsoluteTelnet;full;yes;yes;yes;yes;yes;yes;yes;yes;dunno;yes;yes;dunno;dunno
OpenSSH;dunno;no;no;dunno;yesopenssh_mouse_input;yes;not nativeopenssh_url_highlight;yes;yesopenssh_smartcard;yes;partialopenssh_fips;No;No;dunno
PACManager;no;yes;no;yes;yes;yes;yes;yes;no;no;no;yes;dunno;dunno
PuTTY;no;noputtyTabs;no;no;yes;yes;noputtyHyperlink;yes;noputtySmartcard;noputtyAES;no;no;no;no
SecureCRT;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;no;dunno
SmartFTP;partial;yes;no;yes;yes;yes;yes;yes;yes;[[AES-NI]];yes;no;dunno;dunno
Tera Term;yes;yes;yes;no;yes;yes;yes;yes;no;no;no;no;no;dunno
TN3270 Plus;yes;yes;no;no;no;no;yes;yes;no;no;no;yes;dunno;dunno
TtyEmulator;no;no;no;yes;yes;no;yes;yes;no;no;no;yes;dunno;dunno
Xshell;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;no;yes;no;dunno
ZOC;full;yes;yes;Alt+F;yes;UTF-8;yes;yes;pkcs#11;no;no;yes;dunno;dunno
