Implementation;brainpoolP256r1(26);brainpoolP384r1(27);brainpoolP512r1(28);X25519;Curve448Ed448-Goldilocks;M221Curve2213;E222;Curve1174;E382;M383;Curve383187;Curve41417Curve3617;M511Curve511187;E521
BearSSL;no;no;no;yes;no;no;no;no;no;no;no;no;no;no
Botan;yes;yes;yes;yes;no;no;no;no;no;no;no;no;no;no
BoringSSL;no;no;no;yes;no;no;no;no;no;no;no;no;no;no
CryptoComply;yes;yes;yes;yes;no;no;no;no;no;no;no;no;no;no
GnuTLS;no;no;no;yes;no;no;no;no;no;no;no;no;no;no
JSSE;no;no;no;no;no;no;no;no;no;no;no;no;no;no
LibreSSL;yes;yes;yes;yes;no;no;no;no;no;no;no;no;no;no
MatrixSSL;yes;yes;yes;TLS 1.3 only;no;no;no;no;no;no;no;no;no;no
mbed TLS;yes;yes;yes;Primitive only;Primitive only;no;no;no;no;no;no;no;no;no
NSS;no;no;no;yes;no;no;no;no;no;no;no;no;no;no
OpenSSL;yes;yes;yes;yes;yes;no;no;no;no;no;no;no;no;no
RomSTL;no;no;no;no;no;no;no;no;no;no;no;no;no;no
RSA BSAFE;no;no;no;no;no;no;no;no;no;no;no;no;no;no
rustls;no;no;no;yes;no;no;no;no;no;no;no;no;no;no
SChannel Vista/2008, 7/2008R2, 8/2012, 8.1/2012R2, 10;no;no;no;no;no;no;no;no;no;no;no;no;no;no
 ;no;no;no;no;no;no;no;no;no;no;no;no;no;no
wolfSSL;yes;yes;yes;yes;no;no;no;no;no;no;no;no;no;no
Erlang/OTP SSL application;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;no
Implementation;brainpoolP256r1(26);brainpoolP384r1(27);brainpoolP512r1(28);Curve25519;Curve448Ed448-Goldilocks;M221Curve2213;E222;Curve1174;E382;M383;Curve383187;Curve41417Curve3617;M511Curve511187;E521
