Implementation|FIPS 140-1, FIPS 140-2|FIPS 140-1, FIPS 140-2|Common Criteria|Embedded FIPS Solution
Implementation|Level 1|Level 2January 2015|Common Criteria|Embedded FIPS Solution
BearSSL||||
Botan||||
Bouncy Castle|BC-FJA 1.0.0 (#2768)<br /> BC-FJA 1.0.1 (#3152)|||
CryptoComply|CryptoComply for Mobile (#1938)<br /> CryptoComply for Server (#2038)<br /> CryptoComply for Java 2.2 (#2483)<br /> CryptoComply for Java 3.0 (#2804)|||
cryptlib||||
GnuTLS|Red Hat Enterprise Linux GnuTLS Cryptographic Module (#2780)|||
JSSE||||
LibreSSL|no support|||
MatrixSSL|SafeZone FIPS Cryptographic Module: 1.1 (#2389)|||
mbed TLS||||
NSS|Network Security Services: 3.2.2 (#247)<br/>Network Security Services Cryptographic Module: 3.11.4 (#815), 3.12.4 (#1278), 3.12.9.1 (#1837)|)||
OpenSSL|OpenSSL FIPS Object Module: 1.0 (#624), 1.1.1 (#733), 1.1.2 (#918), 1.2, 1.2.1, 1.2.2, 1.2.3 or 1.2.4 (#1051)<br/>2.0, 2.0.1, 2.0.2, 2.0.3, 2.0.4, 2.0.5, 2.0.6, 2.0.7 or 2.0.8 (#1747)| ||
RomStl|Allegro Cryptographic Engine 6.20 (#2966))|||yes
RSA BSAFE Micro-Edition Suite|Crypto-C ME 3.0.0.1 (#1092)<br/>Crypto-C ME 4.0.1 / 4.0.2.5 (#2047, #2056, #2097, #2217)<br/>Crypto-C ME 4.1 / 4.1.0.1 / 4.1.2 / 4.1.3.2 (#2294, #2300)|||yes
RSA BSAFE SSL-J|Crypto-J 6.0 (#1785, #1786)<br/>Crypto-J 6.1 / 6.1.1.0.1 (#2057, #2058)<br/>Crypto-J 6.2 / 6.2.1.1 (#2468, #2469)<br/>Crypto-J 6.2.4 (#3172, #3184)|||yes
rustls||||
SChannel|Cryptographic modules in Windows NT 4.0, 95, 95, 2000, XP, Server 2003, CE 5, CE 6, Mobile 6.x, Vista, Server 2008, 7, Server 2008 R2, 8, Server 2012, RT, Surface, Phone 8<br/>See details on [https://technet.microsoft.com/en-us/library/security/cc750357.aspx#_Microsoft_FIPS_140 Microsoft FIPS 140 Validated Cryptographic Modules]| ||
 |Apple FIPS Cryptographic Module: 1.0 (OS X 10.6, #1514), 1.1 (OS X 10.7, #1701)<br/>Apple OS X CoreCrypto Module; CoreCrypto Kernel Module: 3.0 (OS X 10.8, #1964, #1956), 4.0 (OS X 10.9, #2015, #2016)<br/>Apple iOS CoreCrypto Module; CoreCrypto Kernel Module: 3.0 (iOS 6, #1963, #1944), 4.0 (iOS 7 , #2020, #2021)| ||
wolfSSL|wolfCrypt FIPS Module: 3.6.0 (#2425)<br/>See details on [http://csrc.nist.gov/groups/STM/cmvp/documents/140-1/1401val2015.htm#2425 NIST certificate] for validated Operating Environments|||yes
Implementation|Level 1|Level 2|Common Criteria|Embedded FIPS Solution
Implementation|FIPS 140-1, FIPS 140-2|FIPS 140-1, FIPS 140-2|Common Criteria|Embedded FIPS Solution
