Implementation;SRP;SRP-DSS;SRP-RSA;PSK-RSA;PSK;DHE-PSK (forward secrecy);ECDHE-PSK (forward secrecy);KRB5;DH-ANON (insecure);ECDH-ANON (insecure)
BearSSL;no;no;no;no;no;no;no;no;No;No
Botan;yes;yes;yes;no;yes;yes;yes;no;Disabled by default;Disabled by default
CryptoComply;yes;yes;yes;yes;yes;yes;yes;yes;Disabled by default;Disabled by default
cryptlib;no;no;no;no;yes;yes;no;unknown;No;No
GnuTLS;yes;yes;yes;yes;yes;yes;yes;no;Disabled by default;Disabled by default
JSSE;no;no;no;no;no;no;no;unknown;Disabled by default in Java 8;Disabled by default in Java 8
LibreSSL;no;no;no;no;no;no;no;no;Yes;Yes
MatrixSSL;no;no;no;yes;yes;yes;no;no;Disabled by default;No
mbed TLS;no;no;no;yes;yes;yes;yes;no;No;No
NSS;no;no;no;no;no;no;no;no;Client side only, disabled by default;Disabled by default
OpenSSL;yes;yes;yes;yes;yes;yes;yes;Yes;Disabled by default;Disabled by default
RomStl;no;no;no;yes;yes;yes;no;no;no;no
RSA BSAFE Micro Edition Suite;no;no;no;no;no;no;no;no;Disabled by default;Disabled by default
RSA BSAFE SSL-J;no;no;no;no;yes;no;no;no;Disabled by default;Disabled by default
rustls;no;no;no;no;no;no;no;no;No;No
SChannel;no;no;no;no;no;no;no;yes;No;No
 ;no;no;no;no;no;no;no;unknown;Yes;Yes
wolfSSL;no;no;no;no;yes;no;yes;no;No;No
Erlang/OTP SSL application;Disabled by default;Disabled by default;Disabled by default;Disabled by default;Disabled by default;Disabled by default;No;No;Disabled by default;Disabled by default
Implementation;SRP;SRP-DSS;SRP-RSA;PSK-RSA;PSK;DHE-PSK (forward secrecy);ECDHE-PSK (forward secrecy);KRB5;DH-ANON (insecure);ECDH-ANON (insecure)
