Features; Prius ; Prius ; Prius ; Prius ; Camry ; Highlander ; Highlander 
Release date;December 1997 (Japan)2000 (worldwide);August 2003;May 2009 (Japan)June 2009 (US);December 2015;May 2006;July 2005;September 2007
US model year;2001–2003;2004–2009;2010–2015;2016–;2007–;2005–2007;2008–
Base price;19,995;22,000;22,000;24,685;26,480;33,000;34,700
EPA-estimated city fuel economy;on;on;on;on;on;on (2WD)on (4WD-i);on
EPA-estimated highway fuel economy;on;on;on;on;on;on (2WD)on (4WD-i);on
EPA-estimated drivers fuel economy;on;on;on;on;on;;on
Engine;1.5L 1NZ-FXE I4 Atkinson cycle;1.5L 1NZ-FXE I4 Atkinson cycle;1.8L 2ZR-FXE I4 Atkinson cycle;1.8L 2ZR-FXE I4 Redesigned  Atkinson cycle;2.4L 2AZ-FXE I4 Atkinson cycle;3.3L 3MZ-FE V6;3.3L 3MZ-FE V6
0–60mph (97km/h) acceleration;12.6s;10.8s;10.0s;9.6s(Zero to 60 Times);7.3s(T, 5/06);6.6 s (Motor Trend);n/a
Engine output;70hp (52kW) / 82lb·ft (110 Nm);76hp (57kW) / 85lb·ft (115 Nm);98hp (73kW) / 105lb·ft (142 Nm);95hp (71kW) / 105lb·ft (142 Nm);147hp (108kW) / 138lb·ft (187 Nm);;156kW (208hp)
Electric motor output;44hp (33kW) / 258lb·ft (350 Nm);67hp (50kW) / 295lb·ft (400 Nm);80hp / 295 lb·ft (400 Nm);71hp (53kW) / 120lb·ft (163 Nm);45hp;;
Net power;60kW (80hp);80kW (107hp);110kW (134hp);90kW (121hp);140kW (187hp);;201kW (270hp)
Traction battery power;on;on;on;on;on;on;on
Requires premium fuel (91 octane (R+M)/2 );No;No;No;No;No;No (however, premium recommended);No
EPA/CARB emission certification;;Tier II Bin 3/AT-PZEV;Tier II Bin 3/SULEV;Tier II Bin 3/SULEV with AT-PZEV;Tier II Bin 3/AT-PZEV;Tier II Bin 3/AT-PZEV;Tier II Bin 3/SULEV
Smog forming emissions compared to average new vehicle;75% less;80% less;80% less;80% less;80% less;80% less;80% less
Maximum seating;5;5;5;5;5;7;7
