Presidential candidate;Party;Running mate;Campaign site
Gene Amondson;Prohibition;Leroy Pletten; 
Chuck Baldwin  (campaign);Constitution;Darrell Castle; 
Bob Barr (campaign);Libertarian;Wayne Allyn Root; 
Róger Calero;Socialist Workers;Alyson Kennedy;
Charles Jay;Boston Tea;Thomas L. Knapp; 
Alan Keyes (campaign);America's Independent Party;Brian Rohrbough; 
Gloria La Riva;Liberation;Eugene Puryear; 
John McCain (campaign);Republican;Sarah Palin; 
Frank McEnulty;New American Independent;David Mangan;
Cynthia McKinney (campaign);Green;Rosa Clemente; 
Brian Moore;Socialist, Liberty Union;Stewart Alexander; 
Ralph Nader (campaign);Independent, Peace and Freedom;Matt Gonzalez; 
Barack Obama  (campaign);Democratic;Joe Biden; 
Ron Paul (campaign);Louisiana Taxpayers Party  Constitution Party of Montana;Barry Goldwater, Jr.  Michael Peroutka; 
Thomas Stevens;Objectivist;;
Ted Weill;Reform;Frank McEnulty;
