Client name;Development status;Open source client;End-to-end authentication;Encryption protocols;Encryption protocols;Encryption protocols;Encryption protocols;Forward secrecy;Multiple encryption;Encrypted group calling;Proxy, Tor
Client name;Development status;Open source client;End-to-end authentication;ZRTP;ECDH;DTLS;SRTP;Forward secrecy;Multiple encryption;Encrypted group calling;Proxy, Tor
FaceTime;Active;no;no;dunno;dunno;dunno;dunno;yes;dunno;no;no
Google Duo;Active;no;no;dunno;dunno;dunno;dunno;dunno;dunno;no;no
Jitsi;Active;yes;yes;yes;no;yes;yes;yes;yes;yes;dunno
Line;Active;no;dunno;dunno;dunno;dunno;dunno;dunno;dunno;no;no
Linphone;Active;yes;yes;yes;dunno;yes;yes;yes;yes;dunno;no
PGPfone;Abandonware;Viewable source;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
Signal;Active;yes;yes;no;yes;no;yes;yes;yes;no;depends
Silent Phone;Active;Viewable source;yes;yes;dunno;dunno;yes;yes;yes;yes;no
Telegram;Active;yes;yes;no;no;no;no;yes;dunno;no;no
Threema;Active;Partially;yes;no;yes;yes;yes;Partially;yes;no;no
Viber;Active;no;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;no
WhatsApp;Active;Partially;yes;no;yes;no;yes;yes;yes;no;no
Wire;Active;yes;yes;no;dunno;yes;yes;dunno;yes;yes;no
Zfone;Abandonware;Viewable source;yes;yes;optional;dunno;yes;yes;yes;dunno;dunno
