XEP;Description;Status;ejabberd;iChat Server;jabberd14;jabberd2;Metronome;Isode M-Link;MongooseIM;Openfire;Prosody;Tigase
 ;Data forms;Final;Yes;unk;unk;No;Yes;Yes;Yes;Yes;Yes;Yes
 ;Jabber RPC;Final;Yes;unk;unk;No;unk;No;No;unk;Yes;unk
 ;Last Activity;Final;Yes;unk;Yes;Yes;Yes;Yes;Yes;Yes;Yes;unk
 ;Flexible offline message retrieval;Draft;No;unk;Yes;No;No;No;No;Yes;No;unk
 ;Privacy Lists;Deprecated;Yes;unk;Yes;Yes;Yes;No;Yes;unk;Yes;Yes
 ;Invisible Presence;Rejected;Yes;unk;Yes;No;No;No;Yes;unk;unk;unk
 ;Feature negotiation;Deprecated;Yes;unk;unk;No;unk;No;No;No;Yes;unk
 ;Message Events;Obsolete;Yes;unk;Yes;Yes;unk;No;Yes;unk;Yes;unk
 ;Message Expiration;Obsolete;Yes;unk;Yes;Yes;unk;No;Yes;unk;unk;unk
 ;HTTP Polling;Obsolete;Yes;unk;unk;No;No;No;No;unk;No;unk
 ;Service Discovery;Final;Yes;unk;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
 ;Extended Stanza Addressing;Draft;Yes;unk;unk;No;No;No;No;Yes;Partial<br/>Contrib.;unk
 ;Statistics Gathering (deferred);Deferred;Yes;unk;unk;No;No;No;No;unk;unk;Yes
 ;Multi User Chat;Draft;Yes;unk;Contrib.;No;Yes;Yes;Yes;Yes;Yes;Yes
 ;In-Band Bytestreams;Final;Yes;unk;unk;No;unk;No;Yes;Yes;Yes;unk
 ;Private XML Storage;Historical Use;Yes;unk;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
 ;Ad-Hoc Commands;Draft;Yes;unk;unk;No;Yes;Yes;Yes;Yes;Yes;Yes
 ;vcard-temp;Historical Use;Yes;unk;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
XEP;Description;Status;ejabberd;iChat Server;jabberd14;jabberd2;Metronome;Isode M-Link;MongooseIM;Openfire;Prosody;Tigase
 ;Jabber Search;Historical Use;Yes;unk;unk;No;Yes;Yes;Yes;Yes;No;unk
 ;Result set management;Draft;Yes;unk;unk;No;Partial;No;Yes;Yes;No;unk
 ;Publish-Subscribe;Draft;Yes;unk;Contrib.;No;Yes;Yes;Yes;Yes;Yes;Yes
 ;SOCKS5 Bytestreams;Draft;Yes;unk;Contrib.;No;Yes;No;No;Yes;Yes;Yes
 ;Out of Band Data;Draft;Yes;unk;unk;No;unk;No;Yes;unk;Yes;unk
 ;Field Standardization for Data Forms;Approved;Yes;unk;unk;No;unk;Yes;Yes;unk;Yes;unk
 ;Verifying HTTP Requests via XMPP;Draft;No;unk;unk;No;No;No;No;unk;No;unk
 ;Basic IM Protocol Suite;Obsolete;unk;unk;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
 ;In-Band Registration;Final;Yes;unk;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
 ;Non-SASL Authentication;Obsolete;Yes;unk;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes
 ;Advanced Message Processing;Draft;Contrib.;Contrib.;unk;yes;No;No;Yes, partial;unk;No;Yes
 ;User Location;Draft;unk;unk;unk;no;Yes;No;Yes;unk;Yes;unk
