Archive format;Built-in compression;Self-extracting;Directory Structure;POSIX attributes;ACL;Alternate data streams
cpio;no1;no;yes;yes;no;dunno
tar;no1;no;yes;yes;some;(in Solaris implementation)
dar;yes3;no;yes;yes;yes;yes
ar;no;no;no;yes;no;dunno
pax;no;no;yes;yes;yes;dunno
dump;no1;no;yes;yes;yes;dunno
shar;no;yes;yes;yes;no;dunno
makeself;yes;yes;yes;yes;yes;dunno
zip;yes;yes2;yes;no;dunno;dunno
rar;yes;yes2;yes;no;dunno;yes
ace;yes;dunno;yes;no;dunno;dunno
arj;yes;yes2;yes;no;no;dunno
zoo;yes;dunno;yes;no;dunno;dunno
ISO 9660 (CD-ROM);no1;no;yes;(with [[Rock Ridge]] extension);no;dunno
cab;yes;yes2;dunno;no;dunno;dunno
rpm;yes;no;yes;yes;dunno;dunno
deb;yes;no;yes;yes;dunno;dunno
7z;yes;yes;yes;yes;dunno;dunno
Archive format;Built-in compression;Self-extracting;Directory Structure;POSIX attributes;ACL;Alternate data streams
