 Assembler; Operating system; FLOSS; License; Development active
A86/A386;Windows, DOS;no;proprietary;No
ACK;Linux, MINIX, Unix-like;yes;[[BSD licenses|BSD]] since 2003;1985-? ACK
IBM ALP;OS/2;no;proprietary;No
AT&T;Unix System V;no;proprietary;1985-?ATT
Digital Research ASM86;CP/M-86, DOS, Intel's ISIS and iRMX;no;proprietary;1978-1992
FASM;Windows, DOS, Linux, Unix-like;yes;[[BSD licenses|BSD]] with added [[Copyleft]];yes
GAS;Unix-like, Windows, DOS, OS/2;yes;GPL-lic;Since 1987
HLA;Windows, Linux, FreeBSD, macOS;yes;[[Public domain]];yes
Open Watcom Assembler (HJWASM a.k.a. UASM, JWASM, WASM);Windows, DOS, Linux, FreeBSD, OS/2;approved by OSI, but not by FSF;[[Sybase Open Watcom Public License|Sybase Open Watcom Public]];yes
MASM;Windows, DOS, OS/2;no;Microsoft [[Software license agreement|EULA]];Since 1981MASM
NASM;Windows, Linux, macOS, DOS, OS/2;yes;[[BSD licenses|BSD]];yes
Tim Paterson's ASM;86-DOS, DOS DEBUG;no;proprietary;[http://www.patersontech.com/dos/manuals.aspx 1979-1983]
TASM;Windows, DOS;no;proprietary;?TASM1TASM2
TCCASM;Unix-like, Windows;yes;[[GNU Lesser General Public License|LGPL]];yes
vasm;various;yes;free;yes
Xenix;Xenix 2.3 and 3.0 (before 1985);no;proprietary;1982-1984
Yasm;Windows, DOS, Linux, Unix-like;yes;[[BSD licenses|BSD]];yes
