Shell;Usual environment;Usually invoked;Introduced;Platform-independent;Default login shell in;Default script shell in;License;Source code availability;User interface;Mouse support;Unicode support;ISO 8601 support;Console redirection;Stream redirection;Configurability;Startup/shutdown scripts;Batch scripts;Logging;available as statically linked, independent single file executable
Thompson shell;UNIX;sh;1971;N/A;UNIX;UNIX;N/A;yes;Text-based CLI;no;no;N/A;yes;N/A;N/A;N/A;N/A;N/A;N/A
Bourne shell 1977 version;7th Ed. UNIX;sh;1977;Yes;7th Ed. UNIX;7th Ed. UNIX,;Proprietary;yes;Text-based CLI;no;no;N/A;yes;Yes (arbitrary <tt>[[file descriptor|fd]]s</tt>);Yes (via variables and options);Yes (<tt>.profile</tt>);Yes (Unix feature);no;yes
Bourne shell current version;Various UNIX;sh;1977;Yes;SunOS-5.x, FreeBSD (non-root user);SunOS-5.x;[[Common Development and Distribution License|CDDL]];yes;Text-based CLI;no;yesApril 2015;N/A;yes;Yes (arbitrary <tt>[[file descriptor|fd]]s</tt>);Yes (via variables and options);Yes (<tt>.profile</tt>);Yes (Unix feature);yes;yes
POSIX shell;POSIX;sh;1992;N/A;N/A;POSIX;N/A;N/A;Text-based CLI;no;Yes, if used by configured locale;N/A;yes;Yes (arbitrary <tt>fds</tt>);Yes (via variables and options);Unspecified (.profile given as an example);Yes (Unix feature);yes;N/A
bash (v4);POSIX;bash, sh;1989;yes;GNU, Linux (default for root), Mac OS X 10.3+;GNU, Linux, Haiku, Mac OS X;[[GPL]];yes;Text-based CLI;no;yesMay 2015;Yes (<tt>printf</tt> builtin);yes;Yes (arbitrary <tt>fds</tt>);Yes (via variables and options);Yes (<tt>/etc/profile</tt>, <tt>.bash_profile</tt>, <tt>.bash_login</tt>, <tt>.profile</tt>, <tt>.bashrc</tt>);Yes (Unix feature);yes;yes
csh;POSIX;csh;1978;yes;SunOS;dunno;[[BSD licenses|BSD]];yes;Text-based CLI;no;no;dunno;yes;Yes (<tt>stdin</tt>, <tt>stdout</tt>, <tt>stdout+stderr</tt>);Yes (via variables and options);Yes (<tt>~/.cshrc</tt>, <tt>~/.login</tt>, <tt>~/.logout</tt>);Yes (Unix feature);yes;yes
tcsh;POSIX;tcsh, csh;1983;yes;FreeBSD (default for root), formerly Mac OS X;dunno;[[BSD licenses|BSD]];yes;Text-based CLI;no;yes;dunno;yes;Yes (<tt>stdin</tt>, <tt>stdout</tt>, <tt>stdout+stderr</tt>);Yes (via variables and options);Yes (<tt>/etc/csh.cshrc</tt>, <tt>/etc/csh.login</tt>, <tt>~/.tcshrc</tt>, <tt>~/.cshrc</tt>, <tt>~/.history</tt>, <tt>~/.login</tt>, <tt>~/.cshdirs</tt>);Yes (Unix feature);yes;yes
Hamilton C shell;Win32, OS/2;csh;1988;yes (OS/2 version no longer maintained);optional;optional;proprietary;no;Text-based CLI;no;no;Yes (-t timestamp operator);yes;Yes (<tt>stdin</tt>, <tt>stdout</tt>, <tt>stdout+stderr</tt>);Yes (via variables and options);Yes (via login.csh, startup.csh and logout.csh);Yes (command line option);yes;yes
Scsh;POSIX;scsh;1994;yes;dunno;dunno;[[BSD licenses|BSD]]-style;yes;dunno;dunno;dunno;dunno;dunno;yes;dunno;dunno;dunno;dunno;yes
ksh (ksh93t+);POSIX;ksh;1983;yes;AIX, HP-UX;OpenSolaris;[[Common Public License]];yes;Text-based CLI;no;yes;);yes;Yes (arbitrary <tt>fds</tt>);Yes (via variables and options);Yes (system and user's <tt>profile</tt> and <tt>kshrc</tt>);Yes (Unix feature);yes;yes
pdksh;POSIX;ksh, sh;1989?;yes;OpenBSD;OpenBSD;[[Public Domain]];yes;Text-based CLI;no;no;N/A;yes;Yes (arbitrary <tt>fds</tt>);Yes (via variables and options);Yes (<tt>/etc/profile</tt>, <tt>.profile</tt>);Yes (Unix feature);yes;yes
zsh;POSIX;zsh;1990;yes;Deepin, Gobolinux, Grml;Grml;[[MIT license|MIT]]-style;yes;Text-based CLI;via additional code;yes;);yes;Yes (arbitrary <tt>fds</tt>);Yes (via variables, options, functions, styles, etc.);Yes (system and user's <tt>zshenv</tt>, <tt>zprofile</tt>, <tt>zshrc</tt>, <tt>zlogin</tt>, <tt>zlogout</tt>);Yes (Unix feature);yes;yes
