Shell|Pipes|Command substitution|Process substitution|Subshells|TCP/UDP connections as streams|Keystroke stacking
Bourne shell|bytes concurrent|yes|no|yes|no|N/A
POSIX shell|bytes concurrent|yes|no|yes|no|N/A
bash (v4.0)|bytes concurrent|yes|Yes (if system supports <tt>/dev/fd/''<n>''</tt> or named pipes)|yes|Yes (client only)|N/A
csh|bytes concurrent|yes|no|yes|no|N/A
tcsh|bytes concurrent|yes|no|yes|no|N/A
Hamilton C shell|bytes concurrent|yes|no|yes|no|?
Scsh|text|?|?|?|yes|N/A
ksh (ksh93t+)|bytes (may contain serialized objects if <tt>print -C</tt> is used) concurrent|Yes (<tt>$(…)</tt> and <tt>${<space>…;}</tt>)|Yes (if system supports <tt>/dev/fd/''<n>''</tt>)|yes|Yes (and SCTP support, client only)|N/A
pdksh|bytes concurrent|yes|no|yes|no|N/A
zsh|bytes concurrent|yes|yes|yes|Yes (client and server, but only TCP)|N/A
ash|bytes concurrent|yes|no|yes|no|N/A
CCP|no|no|no|no|no|no
COMMAND.COM|text sequential temporary files|no|no|partial (only under DR-DOS multitasker via COMMAND.COM /T)|no|no
OS/2 CMD.EXE|text concurrent|no|no|?|no|no
Windows CMD.EXE|text concurrent|Yes (via <tt>FOR /F</tt> command)|no|Yes (Backtick: <tt>`</tt> in <tt>FOR /F usebackq</tt>)|no|no
4DOS|text sequential temporary files|Yes (via <tt>FOR /F</tt> command)|?|partial (via %@EXECSTR[] and %@EXEC[], or via SET /M, ESET /M and UNSET /M and %@MASTER[…])|no|yes (via KEYSTACK and KSTACK)
4OS2|text concurrent|?|?|?|no|yes (via KEYSTACK)
TCC (formerly 4NT)|text concurrent|Yes (via <tt>FOR /F</tt> command)|?|partial (via %@EXECSTR[] and %@EXEC[])|yes (via FTP, TFTP, FTPS, SFTP, HTTP, HTTPS and IFTP, client only)|yes (via KEYSTACK)
PowerShell|objects concurrent|yes|no|yes|yes|?
rc|text concurrent|yes|Yes (via: <tt><{cmd}</tt> if system supports <tt>/dev/fd/''<n>''</tt>)|yes|no|?
BeanShell|not supported|?|?|?|yes|?
VMS DCL|text (via <tt>PIPE</tt> command)|yes|no|Yes (spawn)|Yes (server TCP only)|no
fish|bytes concurrent|yes (...)|No (broken)|no|no|N/A
