Name;Platform;License;Builders: Windows;Builders: Java;Builders: other;Notification;Integration, IDEs;Integration, other
Abstruse CI;Cross-Platform, Self-Hosted;Proprietary, MIT;no;[[Apache Ant|Ant]], [[Apache Maven|Maven]], [[Gradle]], [[Android (operating system)|Android]];[[C (programming language)|C]], [[C++]], [[Go (programming language)|Go]], [[Groovy (programming language)|Groovy]], [[Java (programming language)|Java]], [[Node.js]], [[Perl]], [[PHP]], [[Python (programming language)|Python]], [[Ruby (programming language)|Ruby]];no;no;[[GitHub]], [[Bitbucket]], [[Gitlab]], Gogs
AnthillPro;Cross-platform;proprietary;[[MSBuild]], [[NAnt]], [[Visual Studio]];[[Apache Ant|Ant]], [[Apache Maven|Maven]] 1-2-3;[[Shell script]], [[Batch file|batch script]], cross-platform command-line, [[Groovy (programming language)|Groovy]], [[Make (software)|Make]], [[IBM Rational Team Concert|RTC Jazz]], [[Team Foundation Server|TFS Build]], Custom Script Interpreter;Email, XMPP, RSS, Systray;[[Eclipse (software)|Eclipse]], [[Visual Studio]];Many
Apache Continuum;JDK, web container;[[Apache License|Apache]] 2.0;unknown;[[Apache Maven|Maven]] 1-2-3;[[Shell script]];Mail, XMPP and Google Talk, MSN, IRC, report deployment with wagon;unknown;unknown
Apache Gump;Python;[[Apache License|Apache]] 2.0;unknown;[[Apache Ant|Ant]], [[Apache Maven|Maven]] 1;unknown;Email;unknown;unknown
AppVeyor;Hosted;proprietary;[[Visual Studio]], [[MSBuild]], [[Psake]];no;Custom Script, [[PowerShell]];Email, HipChat, Slack,;no;[[GitHub]], [[Bitbucket]], Kiln, [[Windows Azure]]
Bamboo;Web container;proprietary;[[Visual Studio]];[[Apache Maven|Maven]] 1-2-3;[[Grunt (software)|Grunt]], [[Grails (framework)|Grails]];XMPP, Google Talk, Email, RSS, Remote API, HipChat;[[IntelliJ IDEA]], [[Eclipse (software)|Eclipse]], [[Visual Studio]];[[FishEye (software)|FishEye]], [[Jira (software)|Jira]], [[Clover (software)|Clover]], [[Bitbucket]], [[GitHub]]
Buddy;Cross-platform;proprietary;no;Ant, Maven, Gradle;[[Elixir (programming language)|Elixir]], [[Go (programming language)|Go]], [[Haskell (programming language)|Haskell]], Node.js, [[PHP]], [[Python (programming language)|Python]], [[Ruby (programming language)|Ruby]], .NET Core;Desktop, Email, Slack, SMS;no;Amazon Web Services, Bitbucket, GitHub, GitLab, Google Cloud Services, Heroku, Modulus
Buildbot;Python;[[GNU General Public License|GPL]];Command-line;Command-line;Command-line;Email, Web, GUI, IRC;unknown;unknown
BuildMaster;Cross-platform;proprietary;yes;yes;Cross-platform command-line;Email, custom;no;Many
CABIE;LAMP;[[GNU General Public License#Version 2|GPL2]];unknown;unknown;unknown;Web;unknown;unknown
CircleCI;Hosted;proprietary;no;[[Apache Maven|Maven]], [[Gradle]];yes;Email, Web;no;[[GitHub]], [[Bitbucket]], [[Heroku]]
CruiseControl;Cross-platform;[[BSD license|BSD]]-style;[[NAnt]], [[Rake (software)|Rake]], [[Xcode]];Phing, [[Apache Ant]], [[Maven]];catch-all 'exec';Email, CCTray;[[Eclipse (software)|Eclipse]];unknown
CruiseControl.NET;Cross-platform;[[BSD license|BSD]]-style;[[MSBuild]], [[NAnt]], [[Visual Studio]];unknown;Command-line;Email, CCTray, RSS;unknown;unknown
Drone;Cross-platform;[[Apache License|Apache]] 2.0;no;[[Apache Ant|Ant]], [[Apache Maven|Maven]], [[Gradle]];, [[Java (programming language)|Java]], [[Node.js]], [[Python (programming language)|Python]], [[Go (programming language)|Go]], [[Elixir (programming language)|Elixir]], [[Scala (programming language)|Scala]];WeChat, Matrix, Discord, Email, GTalk, Telegram, Facebook, Line, Gitter, HipChat, Slack;no;, [[Bitbucket]], [[GitLab|Gitlab]], [[Gitea (software)|Gitea]], Gogs, Coding
GitLab;Cross-Platform, Self-Hosted;Proprietary, MIT;Yes;, [[Gradle]];SSH, Shell, VirtualBox, Parallels,Docker, Kubernetes);[[Email]], Web, Slack and others;WebIDE;Many
GoCD;Cross-platform;[[Apache License|Apache]] 2.0;Command-line;Command-line;Command-line;Email, hipchat, Slack, Gerrit, Gitter, Riemann;no;[[GitHub]]
Jenkins-Hudson;Web container;[[Creative Commons license|Creative Commons]] and [[MIT license|MIT]];[[MSBuild]], [[NAnt]], [[Batch file|Batch Script]];[[Apache Ant|Ant]], [[Apache Maven|Maven]] 2, Kundo;[[CMake]], Gant, Gradle, [[Grails (framework)|Grails]], Phing, [[Rake (software)|Rake]], [[Ruby (programming language)|Ruby]], [[SCons]], [[Python (programming language)|Python]], [[shell script]], [[Command-line interface|command-line]];Android, Email, Google Calendar, IRC, XMPP, RSS, Twitter, Slack, Catlight, CCMenu, CCTray;[[Eclipse (software)|Eclipse]], [[IntelliJ IDEA]], [[NetBeans]];[[Bugzilla]], [[Google Code]], [[Jira (software)|Jira]], [[Bitbucket]], [[Redmine]], [[FindBugs]], [[Checkstyle]], [[PMD (software)|PMD]] and [[Mantis Bug Tracker|Mantis]], [[Trac]], [[HP Application Lifecycle Management|HP ALM]]
OpenMake Software Meister;Cross-platform;proprietary;[[MSBuild]], [[NAnt]], [[Visual Studio]];[[Apache Ant|Ant]], [[Apache Maven|Maven]] 1-2-3;[[Shell script]], [[Batch file|batch script]], cross-platform command-line, [[Groovy (programming language)|Groovy]], [[Make (software)|Make]], [[IBM Rational Team Concert|RTC Jazz]], [[Team Foundation Server|TFS Build]], Custom Script Interpreter;Email, XMPP, RSS, Systray;[[Eclipse (software)|Eclipse]], [[Visual Studio]];[[Bugzilla]], [[Google Code]], [[Jira (software)|Jira]], [[Bitbucket]], [[Redmine]], [[FindBugs]], [[Checkstyle]], [[PMD (software)|PMD]] and [[Mantis Bug Tracker|Mantis]], [[Trac]]
Semaphore (software);Hosted;proprietary;no;[[Apache Maven|Maven]], [[Gradle]];[[Ruby (programming language)|Ruby]], [[Java (programming language)|Java]], [[Python (programming language)|Python]], [[Node.js]], [[PHP]], [[Clojure]], [[C (programming language)|C]]/[[C++]], [[Elixir (programming language)|Elixir]], [[Erlang (programming language)|Erlang]], [[Go (programming language)|Go]], [[Rake (software)|Rake]], [[Command-line interface|command-line]];Email, Campfire, HipChat, Slack, Flowdock, Webhooks, Remote API;unknown;[[GitHub]], [[Bitbucket]], [[Heroku]], [[Amazon Web Services|AWS]], Code Climate, Cloud 66
