Name;AccuRev;BitKeeper;CA Harvest;ClearCase;CVS;Darcs;Git;GNU Bazaar;Integrity;Mercurial;Perforce;Plastic;PVCS;StarTeam;Subversion;Surround;Synergy;Team Concert;Team Foundation Server;Vault;Visual SourceSafe
AnthillPro;yes;no;yes;yes;yes;no;yes;no;yes;yes;yes;no;yes;yes;yes;no;yes;yes;yes;yes;yes
Apache Continuum;no;no;no;yes;yes;no;yes;yes;no;yes;yes;no;no;yes;yes;no;yes;no;no;no;yes
Apache Gump;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no
AppVeyor;no;no;no;no;no;no;yes;no;no;yes;no;no;no;no;yes;no;no;no;no;no;no
Bamboo;yes;no;no;yes;yes;no;yes;no;no;yes;yes;no;no;no;yes;no;no;no;yes;no;no
Buddy;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no
BuildBot;no;no;no;no;yes;yes;yes;yes;no;yes;yes;no;no;no;yes;no;no;no;no;no;no
BuildMaster;yes;no;no;yes;yes;no;yes;no;yes;yes;yes;yes;yes;no;yes;yes;no;no;yes;yes;yes
CABIE;no;no;no;no;yes;no;no;no;no;no;yes;no;no;no;yes;no;no;no;no;no;no
CruiseControl;no;no;no;yes;yes;yes;yes;no;yes;yes;yes;no;no;yes;yes;yes;no;no;yes;no;yes
CruiseControl.NET;yes;yes;no;yes;yes;no;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes
Distelli;no;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no
Drone;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no
Jenkins-Hudson;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
OpenMake Software Meister;yes;no;yes;yes;yes;no;yes;no;yes;no;yes;no;yes;yes;yes;no;yes;yes;yes;yes;yes
Semaphore (software);no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no
TeamCity;yes;no;no;yes;yes;no;yes;yes;no;yes;yes;no;no;yes;yes;no;no;no;yes;yes;yes
Team Foundation Server;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;yes;no;no;no;yes;no;no
Vexor;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no
